classification,colour
CWHxm_OR,#87EC91
CWHxm_WA,#A6F59A
CWHxm1,#85EA9D
CWHxm2,#5DD991
ESSFab,#AA39CF
ESSFdc1,#C45AD6
ESSFdc2,#B855CC
ESSFdc3,#B782DF
ESSFdcp,#8817DE
ESSFdcw,#9732DE
ESSFdh_WA,#591484
ESSFdk_MT,#AD21EE
ESSFdk1,#7015DF
ESSFdk2,#A622CE
ESSFdkp,#C27AD8
ESSFdkp_MT,#AA51CD
ESSFdkw,#5F2AF0
ESSFdm_ID,#5F2AF0
ESSFdmp_ID,#B074D0
ESSFdv1,#BC67DD
ESSFdv2,#CB7EE0
ESSFdvp,#981DC8
ESSFdvw,#A01DC8
ESSFmc,#C482D6
ESSFmcp,#B23AD3
ESSFmh,#CD79E0
ESSFmk,#A317D5
ESSFmkp,#B350D6
ESSFmm1,#B861D4
ESSFmm2,#AB2BCB
ESSFmm3,#C41BE5
ESSFmmp,#C684E7
ESSFmmw,#C360ED
ESSFmv1,#B54DD7
ESSFmv2,#BE79E2
ESSFmv3,#AD3FE4
ESSFmv4,#974CEB
ESSFmvp,#AF47CB
ESSFmw,#AB1CDF
ESSFmw_WA,#8710E1
ESSFmw1,#AE3AE0
ESSFmw2,#A16CD2
ESSFmwp,#BA6DD4
ESSFmwp_WA,#B635D6
ESSFmww,#E189D1
ESSFun,#921AD2
ESSFunp,#A52EEA
ESSFvc,#B525D1
ESSFvcp,#BF4DC9
ESSFvcw,#CE6AC4
ESSFvh_ID,#A117CF
ESSFwc2,#C31AED
ESSFwc3,#CA3FEC
ESSFwc4,#DB45EB
ESSFwcp,#B22DCF
ESSFwcw,#E613DC
ESSFwh_MT,#BF68CE
ESSFwh1,#CD35DA
ESSFwh2,#AF2CD6
ESSFwh3,#B125DB
ESSFwk1,#AC5BCF
ESSFwk2,#BC1CD8
ESSFwm_MT,#D97EE1
ESSFwm1,#D484EE
ESSFwm2,#B861CE
ESSFwm3,#D520EC
ESSFwm4,#C556E6
ESSFwmp,#C35AD8
ESSFwmp_MT,#B429CC
ESSFwmw,#E115BF
ESSFwv,#C031D3
ESSFwvp,#A13ACA
ESSFxc_CO,#A72FD2
ESSFxc_WA,#A76FCB
ESSFxc1,#A11ADA
ESSFxc2,#AE4AD6
ESSFxc3,#871FD0
ESSFxcp,#AD41EC
ESSFxcp_CO,#AA4FD8
ESSFxcp_WA,#AD61D0
ESSFxcw,#A553DF
ESSFxh_WA,#C97BEF
ESSFxk_MT,#D683DD
ESSFxk_UT,#A97ADC
ESSFxkp_MT,#A422D3
ESSFxkp_UT,#E981E9
ESSFxv1,#A881EB
ESSFxv2,#441AEC
ESSFxvp,#7145DE
ESSFxvw,#8C5FCA
ESSFxw_OR,#7230C8
ESSFxwp_OR,#D3689C
FGff,#DBB74A
FGnf,#C69B23
FGwk,#A07A19
GBDdw_UT,#B7B79A
GBDxh_NV,#7A7761
GBDxx_UT,#7D7B65
GOun_CO,#5D65D0
ICHdh_ID,#71D86B
ICHdk,#71DE73
ICHdm,#71EF65
ICHdw_ID,#1BE714
ICHdw1,#4AEF58
ICHdw3,#1CD52F
ICHdw4,#4DDF42
ICHmc1,#5CEE59
ICHmc1a,#80D07D
ICHmc2,#20DC3F
ICHmh_MT,#64C829
ICHmk1,#64E46F
ICHmk2,#0DDD18
ICHmk3,#0DDD0D
ICHmk4,#1DE11D
ICHmk5,#41CA3C
ICHmm,#39E639
ICHmw_MT,#86E869
ICHmw1,#45E732
ICHmw2,#96DB71
ICHmw3,#7CDC71
ICHmw4,#73D582
ICHmw5,#92E681
ICHvc,#81E689
ICHvk_ID,#66D83C
ICHvk1,#16E024
ICHvk2,#30DA4C
ICHwc,#6DE380
ICHwk1,#93D478
ICHwk2,#92E188
ICHwk3,#4CCC38
ICHwk4,#85DF62
ICHxw,#75E67D
ICHxw_WA,#75E67D
ICHxwa,#80CD1A
IDFdc,#DED822
IDFdh_MT,#AEB60F
IDFdh_UT,#DBE33C
IDFdh_WA,#DEEC18
IDFdk_MT,#D7E051
IDFdk_WA,#D0CC51
IDFdk1,#B2B24A
IDFdk2,#AFA818
IDFdk3,#C0B846
IDFdk4,#BEB80F
IDFdk5,#B0B012
IDFdm_MT,#DBD679
IDFdm_WA,#D5D66C
IDFdm1,#E9E56E
IDFdm2,#E9D924
IDFdw,#CEC622
IDFdx_MT,#DAD974
IDFmw1,#DDDA13
IDFmw2,#DDD313
IDFww,#E9E55C
IDFww1,#EFE937
IDFxc,#CEC819
IDFxh_ID,#E4EE21
IDFxh_WA,#DFDF27
IDFxh1,#E9E91D
IDFxh2,#D7DA0A
IDFxh4,#EBE51D
IDFxk,#E0EC6D
IDFxm,#E0EC6D
IDFxm_CO,#D4CF29
IDFxw,#E8E785
IDFxx_MT,#E0DF7D
IDFxx_WA,#E7E967
IDFxx1,#E6E375
IDFxx2,#E4E485
IGFdk_WA,#479EDC
IGFdw_OR,#4C9EDC
IGFmm_OR,#81B8D8
IMAab,#DFF8F1
IMAun,#E9E4F4
IMAun_CO,#EAEAD9
IMAun_MT,#E5E9F3
IMAun_WA,#F2EFFE
IMAun_WY,#EBF3F3
IMAunp,#EDECE1
IWFdm_CO,#1BD79C
IWFdw_OR,#77D0AD
IWFxk_NV,#3AE3A8
IWFxm_CA,#20DC85
JPWdm_WY,#9F677D
JPWdw_UT,#C58D8F
JPWmk_WY,#AA4A51
JPWwm_CO,#AD737F
JPWxh_CA,#9F5F6C
JPWxw_NV,#C37389
MDCHun_NV,#BD2F12
MGPdm,#BB8027
MGPmg,#BB8F3D
MGPmw_MT,#A76E1F
MHdm_OR,#7F0FEF
MHds_OR,#9A4DEC
MHmm_WA,#901B92
MHmm1,#A75FEF
MHmm2,#984FCB
MHmmp,#9A6BCD
MHmmp_WA,#C77DE7
MHms_WA,#A14EE4
MHmsp_WA,#B849E0
MHRFdm_OR,#74477A
MHRFds_CA,#80718A
MHRFdsp_CA,#602B83
MHRFmm_OR,#805FB2
MHRFmmp_OR,#5D1CD6
MHun,#924DD3
MHunp,#A748DA
MHwh,#B969D8
MHwh1,#C17DE3
MHwhp,#BB53EF
MSab,#D437A0
MSab_N,#D437A0
MSdc1,#E760AF
MSdc2,#F066E0
MSdc3,#CF2C5D
MSdh_UT,#D158A1
MSdh_WY,#E02DAB
MSdk,#D23E90
MSdk_CO,#E50F6F
MSdm_WA,#E03F9D
MSdm1,#E03A7A
MSdm2,#DB4FB8
MSdm3,#D12785
MSdv,#DC70AF
MSdw,#C96CAA
MSdw_MT,#DD0EA6
MSmm_ID,#DF49C9
MSmw1,#E421A0
MSmw2,#EC89DE
MSSDun_NV,#C6A48B
MSxh_OR,#D266AE
MSxk_WA,#D720A9
MSxk1,#DF82E3
MSxk2,#E133E1
MSxk3,#CD47BB
MSxm_CO,#E875AD
MSxv,#CB1B5E
MSxx_NV,#E88092
OWun_CA,#C4BD7D
PPmx_WY,#EF9C15
PPxh_CO,#F4A316
PPxh_WA,#E7AB1D
PPxh1,#DB8B28
PPxh2,#C36C09
PPxh3,#E18112
PPxk_OR,#D3730D
PPxm_OR,#E58714
PPxw_MT,#CD8F25
PPxx_OR,#D28212
SASbo,#2D4870
SBAPcp,#7AC0DC
SBAPfp,#1DA5E8
SBAPmw,#50D2D2
SBPSdc,#2AD1E0
SBPSmc,#3AC6CD
SBPSmk,#6AC6C9
SBPSxc,#76E4E5
SBSdh1,#29A9E4
SBSdh2,#129EE9
SBSdk,#6CBFEF
SBSdw1,#3EA8EA
SBSdw2,#0EBBE6
SBSdw3,#59A7E3
SBSmc1,#55B5F0
SBSmc2,#189EF1
SBSmc3,#2CB3EC
SBSmh,#86A7E0
SBSmk1,#6D8CD4
SBSmk2,#448CEA
SBSmm,#119DD8
SBSmw,#7AA2D5
SBSun,#2F93F0
SBSvk,#225D93
SBSwk1,#1479F4
SBSwk2,#3D8BF1
SBSwk3,#2979BE
SBSwk3a,#7A94E0
SGPdm_CO,#DED479
SWBmk,#92BEC2
SWBmks,#79AEB6
SWBun,#8DC4D2
SWBuns,#80CCD4
SWBvk,#A4BED3
SWBvks,#ADD5DE
WJPxm_OR,#D3B65D
