BGC,SS_NoSpace,SppVar,Feasible,Confirmed
BGxw1,BGxw1/110,Pyi,2,MRyan
BGxw1,BGxw1/111,Fdi,2,MRyan
BGxw1,BGxw1/111,Pyi,2,MRyan
BGxw1,BGxw1/Ff04,Act,3,MRyan
BGxw1,BGxw1/Ff04,At,2,MRyan
BGxw1,BGxw1/Ff04,Ep,3,MRyan
BGxw1,BGxw1/Ff04,Fdi,3,MRyan
BGxw1,BGxw1/Ff04,Pyi,3,MRyan
BGxw1,BGxw1/Fm01,Act,1,MRyan
BGxw1,BGxw1/Fm01,At,2,MRyan
BGxw1,BGxw1/Fm01,Ep,2,MRyan
BGxw1,BGxw1/Fm01,Fdi,3,MRyan
BGxw1,BGxw1/Fm01,Pyi,3,MRyan
BGxw1,BGxw1/Fm05,Act,1,MRyan
BGxw1,BGxw1/Fm05,At,2,MRyan
BGxw1,BGxw1/Fm05,Ep,2,MRyan
BGxw1,BGxw1/Fm05,Fdi,3,MRyan
BGxw1,BGxw1/Fm05,Pyi,3,MRyan
BGxw1,BGxw1/Ro,X,1,
BGxw2,BGxw2/101,X,1,
BGxw2,BGxw2/110,Fdi,2,
BGxw2,BGxw2/111,Fdi,2,
BGxw2,BGxw2/112,Act,2,
BGxw2,BGxw2/113,Fdi,1,
BGxw2,BGxw2/114,At,1,
BGxw2,BGxw2/115,At,1,D6
BGxw2,BGxw2/Gg,X,1,C4
BGxw2,BGxw2/Ro,X,1,
BGxx_WY,BGxx_WY/110,Jr,3,
BGxx_WY,BGxx_WY/110,Ju,1,
BGxx_WY,BGxx_WY/110,Pe,2,
BGxx_WY,BGxx_WY/111,Aa,1,
BGxx_WY,BGxx_WY/Gg1,X,1,
BGxx_WY,BGxx_WY/Gg2,X,1,
BGxx_WY,BGxx_WY/Ro,X,1,
BSJPap,BSJPap/a,Ep,3,B2
BSJPap,BSJPap/a,Pj,1,B2
BSJPap,BSJPap/b,Acb,3,C4
BSJPap,BSJPap/b,At,1,C4
BSJPap,BSJPap/b,Ep,3,C4
BSJPap,BSJPap/b,Pj,1,C4
BSJPap,BSJPap/b,Sb,2,C4
BSJPap,BSJPap/b,Sw,2,C4
BSJPap,BSJPap/c,Ep,3,
BSJPap,BSJPap/c,Pj,1,
BSJPap,BSJPap/c,Sb,1,
BSJPap,BSJPap/c,Sw,2,
BSJPap,BSJPap/d,Ep,3,
BSJPap,BSJPap/d,Pj,1,
BSJPap,BSJPap/d,Sb,1,
BSJPap,BSJPap/e,Acb,3,D6
BSJPap,BSJPap/e,At,1,D6
BSJPap,BSJPap/e,Ep,2,D6
BSJPap,BSJPap/e,Sb,3,D6
BSJPap,BSJPap/e,Sw,1,D6
BSJPap,BSJPap/f,Sb,1,
BSJPap,BSJPap/g,Lt,2,
BSJPap,BSJPap/g,Sb,1,
BSJPap,BSJPap/h,Lt,1,
BSJPap,BSJPap/h,Sb,3,
BSJPap,BSJPap/Ro,X,1,
BSJPku,BSJPku/a,Ep,3,B2
BSJPku,BSJPku/a,Pj,1,B2
BSJPku,BSJPku/b,Acb,3,C4
BSJPku,BSJPku/b,At,1,C4
BSJPku,BSJPku/b,Ep,3,C4
BSJPku,BSJPku/b,Pj,1,C4
BSJPku,BSJPku/b,Sb,2,C4
BSJPku,BSJPku/b,Sw,2,C4
BSJPku,BSJPku/c,Ep,3,
BSJPku,BSJPku/c,Pj,1,
BSJPku,BSJPku/c,Sb,1,
BSJPku,BSJPku/c,Sw,2,
BSJPku,BSJPku/d,Ep,3,
BSJPku,BSJPku/d,Pj,1,
BSJPku,BSJPku/d,Sb,1,
BSJPku,BSJPku/e,Acb,3,D6
BSJPku,BSJPku/e,At,1,D6
BSJPku,BSJPku/e,Ep,2,D6
BSJPku,BSJPku/e,Sb,3,D6
BSJPku,BSJPku/e,Sw,1,D6
BSJPku,BSJPku/f,Sb,1,
BSJPku,BSJPku/g,Lt,2,
BSJPku,BSJPku/g,Sb,1,
BSJPku,BSJPku/h,Lt,1,
BSJPku,BSJPku/h,Sb,3,
BSJPku,BSJPku/Ro,X,1,
BSJPpa,BSJPpa/a,Ep,3,B2
BSJPpa,BSJPpa/a,Pj,1,B2
BSJPpa,BSJPpa/b,Acb,3,C4
BSJPpa,BSJPpa/b,At,1,C4
BSJPpa,BSJPpa/b,Ep,3,C4
BSJPpa,BSJPpa/b,Pj,1,C4
BSJPpa,BSJPpa/b,Sb,2,C4
BSJPpa,BSJPpa/b,Sw,2,C4
BSJPpa,BSJPpa/c,Ep,3,
BSJPpa,BSJPpa/c,Pj,1,
BSJPpa,BSJPpa/c,Sb,1,
BSJPpa,BSJPpa/c,Sw,2,
BSJPpa,BSJPpa/d,Ep,3,
BSJPpa,BSJPpa/d,Pj,1,
BSJPpa,BSJPpa/d,Sb,1,
BSJPpa,BSJPpa/e,Acb,3,D6
BSJPpa,BSJPpa/e,At,1,D6
BSJPpa,BSJPpa/e,Ep,2,D6
BSJPpa,BSJPpa/e,Sb,3,D6
BSJPpa,BSJPpa/e,Sw,1,D6
BSJPpa,BSJPpa/f,Sb,1,
BSJPpa,BSJPpa/g,Lt,2,
BSJPpa,BSJPpa/g,Sb,1,
BSJPpa,BSJPpa/h,Lt,1,
BSJPpa,BSJPpa/h,Sb,3,
BSJPpa,BSJPpa/Ro,X,1,
BWBScmC,BWBScmC/a,Pj,1,
BWBScmC,BWBScmC/a,Pli,1,
BWBScmC,BWBScmC/b,At,3,
BWBScmC,BWBScmC/b,Ep,3,
BWBScmC,BWBScmC/b,Pj,2,
BWBScmC,BWBScmC/b,Pli,1,
BWBScmC,BWBScmC/b,Sb,3,
BWBScmC,BWBScmC/b,Sw,2,
BWBScmC,BWBScmC/c,Pj,1,
BWBScmC,BWBScmC/c,Pli,1,
BWBScmC,BWBScmC/c,Sb,2,
BWBScmC,BWBScmC/d,Acb,3,
BWBScmC,BWBScmC/d,At,1,
BWBScmC,BWBScmC/d,Bb,3,
BWBScmC,BWBScmC/d,Ep,3,
BWBScmC,BWBScmC/d,Pli,1,
BWBScmC,BWBScmC/d,Sb,3,
BWBScmC,BWBScmC/d,Sw,1,
BWBScmC,BWBScmC/e,Acb,1,
BWBScmC,BWBScmC/e,At,1,
BWBScmC,BWBScmC/e,Bb,3,
BWBScmC,BWBScmC/e,Ep,3,
BWBScmC,BWBScmC/e,Sw,1,
BWBScmC,BWBScmC/f,Acb,2,
BWBScmC,BWBScmC/f,At,2,
BWBScmC,BWBScmC/f,Bb,3,
BWBScmC,BWBScmC/f,Ep,2,
BWBScmC,BWBScmC/f,Pli,3,
BWBScmC,BWBScmC/f,Sw,1,
BWBScmC,BWBScmC/g,Pj,2,
BWBScmC,BWBScmC/g,Pli,2,
BWBScmC,BWBScmC/g,Sb,1,
BWBScmC,BWBScmC/h,Ep,3,
BWBScmC,BWBScmC/h,Sb,1,
BWBScmC,BWBScmC/h,Sw,1,
BWBScmC,BWBScmC/i,Sb,1,
BWBScmC,BWBScmC/j,Lt,2,
BWBScmC,BWBScmC/j,Sb,1,
BWBScmC,BWBScmC/k,Lt,1,
BWBScmC,BWBScmC/k,Sb,3,
BWBScmC,BWBScmC/Ro,X,1,
BWBScmE,BWBScmE/a,Pj,1,
BWBScmE,BWBScmE/a,Pli,1,
BWBScmE,BWBScmE/b,At,3,
BWBScmE,BWBScmE/b,Ep,3,
BWBScmE,BWBScmE/b,Pj,2,
BWBScmE,BWBScmE/b,Pli,1,
BWBScmE,BWBScmE/b,Sb,3,
BWBScmE,BWBScmE/b,Sw,2,
BWBScmE,BWBScmE/c,Pj,1,
BWBScmE,BWBScmE/c,Pli,1,
BWBScmE,BWBScmE/c,Sb,2,
BWBScmE,BWBScmE/d,Acb,3,
BWBScmE,BWBScmE/d,At,1,
BWBScmE,BWBScmE/d,Bb,3,
BWBScmE,BWBScmE/d,Ep,3,
BWBScmE,BWBScmE/d,Pli,1,
BWBScmE,BWBScmE/d,Sb,3,
BWBScmE,BWBScmE/d,Sw,1,
BWBScmE,BWBScmE/e,Acb,1,
BWBScmE,BWBScmE/e,At,1,
BWBScmE,BWBScmE/e,Bb,3,
BWBScmE,BWBScmE/e,Ep,3,
BWBScmE,BWBScmE/e,Sw,1,
BWBScmE,BWBScmE/f,Acb,2,
BWBScmE,BWBScmE/f,At,2,
BWBScmE,BWBScmE/f,Bb,3,
BWBScmE,BWBScmE/f,Ep,2,
BWBScmE,BWBScmE/f,Pli,3,
BWBScmE,BWBScmE/f,Sw,1,
BWBScmE,BWBScmE/g,Pj,2,
BWBScmE,BWBScmE/g,Pli,2,
BWBScmE,BWBScmE/g,Sb,1,
BWBScmE,BWBScmE/h,Ep,3,
BWBScmE,BWBScmE/h,Sb,1,
BWBScmE,BWBScmE/h,Sw,1,
BWBScmE,BWBScmE/i,Sb,1,
BWBScmE,BWBScmE/j,Lt,2,
BWBScmE,BWBScmE/j,Sb,1,
BWBScmE,BWBScmE/k,Lt,1,
BWBScmE,BWBScmE/k,Sb,3,
BWBScmE,BWBScmE/Ro,X,1,
BWBScmNW,BWBScmNW/a,Pj,1,
BWBScmNW,BWBScmNW/a,Pli,1,
BWBScmNW,BWBScmNW/b,At,3,
BWBScmNW,BWBScmNW/b,Ep,3,
BWBScmNW,BWBScmNW/b,Pj,2,
BWBScmNW,BWBScmNW/b,Pli,1,
BWBScmNW,BWBScmNW/b,Sb,3,
BWBScmNW,BWBScmNW/b,Sw,2,
BWBScmNW,BWBScmNW/c,Pj,1,
BWBScmNW,BWBScmNW/c,Pli,1,
BWBScmNW,BWBScmNW/c,Sb,2,
BWBScmNW,BWBScmNW/d,Acb,3,
BWBScmNW,BWBScmNW/d,At,1,
BWBScmNW,BWBScmNW/d,Bb,3,
BWBScmNW,BWBScmNW/d,Ep,3,
BWBScmNW,BWBScmNW/d,Pli,1,
BWBScmNW,BWBScmNW/d,Sb,3,
BWBScmNW,BWBScmNW/d,Sw,1,
BWBScmNW,BWBScmNW/e,Acb,1,
BWBScmNW,BWBScmNW/e,At,1,
BWBScmNW,BWBScmNW/e,Bb,3,
BWBScmNW,BWBScmNW/e,Ep,3,
BWBScmNW,BWBScmNW/e,Sw,1,
BWBScmNW,BWBScmNW/f,Acb,2,
BWBScmNW,BWBScmNW/f,At,2,
BWBScmNW,BWBScmNW/f,Bb,3,
BWBScmNW,BWBScmNW/f,Ep,2,
BWBScmNW,BWBScmNW/f,Pli,3,
BWBScmNW,BWBScmNW/f,Sw,1,
BWBScmNW,BWBScmNW/g,Pj,2,
BWBScmNW,BWBScmNW/g,Pli,2,
BWBScmNW,BWBScmNW/g,Sb,1,
BWBScmNW,BWBScmNW/h,Ep,3,
BWBScmNW,BWBScmNW/h,Sb,1,
BWBScmNW,BWBScmNW/h,Sw,1,
BWBScmNW,BWBScmNW/i,Sb,1,
BWBScmNW,BWBScmNW/j,Lt,2,
BWBScmNW,BWBScmNW/j,Sb,1,
BWBScmNW,BWBScmNW/k,Lt,1,
BWBScmNW,BWBScmNW/k,Sb,3,
BWBScmNW,BWBScmNW/Ro,X,1,
BWBScmW,BWBScmW/a,Pj,1,
BWBScmW,BWBScmW/a,Pli,1,
BWBScmW,BWBScmW/b,At,3,
BWBScmW,BWBScmW/b,Ep,3,
BWBScmW,BWBScmW/b,Pj,2,
BWBScmW,BWBScmW/b,Pli,1,
BWBScmW,BWBScmW/b,Sb,3,
BWBScmW,BWBScmW/b,Sw,2,
BWBScmW,BWBScmW/c,Pj,1,
BWBScmW,BWBScmW/c,Pli,1,
BWBScmW,BWBScmW/c,Sb,2,
BWBScmW,BWBScmW/d,Acb,3,
BWBScmW,BWBScmW/d,At,1,
BWBScmW,BWBScmW/d,Bb,3,
BWBScmW,BWBScmW/d,Ep,3,
BWBScmW,BWBScmW/d,Pli,1,
BWBScmW,BWBScmW/d,Sb,3,
BWBScmW,BWBScmW/d,Sw,1,
BWBScmW,BWBScmW/e,Acb,1,
BWBScmW,BWBScmW/e,At,1,
BWBScmW,BWBScmW/e,Bb,3,
BWBScmW,BWBScmW/e,Ep,3,
BWBScmW,BWBScmW/e,Sw,1,
BWBScmW,BWBScmW/f,Acb,2,
BWBScmW,BWBScmW/f,At,2,
BWBScmW,BWBScmW/f,Bb,3,
BWBScmW,BWBScmW/f,Ep,2,
BWBScmW,BWBScmW/f,Pli,3,
BWBScmW,BWBScmW/f,Sw,1,
BWBScmW,BWBScmW/g,Pj,2,
BWBScmW,BWBScmW/g,Pli,2,
BWBScmW,BWBScmW/g,Sb,1,
BWBScmW,BWBScmW/h,Ep,3,
BWBScmW,BWBScmW/h,Sb,1,
BWBScmW,BWBScmW/h,Sw,1,
BWBScmW,BWBScmW/i,Sb,1,
BWBScmW,BWBScmW/j,Lt,2,
BWBScmW,BWBScmW/j,Sb,1,
BWBScmW,BWBScmW/k,Lt,1,
BWBScmW,BWBScmW/k,Sb,3,
BWBScmW,BWBScmW/Ro,X,1,
BWBSdk,BWBSdk/101,Acb,3,C4
BWBSdk,BWBSdk/101,At,1,C4
BWBSdk,BWBSdk/101,Bl,2,C4
BWBSdk,BWBSdk/101,Ep,3,C4
BWBSdk,BWBSdk/101,Pli,1,C4
BWBSdk,BWBSdk/101,Sb,3,C4
BWBSdk,BWBSdk/101,Sw,1,C4
BWBSdk,BWBSdk/101a,Acb,3,WHM
BWBSdk,BWBSdk/101a,At,1,WHM
BWBSdk,BWBSdk/101a,Bl,2,WHM
BWBSdk,BWBSdk/101a,Ep,3,WHM
BWBSdk,BWBSdk/101a,Pli,1,WHM
BWBSdk,BWBSdk/101a,Sb,3,WHM
BWBSdk,BWBSdk/101a,Sw,1,WHM
BWBSdk,BWBSdk/101b,Acb,2,WHM
BWBSdk,BWBSdk/101b,At,2,WHM
BWBSdk,BWBSdk/101b,Bl,2,WHM
BWBSdk,BWBSdk/101b,Ep,3,WHM
BWBSdk,BWBSdk/101b,Pli,1,WHM
BWBSdk,BWBSdk/101b,Sb,2,WHM
BWBSdk,BWBSdk/101b,Sw,1,WHM
BWBSdk,BWBSdk/102,At,3,B2
BWBSdk,BWBSdk/102,Bl,3,B2
BWBSdk,BWBSdk/102,Pli,2,B2
BWBSdk,BWBSdk/102,Sb,5,B2
BWBSdk,BWBSdk/102,Sw,3,B2
BWBSdk,BWBSdk/103,At,2,
BWBSdk,BWBSdk/103,Bl,2,
BWBSdk,BWBSdk/103,Ep,3,
BWBSdk,BWBSdk/103,Pli,1,
BWBSdk,BWBSdk/103,Sb,3,
BWBSdk,BWBSdk/103,Sw,1,
BWBSdk,BWBSdk/104,At,2,
BWBSdk,BWBSdk/104,Bl,3,
BWBSdk,BWBSdk/104,Pli,2,
BWBSdk,BWBSdk/104,Sb,2,
BWBSdk,BWBSdk/104,Sw,1,
BWBSdk,BWBSdk/104a,At,2,WHM
BWBSdk,BWBSdk/104a,Bl,3,WHM
BWBSdk,BWBSdk/104a,Pli,2,WHM
BWBSdk,BWBSdk/104a,Sb,2,WHM
BWBSdk,BWBSdk/104a,Sw,1,WHM
BWBSdk,BWBSdk/104b,At,3,WHM
BWBSdk,BWBSdk/104b,Bl,5,WHM
BWBSdk,BWBSdk/104b,Pli,2,WHM
BWBSdk,BWBSdk/104b,Sb,2,WHM
BWBSdk,BWBSdk/104b,Sw,2,WHM
BWBSdk,BWBSdk/110,Acb,2,D6
BWBSdk,BWBSdk/110,At,2,D6
BWBSdk,BWBSdk/110,Bl,3,D6
BWBSdk,BWBSdk/110,Ep,3,D6
BWBSdk,BWBSdk/110,Pli,2,D6
BWBSdk,BWBSdk/110,Sb,5,D6
BWBSdk,BWBSdk/110,Sw,1,D6
BWBSdk,BWBSdk/111,Acb,2,
BWBSdk,BWBSdk/111,At,3,
BWBSdk,BWBSdk/111,Bl,3,
BWBSdk,BWBSdk/111,Ep,3,
BWBSdk,BWBSdk/111,Pli,2,
BWBSdk,BWBSdk/111,Sb,3,
BWBSdk,BWBSdk/111,Sw,1,
BWBSdk,BWBSdk/112,Acb,1,WHM
BWBSdk,BWBSdk/112,Sw,2,WHM
BWBSdk,BWBSdk/Gb,X,1,WHM
BWBSdk,BWBSdk/Gg,X,1,WHM
BWBSdk,BWBSdk/Ro,X,1,
BWBSdmN,BWBSdmN/a,Pj,1,
BWBSdmN,BWBSdmN/a,Pli,2,
BWBSdmN,BWBSdmN/b,At,3,
BWBSdmN,BWBSdmN/b,Ep,3,
BWBSdmN,BWBSdmN/b,Pj,2,
BWBSdmN,BWBSdmN/b,Pli,1,
BWBSdmN,BWBSdmN/b,Sb,3,
BWBSdmN,BWBSdmN/b,Sw,2,
BWBSdmN,BWBSdmN/c,Pj,1,
BWBSdmN,BWBSdmN/c,Pli,1,
BWBSdmN,BWBSdmN/c,Sb,2,
BWBSdmN,BWBSdmN/d,Acb,3,
BWBSdmN,BWBSdmN/d,At,1,
BWBSdmN,BWBSdmN/d,Bb,3,
BWBSdmN,BWBSdmN/d,Ep,3,
BWBSdmN,BWBSdmN/d,Pli,1,
BWBSdmN,BWBSdmN/d,Sb,3,
BWBSdmN,BWBSdmN/d,Sw,1,
BWBSdmN,BWBSdmN/e,Acb,1,
BWBSdmN,BWBSdmN/e,At,1,
BWBSdmN,BWBSdmN/e,Bb,3,
BWBSdmN,BWBSdmN/e,Ep,3,
BWBSdmN,BWBSdmN/e,Sw,1,
BWBSdmN,BWBSdmN/f,Acb,2,
BWBSdmN,BWBSdmN/f,At,2,
BWBSdmN,BWBSdmN/f,Bb,3,
BWBSdmN,BWBSdmN/f,Ep,2,
BWBSdmN,BWBSdmN/f,Pli,3,
BWBSdmN,BWBSdmN/f,Sw,1,
BWBSdmN,BWBSdmN/g,Pj,2,
BWBSdmN,BWBSdmN/g,Pli,2,
BWBSdmN,BWBSdmN/g,Sb,1,
BWBSdmN,BWBSdmN/h,Ep,3,
BWBSdmN,BWBSdmN/h,Sb,1,
BWBSdmN,BWBSdmN/h,Sw,1,
BWBSdmN,BWBSdmN/i,Sb,1,
BWBSdmN,BWBSdmN/j,Lt,2,
BWBSdmN,BWBSdmN/j,Sb,1,
BWBSdmN,BWBSdmN/k,Lt,1,
BWBSdmN,BWBSdmN/k,Sb,3,
BWBSdmN,BWBSdmN/Ro,X,1,
BWBSdmS,BWBSdmS/a,Pj,1,
BWBSdmS,BWBSdmS/a,Pli,2,
BWBSdmS,BWBSdmS/b,At,3,
BWBSdmS,BWBSdmS/b,Ep,3,
BWBSdmS,BWBSdmS/b,Pj,2,
BWBSdmS,BWBSdmS/b,Pli,1,
BWBSdmS,BWBSdmS/b,Sb,3,
BWBSdmS,BWBSdmS/b,Sw,2,
BWBSdmS,BWBSdmS/c,Pj,1,
BWBSdmS,BWBSdmS/c,Pli,1,
BWBSdmS,BWBSdmS/c,Sb,2,
BWBSdmS,BWBSdmS/d,Acb,3,
BWBSdmS,BWBSdmS/d,At,1,
BWBSdmS,BWBSdmS/d,Bb,3,
BWBSdmS,BWBSdmS/d,Ep,3,
BWBSdmS,BWBSdmS/d,Pli,1,
BWBSdmS,BWBSdmS/d,Sb,3,
BWBSdmS,BWBSdmS/d,Sw,1,
BWBSdmS,BWBSdmS/e,Acb,1,
BWBSdmS,BWBSdmS/e,At,1,
BWBSdmS,BWBSdmS/e,Bb,3,
BWBSdmS,BWBSdmS/e,Ep,3,
BWBSdmS,BWBSdmS/e,Sw,1,
BWBSdmS,BWBSdmS/f,Acb,2,
BWBSdmS,BWBSdmS/f,At,2,
BWBSdmS,BWBSdmS/f,Bb,3,
BWBSdmS,BWBSdmS/f,Ep,2,
BWBSdmS,BWBSdmS/f,Pli,3,
BWBSdmS,BWBSdmS/f,Sw,1,
BWBSdmS,BWBSdmS/g,Pj,2,
BWBSdmS,BWBSdmS/g,Pli,2,
BWBSdmS,BWBSdmS/g,Sb,1,
BWBSdmS,BWBSdmS/h,Ep,3,
BWBSdmS,BWBSdmS/h,Sb,1,
BWBSdmS,BWBSdmS/h,Sw,1,
BWBSdmS,BWBSdmS/i,Sb,1,
BWBSdmS,BWBSdmS/j,Lt,2,
BWBSdmS,BWBSdmS/j,Sb,1,
BWBSdmS,BWBSdmS/k,Lt,1,
BWBSdmS,BWBSdmS/k,Sb,3,
BWBSdmS,BWBSdmS/Ro,X,1,
BWBSlbE,BWBSlbE/a,Pj,1,
BWBSlbE,BWBSlbE/a,Pli,2,
BWBSlbE,BWBSlbE/a,Sb,5,
BWBSlbE,BWBSlbE/b,At,1,
BWBSlbE,BWBSlbE/b,Ep,3,
BWBSlbE,BWBSlbE/b,Pj,2,
BWBSlbE,BWBSlbE/b,Sb,3,
BWBSlbE,BWBSlbE/b,Sw,2,
BWBSlbE,BWBSlbE/c,At,3,
BWBSlbE,BWBSlbE/c,Pj,1,
BWBSlbE,BWBSlbE/c,Sb,1,
BWBSlbE,BWBSlbE/d,Acb,3,
BWBSlbE,BWBSlbE/d,At,2,
BWBSlbE,BWBSlbE/d,Bb,3,
BWBSlbE,BWBSlbE/d,Ep,1,
BWBSlbE,BWBSlbE/d,Pj,3,
BWBSlbE,BWBSlbE/d,Pli,3,
BWBSlbE,BWBSlbE/d,Sb,2,
