Retire,SS_class,Source,Zone,SubzoneGroup,Subzone,BGC_Label,BGC,ZoneName,SubzoneName,General Location,OldSubzoneLabel,DataSet,State,Notes
,,USA_2019,CMX,CMX,CMXdm,CMX dm_OR,CMXdm_OR,Coastal Mixed Evergreen,Dry Maritime Oregon CMX,SW Oregon and NW California,CMX dmz,USA,OR,
,,USA_2019,CMX,CMX,CMXwm,CMX wm_OR,CMXwm_OR,Coastal Mixed Evergreen,Wet Maritime Oregon CMX,SW Oregon and NW California,CMX wmz,USA,OR,
,,USA_2019,CMX,CMX,CMXxm,CMX xm_CA,CMXxm_CA,Coastal Mixed Evergreen,Very Dry Maritime California CMX,California,CMX dmy,USA,CA,
,,USA_2019,CRF,CRF,CRFdh,CRF dh_CA,CRFdh_CA,Coastal Redwood Forest,Dry Hypermaritime California CRF,N California,CRF dhz,USA,CA,
,,USA_2019,CVG,CVG,CVGdm,CVG dm_CA,CVGdm_CA,California Valley Grassland ,Dry Mild CVG,"Central Valley, California",CVG un,USA,CA,
,,USA_2019,CWF,CWF,CWFds,CWF ds_CA,CWFds_CA,Coastal White Fir,Dry Submaritime California CWF,EC California,CWF msz,USA,CA,
,,USA_2019,CWF,CWF,CWFmm,CWF mm_OR,CWFmm_OR,Coastal White Fir,Moist Maritime Oregon CWF,SW Oregon and NW California,CWF wsz,USA,OR,
,,USA_2019,CWF,CWF,CWFwm,CWF wm_OR,CWFwm_OR,Coastal White Fir,Wet Maritime Oregon CWF,SW Oregon and NW California,CWF wmz,USA,OR,
,,BGCv11,CWH,CWH_dry/continental,CWHdm,CWH dm,CWHdm,Coastal Western Hemlock,Dry Maritime   CWH ,Dry Maritime,,BC,BC,
,,USA_2019,CWH,CWH_dry/continental,CWHdm,CWH dm_OR,CWHdm_OR,Coastal Western Hemlock,Dry Maritime Oregon CWH,W Oregon,CWH dmx,USA,OR,
,,USA_2019,CWH,CWH_dry/continental,CWHdm,CWH dm_WA,CWHdm_WA,Coastal Western Hemlock,Dry Maritime Washington CWH,W Washington,CWH dmz,USA,WA,
,,BGCv11,CWH,CWH_dry/continental,CWHds,CWH ds 1,CWHds1,Coastal Western Hemlock,Dry Submaritime Southern CWH ,Dry Submaritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHds,CWH ds 2,CWHds2,Coastal Western Hemlock,Dry Submaritime Central CWH ,Dry Submaritime,,BC,BC,
,,USA_2019,CWH,CWH_dry/continental,CWHds,CWH ds_WA,CWHds_WA,Coastal Western Hemlock,Dry Submaritime Washington CWH,NW Washington,CWH dsz,USA,WA,
,,USA_2019,CWH,CWH_hypermaritime,CWHmh,CWH mh_OR,CWHmh_OR,Coastal Western Hemlock,Moist Hypermaritime Oregon CWH,W Oregon,CWH mhz,USA,OR,
,,BGCv11,CWH,CWH_meso,CWHmm,CWH mm 1,CWHmm1,Coastal Western Hemlock,Moist Maritime Submontane CWH ,Moist Maritime,,BC,BC,
,,BGCv11,CWH,CWH_meso,CWHmm,CWH mm 2,CWHmm2,Coastal Western Hemlock,Moist Maritime Montane CWH ,Moist Maritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHms,CWH ms 1,CWHms1,Coastal Western Hemlock,Moist Submaritime Southern CWH ,Moist Submaritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHms,CWH ms 2,CWHms2,Coastal Western Hemlock,Moist Submaritime Central CWH ,Moist Submaritime,,BC,BC,
,,USA_2019,CWH,CWH_dry/continental,CWHms,CWH ms_OR,CWHms_OR,Coastal Western Hemlock,Moist Submaritime Oregon CWH,W Oregon,CWH msy,USA,OR,
,,USA_2019,CWH,CWH_dry/continental,CWHms,CWH ms_WA,CWHms_WA,Coastal Western Hemlock,Moist Submaritime Washington CWH,W Washington,CWH msz,USA,WA,
,,BGCv11,CWH,CWH_hypermaritime,CWHvh,CWH vh 1,CWHvh1,Coastal Western Hemlock,Very Wet Hypermaritime Southern CWH ,Very Wet Hypermaritime,,BC,BC,
,,BGCv11,CWH,CWH_hypermaritime,CWHvh,CWH vh 2,CWHvh2,Coastal Western Hemlock,Very Wet Hypermaritime Central CWH ,Very Wet Hypermaritime,,BC,BC,
,,BGCv11,CWH,CWH_hypermaritime,CWHvh,CWH vh 3,CWHvh3,Coastal Western Hemlock,Very Wet Hypermaritime Haida Gwaii CWH ,Very Wet Hypermaritime,,BC,BC,
,,USA_2019,CWH,CWH_hypermaritime,CWHvh,CWH vh_WA,CWHvh_WA,Coastal Western Hemlock,Very Wet Hypermaritime Washington CWH,W Washington,CWH vhz,USA,WA,
,,BGCv11,CWH,CWH_meso,CWHvm,CWH vm 1,CWHvm1,Coastal Western Hemlock,Very Wet Maritime Submontane CWH ,Very Wet Maritime,,BC,BC,
,,BGCv11,CWH,CWH_meso,CWHvm,CWH vm 2,CWHvm2,Coastal Western Hemlock,Very Wet Maritime Montane CWH ,Very Wet Maritime,,BC,BC,
,,USA_2019,CWH,CWH_meso,CWHvm,CWH vm_OR,CWHvm_OR,Coastal Western Hemlock,Very Wet Maritime Oregon CWH,"W Washington & Oregon, S of Mt Ranier",CWH vmy,USA,OR,
,,USA_2019,CWH,CWH_meso,CWHvm,CWH vm_WA,CWHvm_WA,Coastal Western Hemlock,Very Wet Maritime Washington CWH,W Washington,CWH vmz,USA,WA,
,,BGCv11,CWH,CWH_meso,CWHwh,CWH wh 1,CWHwh1,Coastal Western Hemlock,Wet Hypermaritime Submontane CWH ,Wet Hypermaritime,,BC,BC,
,,BGCv11,CWH,CWH_hypermaritime,CWHwh,CWH wh 2,CWHwh2,Coastal Western Hemlock,Wet Hypermaritime Montane CWH ,Wet Hypermaritime,,BC,BC,
,,USA_2019,CWH,CWH_hypermaritime,CWHwh,CWH wh_WA,CWHwh_WA,Coastal Western Hemlock,Wet Hypermaritime Washington CWH,"W Oregon, Washington",CWH whz,USA,WA,
,,BGCv11,CWH,CWH_meso,CWHwm,CWH wm,CWHwm,Coastal Western Hemlock,Wet Maritime   CWH ,Wet Maritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHws,CWH ws 1,CWHws1,Coastal Western Hemlock,Wet Submaritime Submontane CWH ,Wet Submaritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHws,CWH ws 2,CWHws2,Coastal Western Hemlock,Wet Submaritime Montane CWH ,Wet Submaritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHxm,CWH xm 1,CWHxm1,Coastal Western Hemlock,Very Dry Maritime Eastern CWH ,Very Dry Maritime,,BC,BC,
,,BGCv11,CWH,CWH_dry/continental,CWHxm,CWH xm 2,CWHxm2,Coastal Western Hemlock,Very Dry Maritime Western CWH ,Very Dry Maritime,,BC,BC,
,,USA_2019,CWH,CWH_dry/continental,CWHxm,CWH xm_OR,CWHxm_OR,Coastal Western Hemlock,Very Dry Maritime Oregon CWH,"W Oregon, S of Eugene",CWH xmy,USA,OR,
,,USA_2019,CWH,CWH_dry/continental,CWHxm,CWH xm_WA,CWHxm_WA,Coastal Western Hemlock,Very Dry Maritime Washington CWH,W WA and OR,CWH xmz,USA,WA,
x,,AB_2018,ESSF,ESSF_dry,ESSFab,ESSFab,ESSFab,Engelmann Spruce -- Subalpine Fir,Alberta ESSF,SW Alberta,ESLPab,AB,AB,
,,AB_2018,ESSF,ESSF_dry,ESSFab,ESSFabC,ESSFabC,Engelmann Spruce - Subalpine Fir,Alberta Central ESSF,,,AB,AB,
,,AB_2018,ESSF,ESSF_dry,ESSFab,ESSFabE,ESSFabE,Engelmann Spruce - Subalpine Fir,Alberta Eastern ESSF,,,AB,AB,
,,AB_2018,ESSF,ESSF_dry,ESSFab,ESSFabN,ESSFabN,Engelmann Spruce - Subalpine Fir,Alberta Northern ESSF,,,AB,AB,
,,AB_2018,ESSF,ESSF_dry,ESSFab,ESSFabS,ESSFabS,Engelmann Spruce - Subalpine Fir,Alberta Southern ESSF,,,AB,AB,
,,BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc 1,ESSFdc1,Engelmann Spruce -- Subalpine Fir,Dry Cold Monashee ESSF,Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc 2,ESSFdc2,Engelmann Spruce -- Subalpine Fir,Dry Cold Cascade ESSF,Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc 3,ESSFdc3,Engelmann Spruce -- Subalpine Fir,Dry Cold North Thompson ESSF,Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdcp,ESSFdcp,ESSFdcp,Engelmann Spruce -- Subalpine Fir,Dry Cold Parkland   ESSF,Dry Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdcw,ESSFdcw,ESSFdcw,Engelmann Spruce -- Subalpine Fir,Dry Cold Woodland   ESSF,Dry Cold Woodland,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFdh,ESSFdh_WA,ESSFdh_WA,Engelmann Spruce - Subalpine Fir,Dry Hot Washington ESSF,NW Washington,ESSFdhz,USA,WA,
,,BGCv12,ESSF,ESSF_dry,ESSFdh,ESSFdh1,ESSFdh1,Engelmann Spruce - Subalpine Fir,Dry Hot ESSF,,,BC,BC,
,,BGCv12,ESSF,ESSF_dry,ESSFdh,ESSFdh2,ESSFdh2,Engelmann Spruce - Subalpine Fir,Dry Hot ESSF,,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdk,ESSFdk 1,ESSFdk1,Engelmann Spruce -- Subalpine Fir,Dry Cool Elk ESSF,Dry Cool,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdk,ESSFdk 2,ESSFdk2,Engelmann Spruce -- Subalpine Fir,Dry Cool Columbia ESSF,Dry Cool,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFdk,ESSFdk_MT,ESSFdk_MT,Engelmann Spruce - Subalpine Fir,Dry Cool Montana ESSF,SE BC & NW Montana,ESSFdkz,USA,MT,
,no,BGCv11,ESSF,ESSF_dry,ESSFdkp,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland   ESSF,Dry Cool Parkland,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFdkp,ESSFdkp_MT,ESSFdkp_MT,Engelmann Spruce - Subalpine Fir,Dry Cool Montana Parkland ESSF,SE BC & NW Montana,ESSFdkzp,USA,MT,
,,BGCv11,ESSF,ESSF_dry,ESSFdkw,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland   ESSF,Dry Cool Woodland,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFdm,ESSFdm_ID,ESSFdm_ID,Engelmann Spruce - Subalpine Fir,Dry Mild Idaho ESSF,EC Idaho & WC Montana,ESSFxmz,USA,ID,
,,USA_2019,ESSF,ESSF_dry,ESSFdmp,ESSFdmp_ID,ESSFdmp_ID,Engelmann Spruce - Subalpine Fir,Dry Mild Idaho Parkland ESSF,EC Idaho & WC Montana,ESSFxmzp,USA,ID,
,,BGCv11,ESSF,ESSF_dry,ESSFdv,ESSFdv 1,ESSFdv1,Engelmann Spruce -- Subalpine Fir,Dry Very Cold Cayoosh ESSF,Dry Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdv,ESSFdv 2,ESSFdv2,Engelmann Spruce -- Subalpine Fir,Dry Very Cold Tyaughton ESSF,Dry Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFdvp,ESSFdvp,ESSFdvp,Engelmann Spruce -- Subalpine Fir,Dry Very Cold Parkland   ESSF,Dry Very Cold Parkland,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFdvw,ESSFdvw,ESSFdvw,Engelmann Spruce -- Subalpine Fir,Dry Very Cold Woodland  ESSF,Dry Very Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmc,ESSFmc,ESSFmc,Engelmann Spruce -- Subalpine Fir,Moist Cold   ESSF,Moist Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmcp,ESSFmcp,ESSFmcp,Engelmann Spruce -- Subalpine Fir,Moist Cold Parkland   ESSF,Moist Cold Parkland,,BC,BC,
,,BGCv12,ESSF,ESSF_meso,ESSFmcw,ESSFmcw,ESSFmcw,Engelmann Spruce - Subalpine Fir,Moist Cold Woodland   ESSF,,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmh,ESSFmh,ESSFmh,Engelmann Spruce -- Subalpine Fir,Moist Hot  ESSF,Moist Hot,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmk,ESSFmk,ESSFmk,Engelmann Spruce -- Subalpine Fir,Moist Cool   ESSF,Moist Cool,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmkp,ESSFmkp,ESSFmkp,Engelmann Spruce -- Subalpine Fir,Moist Cool Parkland   ESSF,Moist Cool Parkland,,BC,BC,
,,BGCv12,ESSF,ESSF_meso,ESSFmkw,ESSFmkw,ESSFmkw,Engelmann Spruce - Subalpine Fir,Moist Cool Woodland   ESSF,,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmm,ESSFmm 1,ESSFmm1,Engelmann Spruce -- Subalpine Fir,Moist Mild Raush ESSF,Moist Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmm,ESSFmm 2,ESSFmm2,Engelmann Spruce -- Subalpine Fir,Moist Mild Robson ESSF,Moist Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmm,ESSFmm 3,ESSFmm3,Engelmann Spruce -- Subalpine Fir,Moist Mild Spillimacheen ESSF,Moist Mild,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmmp,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland   ESSF,Moist Mild Parkland,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmmw,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland  ESSF,Moist Mild Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmv,ESSFmv 1,ESSFmv1,Engelmann Spruce -- Subalpine Fir,Moist Very Cold Nechako ESSF,Moist Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmv,ESSFmv 2,ESSFmv2,Engelmann Spruce -- Subalpine Fir,Moist Very Cold Bullmoose ESSF,Moist Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmv,ESSFmv 3,ESSFmv3,Engelmann Spruce -- Subalpine Fir,Moist Very Cold Omineca ESSF,Moist Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmv,ESSFmv 4,ESSFmv4,Engelmann Spruce -- Subalpine Fir,Moist Very Cold Graham ESSF,Moist Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmvp,ESSFmvp,ESSFmvp,Engelmann Spruce -- Subalpine Fir,Moist Very Cold Parkland   ESSF,Moist Very Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw,ESSFmw,Engelmann Spruce -- Subalpine Fir,Moist Warm   ESSF,Moist Warm,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw 1,ESSFmw1,Engelmann Spruce -- Subalpine Fir,Moist Warm Cascade ESSF,Moist Warm,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw 2,ESSFmw2,Engelmann Spruce -- Subalpine Fir,Moist Warm Stein ESSF,Moist Warm,,BC,BC,
,,USA_2019,ESSF,ESSF_meso,ESSFmw,ESSFmw_WA,ESSFmw_WA,Engelmann Spruce - Subalpine Fir,Moist Warm Washington ESSF,NW Washington,ESSFmwz,USA,WA,
,no,BGCv11,ESSF,ESSF_meso,ESSFmwp,ESSFmwp,ESSFmwp,Engelmann Spruce -- Subalpine Fir,Moist Warm Parkland   ESSF,Moist Warm Parkland,,BC,BC,
,no,USA_2019,ESSF,ESSF_meso,ESSFmwp,ESSFmwp_WA,ESSFmwp_WA,Engelmann Spruce - Subalpine Fir,Moist Warm Washington Parkland ESSF,NW Washington,ESSFmwzp,USA,WA,
,,BGCv11,ESSF,ESSF_meso,ESSFmww,ESSFmww,ESSFmww,Engelmann Spruce -- Subalpine Fir,Moist Warm Woodland  ESSF,Moist Warm Woodland,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFun,ESSFun,ESSFun,Engelmann Spruce -- Subalpine Fir,Undifferentiated   ESSF,Undifferentiated,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFunp,ESSFunp,ESSFunp,Engelmann Spruce -- Subalpine Fir,Undifferentiated parkland  ESSF,Undifferentiated parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFvc,ESSFvc,ESSFvc,Engelmann Spruce -- Subalpine Fir,Very Wet Cold   ESSF,Very Wet Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFvcp,ESSFvcp,ESSFvcp,Engelmann Spruce -- Subalpine Fir,Very Wet Cold Parkland   ESSF,Very Wet Cold Parkland,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFvcw,ESSFvcw,ESSFvcw,Engelmann Spruce -- Subalpine Fir,Very Wet Cold Woodland  ESSF,Very Wet Cold Woodland,,BC,BC,
,,USA_2019,ESSF,ESSF_wet,ESSFvh,ESSFvh_ID,ESSFvh_ID,Engelmann Spruce - Subalpine Fir,Very Wet Hot Idaho ESSF,E Idaho & W Montana,ESSFvmz,USA,ID,
,,BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc 2,ESSFwc2,Engelmann Spruce -- Subalpine Fir,Wet Cold Monashee ESSF,Wet Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc 3,ESSFwc3,Engelmann Spruce -- Subalpine Fir,Wet Cold Cariboo ESSF,Wet Cold,,BC,BC,
