"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","CMAun","CMAunp","CWHws2","ESSFdcw","ESSFdkp","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmkw","ESSFmm1","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFunp","ESSFwc2","ESSFwcw","ESSFwmp","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc3","ESSFxcp","ESSFxv1","ESSFxv2","ESSFxvp","ICHdw3","ICHmc1","ICHmc2","ICHmk2","IDFdk1","IDFxm","IMAun","IMAunp","MHmm2","MHmmp","SBSdk","SBSmc2","SBSwk1","SBSwk3"
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",1154,516,440,33,478,NA,NA,NA,14,3,1,8461,219,645,1627,952,268,NA,2,NA,NA,526,2,1,NA,5,7,2,305,32,16,1,NA,1,1,16,NA,29,1136,12,26,128,150,NA,2194,327,7692,31357,1,205
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",1071,290,687,343,621,NA,NA,1,7,2,1,5416,415,1154,312,585,16,NA,6,NA,NA,1,NA,NA,NA,6,1,NA,911,86,40,NA,NA,NA,NA,8,NA,261,1572,23,95,129,111,NA,1964,418,7341,25779,NA,69
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",743,179,634,210,482,NA,1,NA,5,NA,NA,2504,49,52,105,364,15,NA,NA,NA,NA,110,NA,NA,NA,7,10,1,178,14,4,NA,NA,NA,NA,NA,NA,193,1710,4,197,47,143,NA,1738,345,6666,15727,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",743,179,634,210,482,NA,1,NA,5,NA,NA,2504,49,52,105,364,15,NA,NA,NA,NA,110,NA,NA,NA,7,10,1,178,14,4,NA,NA,NA,NA,NA,NA,193,1710,4,197,47,143,NA,1738,345,6666,15727,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1078,244,715,207,645,NA,NA,NA,3,3,NA,4763,170,811,326,509,24,NA,4,NA,NA,167,NA,NA,NA,9,9,NA,615,58,28,NA,NA,NA,NA,2,NA,268,1661,14,10,129,106,NA,1845,455,8481,28729,1,67
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",80,80,98,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,259,NA,NA,NA,34,NA,102,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",59,4,48,288,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,176,NA,NA,NA,7,NA,51,NA,NA,1,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",139,10,109,191,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,NA,NA,30,NA,94,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",34,13,141,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,454,NA,NA,NA,39,NA,32,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",348,44,480,303,533,NA,NA,NA,NA,2,NA,15,95,19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,166,3,NA,NA,NA,NA,NA,NA,NA,279,1631,NA,44,NA,21,NA,1030,33,243,663,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",311,129,463,265,409,NA,NA,NA,NA,1,NA,64,46,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,115,1560,NA,8,NA,43,NA,907,27,759,174,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",424,209,472,187,413,NA,NA,NA,2,1,1,459,81,315,2,18,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,88,1620,1,74,9,36,NA,1091,41,1683,2528,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",488,7,418,371,689,NA,NA,NA,NA,NA,NA,56,198,49,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,499,25,NA,NA,NA,NA,NA,NA,NA,404,1727,NA,157,NA,14,NA,1491,144,905,71,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",53,NA,172,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,475,686,NA,NA,NA,31,NA,78,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",226,192,379,152,14,NA,NA,NA,NA,NA,NA,2,5,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,3,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,196,1161,NA,48,NA,52,NA,637,2,NA,60,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",14,NA,86,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,46,NA,NA,NA,11,NA,22,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",85,NA,187,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,434,675,NA,NA,NA,30,NA,143,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",278,62,370,298,459,NA,NA,NA,NA,1,NA,NA,54,6,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,307,1722,1,25,NA,10,NA,823,17,499,40,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",263,177,343,209,262,NA,NA,NA,NA,1,NA,NA,31,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,354,1495,1,NA,NA,5,NA,760,4,234,34,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",330,16,238,353,574,NA,NA,NA,NA,1,NA,27,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,299,1785,NA,206,NA,32,NA,871,32,4376,192,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",223,70,329,319,384,NA,NA,NA,NA,1,NA,NA,73,8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,255,1391,1,NA,NA,13,NA,789,6,NA,18,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",249,NA,446,269,691,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,485,1602,NA,21,NA,4,NA,651,19,73,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",169,NA,198,365,588,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,378,1605,NA,1,NA,6,NA,343,4,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",275,NA,570,163,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,775,1591,NA,12,101,22,NA,777,64,330,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",369,1,735,163,707,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,NA,357,1,NA,NA,NA,NA,NA,NA,NA,490,1507,NA,NA,114,26,NA,1228,101,579,17,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",250,178,372,230,341,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,195,1043,NA,NA,NA,24,NA,740,3,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",417,333,465,169,515,NA,NA,NA,NA,NA,NA,83,3,10,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,218,1624,NA,4,2,40,NA,1005,23,492,1799,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",156,76,168,116,253,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,83,NA,NA,NA,5,NA,414,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",189,45,451,343,221,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,192,1120,NA,4,NA,49,NA,824,19,NA,2,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",458,271,302,160,180,NA,NA,NA,1,NA,1,740,25,337,NA,20,3,NA,NA,NA,NA,35,NA,NA,NA,4,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,47,1171,NA,4,18,69,NA,1023,41,2603,4034,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",630,253,318,95,352,NA,NA,NA,1,NA,NA,2227,16,388,29,166,33,NA,NA,NA,NA,96,NA,NA,NA,5,1,NA,147,NA,NA,NA,NA,NA,NA,2,NA,35,1476,7,16,121,79,NA,1325,107,5109,15666,NA,7
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",287,271,234,222,127,NA,NA,NA,1,NA,NA,127,44,124,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,86,1053,NA,NA,NA,36,NA,766,4,436,788,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",58,173,167,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,784,NA,NA,NA,43,NA,434,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",58,173,167,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,784,NA,NA,NA,43,NA,434,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",158,79,323,210,193,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,193,1197,NA,NA,NA,32,NA,564,2,NA,14,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",1,NA,10,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,6,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",1,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",108,3,303,186,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,604,NA,NA,NA,9,NA,157,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",181,1,417,208,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,343,1300,NA,NA,NA,38,NA,365,7,1,2,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",184,73,425,4,14,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,230,1372,NA,NA,NA,62,NA,626,2,14,33,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",127,1,277,231,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,546,783,NA,NA,NA,4,NA,188,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",1,NA,19,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",2,NA,46,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,61,NA,NA,NA,19,NA,10,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",1,NA,21,210,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",1,NA,19,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,196,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",65,NA,129,341,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,599,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",57,NA,104,284,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,291,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",121,8,217,268,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,401,984,NA,NA,NA,4,NA,230,NA,NA,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",32,NA,33,403,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,548,NA,NA,NA,4,NA,93,NA,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",110,NA,301,122,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,676,1124,NA,NA,NA,2,NA,82,NA,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",37,NA,28,360,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,779,NA,NA,NA,1,NA,15,NA,NA,NA,NA,NA
