"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","CMAun","CMAunp","CWHws2","ESSFdcw","ESSFdkp","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmkw","ESSFmm1","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFunp","ESSFwc2","ESSFwcw","ESSFwmp","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc3","ESSFxcp","ESSFxv1","ESSFxv2","ESSFxvp","ICHdw3","ICHmc1","ICHmc2","ICHmk2","IDFdk1","IDFxm","IMAun","IMAunp","MHmm2","MHmmp","SBSdk","SBSmc2","SBSwk1","SBSwk3","CWHds2","ESSFdc1","ESSFdc2","ESSFmwp","ESSFxcw","ICHmk3","ICHmw3","IDFdk2","IDFdk3","IDFdk4","MSdm2","MSxk2","MSxk3","SBSdw2","SBSmm","CMAun_WA","CWHms1","ESSFdh2","ESSFdk2","ESSFmh","ESSFmm3","ESSFmw1","ESSFmw2","ESSFwc3","ESSFwc4","ESSFwcp","ESSFwh1","ESSFwk1","ESSFwk2","ESSFwm2","ESSFxc2","ICHmk1","ICHmm","ICHmw1","ICHmw2","ICHmw5","ICHwk1","ICHxm1","IDFdc","IDFdk5","IDFdw","IDFmw2","IDFww","IDFxc","IDFxh2","MSdc1","MSdc3","MSdm1","SBSdh1","SBSdw3","SBSmh","SBSmk1","SBSmw","SBSwk2","ESSFdh1","ESSFmww","ESSFwh2","ESSFwmw","ICHdw4","ICHmk5","MSdk","MSdw","MSxk1","MSxv","ESSFabN","ESSFmm2","IMAab","SBSdh2","ESSFdv1","IDFxw","ICHwk3","ICHwk4","SBSdw1","ESSFwm1","ICHvc","SBSmc1","ICHwk2","ESSFdk1","ESSFwh3","ESSFwm_MT","ESSFwm3","ESSFwm4","ESSFxc1","ICHmk4","ESSFmv2","ICHvk1","ICHwc","CWHds1","ESSFvcp","ICHvk2","IDFxh1","SBSvk","ICHdm","ICHmw4","IDFdm2","BWBSwk1","ESSFvc","MHmm1","ESSFxh_WA","ESSFvh_ID","ICHdw1","ICHxw_WA","IMAun_MT","MHmm_WA","MSdm_WA","CWHms_WA","CWHvm_WA","ESSFmw_WA","ICHdw_ID","ICHxw","ICHxwa","MHms_WA","CWHws1","CWHvm2","CWHwm","ESSFvcw","IDFdm1","IDFww1","GOun_CO","CWHds_WA","IDFdh","IDFdh_UT","IDFxk","IDFxx1","PPxh1","CWHdm","CWHvm1","MSdh_UT"
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",620,114,1436,812,12863,509,NA,12,NA,9,5,616,89,216,19,533,290,20,40,NA,NA,8,NA,NA,NA,4164,192,197,8372,1006,1001,NA,NA,NA,NA,1,112,10973,10150,21471,1269,174,256,13,9124,3992,1897,5499,1468,NA,518,1239,481,2,NA,NA,194,3816,456,NA,3415,NA,NA,1416,4,NA,2,NA,3,1562,NA,NA,10,121,242,99,163,841,131,42,NA,831,NA,1,410,286,892,NA,11,NA,NA,41,NA,NA,NA,NA,NA,305,NA,3296,243,2347,49,1096,NA,NA,1,40,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,1,NA,7,13,3140,169,9,56,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",724,67,1588,496,16092,338,1,27,NA,8,1,950,134,342,24,563,273,10,28,NA,NA,16,NA,NA,NA,4310,100,117,9041,1071,1145,NA,NA,NA,NA,1,164,13783,11484,19243,893,275,192,4,9206,4263,3142,6333,684,1,581,444,106,1,NA,NA,102,2332,636,NA,1385,NA,NA,2065,NA,NA,NA,NA,5,334,NA,NA,NA,42,52,41,61,407,49,17,NA,345,NA,NA,111,100,741,NA,3,NA,NA,58,NA,NA,NA,NA,NA,123,38,4488,245,1928,25,950,NA,NA,1,11,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,3,7,2245,125,118,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",622,542,905,959,4314,1681,10,7,23,43,62,1263,133,143,36,770,272,6,16,NA,NA,9,NA,74,NA,2219,353,385,5364,726,774,NA,10,NA,NA,8,8,3375,5719,17893,4902,38,283,106,7981,2964,1378,5451,1409,2,268,3799,3652,24,NA,NA,283,14722,9,NA,10160,NA,NA,271,3,5,143,7,NA,5128,NA,63,188,112,553,163,287,733,71,313,10,1498,NA,NA,1470,466,799,109,NA,NA,NA,NA,NA,NA,40,NA,NA,584,NA,3775,170,1871,110,941,1,33,60,95,6,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,660,500,NA,4,45,18,4,13,1,2,73,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",566,90,1101,329,10675,428,3,12,NA,7,5,1495,256,627,220,1153,753,10,104,2,NA,56,1,1,NA,5506,195,155,6338,597,953,NA,NA,NA,NA,2,592,9106,7429,22485,1114,777,260,2,8876,3355,5257,4417,1419,29,546,591,579,1,NA,NA,343,2968,600,NA,3738,NA,NA,1119,NA,NA,18,NA,6,1072,NA,NA,3,42,224,94,289,370,164,74,NA,564,NA,41,612,130,1698,NA,12,NA,NA,114,NA,NA,41,NA,NA,19,95,7477,485,4427,30,1391,NA,NA,9,22,NA,12,2,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,616,145,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1923,384,1755,786,8589,148,4,8,14,43,12,10689,846,2380,2201,1996,1426,2,34,4,NA,378,14,1,NA,646,73,7,6559,1344,1721,NA,6,NA,NA,17,19,4647,3371,569,573,1118,238,14,7862,3131,15456,40560,26,1789,NA,40,42,3,1,NA,NA,222,NA,NA,493,NA,NA,7,2,NA,5,NA,NA,8,6,NA,NA,NA,8,28,4,49,45,4,NA,40,NA,55,NA,NA,83,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2251,NA,11,443,341,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2336,513,1540,560,5477,53,3,3,30,47,13,13354,1311,3074,4298,2474,1918,3,29,15,NA,802,35,2,NA,286,87,7,4759,1026,1426,1,17,3,NA,33,8,2331,2613,391,452,1052,288,12,6674,2375,16301,43570,5,3765,NA,23,27,1,1,NA,NA,102,NA,NA,115,NA,NA,5,NA,NA,NA,NA,NA,4,7,NA,NA,NA,9,23,4,15,50,2,NA,1,NA,67,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052,NA,8,275,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1606,460,1782,1825,9073,248,6,7,31,86,59,9418,533,1724,557,1286,844,1,3,NA,NA,68,5,11,NA,578,42,10,8644,1682,1898,NA,13,NA,NA,3,146,8369,6391,1462,2579,777,250,102,9245,3386,14953,32688,58,179,NA,78,505,10,4,NA,1,545,NA,NA,1090,NA,NA,6,1,NA,4,25,2,41,NA,NA,27,NA,7,11,2,100,2,5,NA,32,NA,NA,NA,NA,17,NA,144,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1483,NA,NA,192,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1809,236,1706,431,10394,151,5,2,2,18,NA,8837,878,2377,1876,2038,1404,7,86,33,NA,471,10,NA,1,1252,102,3,6340,985,1453,NA,NA,NA,NA,15,40,5817,3204,603,189,1047,252,2,8111,3377,14576,39058,27,2220,NA,30,7,NA,NA,NA,1,177,NA,NA,405,NA,NA,13,NA,NA,5,NA,NA,NA,6,NA,NA,NA,14,41,4,51,124,3,NA,45,NA,161,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3612,NA,173,518,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2333,421,1480,292,4334,12,21,8,1,14,NA,14425,1417,3659,6220,2977,2338,13,177,122,NA,405,5,NA,10,887,136,8,3729,621,983,NA,NA,2,NA,21,72,2172,2252,662,52,820,346,NA,7780,2145,10059,44669,90,4310,3,15,1,NA,NA,NA,NA,32,NA,NA,73,NA,NA,22,NA,NA,97,NA,19,NA,12,NA,NA,NA,4,70,NA,28,49,NA,NA,19,1,149,NA,NA,62,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3385,NA,380,8,504,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",2254,364,1487,114,4761,8,6,6,NA,6,NA,13017,1502,3799,6285,2913,2469,24,228,173,44,1180,16,NA,70,667,134,NA,3122,409,562,NA,NA,1,NA,18,44,1347,2197,333,1,972,373,NA,7085,2023,10221,39791,61,9013,2,12,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,19,NA,NA,14,NA,43,NA,8,NA,NA,1,3,51,NA,25,23,2,NA,NA,10,348,NA,NA,120,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5404,4,497,56,781,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,25,3,628,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2860,588,1606,225,2436,1,7,5,4,12,NA,16575,1800,4656,8310,3246,2594,79,277,175,31,1068,2,NA,96,393,108,NA,2765,478,557,NA,NA,12,1,33,31,1365,1994,386,NA,393,411,NA,6266,1747,9515,44986,16,7080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,39,NA,10,NA,NA,NA,NA,45,NA,7,12,NA,NA,NA,34,124,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,NA,77,NA,285,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,9,100,14,1010,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",2007,555,1104,364,4878,544,39,44,12,22,NA,12345,1007,2678,4827,2953,2631,2,62,4,NA,294,3,1,NA,1641,179,249,3775,787,1059,1,9,7,1,24,85,1391,2059,1438,590,1004,396,1,8471,1755,8916,41479,866,226,43,162,636,NA,NA,NA,104,519,NA,NA,266,NA,NA,1687,12,NA,154,4,494,13,9,NA,NA,16,17,99,6,171,95,12,NA,128,NA,136,NA,NA,140,NA,2,NA,7,NA,4,NA,NA,13,NA,3,NA,3573,NA,4682,129,700,NA,NA,1,15,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,489,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
