"index","GCM","SSP","RUN","PERIOD","BAFA","CMA","CWH","ESSF","ICH","IDF","IMA","MH","SBS","MS","BWBS","GO","PP"
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",498,2691,24998,11712,47557,13458,147,14191,2742,9583,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",277,3134,20103,17603,45446,11483,212,14071,5106,10142,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",1333,1299,13022,22399,31309,15375,304,12504,19678,10354,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",1698,1003,11866,25748,16894,10763,329,11731,41738,5807,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",955,1978,13633,18863,41796,17667,276,12258,7503,12648,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",609,1717,4713,24986,52151,12700,234,10151,9228,11088,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",609,1717,4713,24986,52151,12700,234,10151,9228,11088,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",334,1737,17511,15913,53563,12252,162,12919,4271,8915,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",80,1333,9281,9515,87307,11575,20,5122,848,2496,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",80,2190,9198,11143,80242,17989,54,3905,452,2324,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",151,1562,10731,7736,93632,7638,15,4630,603,879,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",15,2556,9919,10816,86594,10285,38,4788,378,2188,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",149,1270,18498,12964,65692,9164,64,12113,3993,3670,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",228,1336,18978,14006,62589,7019,136,13091,6922,3272,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",470,894,9751,17968,25704,11492,248,12173,46459,2418,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",160,1622,21866,10750,65828,9246,61,11939,201,5904,NA,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",1,1463,12614,6687,99576,581,21,6572,61,1,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",2,2124,10682,13549,91558,1088,85,6986,932,571,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",2,1004,18917,4016,94854,1544,34,7111,76,19,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",1,1814,11215,8017,97996,1879,56,6133,425,41,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",92,2840,21937,9538,63003,10641,127,10198,118,9083,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",63,2753,23618,9844,61179,10970,222,10274,8,8646,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",163,1873,18485,10861,67585,11559,45,11150,412,5444,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",53,3613,22204,11004,63516,7899,127,9674,186,9301,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",144,1124,27308,8591,72624,4037,23,12787,910,29,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",62,2632,23339,11014,67973,6745,89,9623,42,6058,NA,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",190,668,22198,8394,59158,4776,98,13435,18658,2,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",126,1146,22555,6617,80809,1096,23,13428,1777,NA,NA,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",132,2427,22684,9404,54768,13816,109,11827,1532,10878,NA,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",90,2917,26487,7367,68125,7524,97,10261,193,4516,NA,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",94,3639,18866,13702,49861,17405,143,10413,1542,11912,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",413,2105,22893,9249,33617,15220,67,12454,13170,18389,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",513,2131,28557,9989,51477,9598,120,13460,1723,10009,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",430,1994,39344,6704,49721,8866,81,14909,1858,3670,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",511,2981,13873,16160,49732,13541,216,11698,3748,15117,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",24,718,13836,9806,86062,59,42,10389,6641,NA,NA,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",24,718,13836,9806,86062,59,42,10389,6641,NA,NA,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",39,1212,18822,8890,74321,9159,41,9924,1192,3977,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",32,790,13377,5028,95708,9121,39,3201,18,263,NA,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",1,629,11549,7051,89808,14677,29,3033,NA,800,NA,NA,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",34,443,13800,3617,100213,6758,13,2598,66,34,NA,1,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",141,1504,11652,5933,78638,22813,14,4102,125,2655,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",8,2100,17722,7169,87029,4550,36,8287,45,631,NA,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",44,1400,15980,7945,84292,7511,15,9382,442,566,NA,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",8,2088,11808,12349,84215,3431,136,8459,180,4903,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",4,1968,18150,6267,92374,334,36,8404,40,NA,NA,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,800,14592,4006,101481,200,NA,6498,NA,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",1,900,16598,3933,99662,13,12,6457,1,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,945,13424,3633,103547,308,NA,5720,NA,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,942,14276,4987,99698,390,40,7243,1,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",17,1576,16093,7748,77530,9600,40,8980,479,5514,NA,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",38,1880,20013,8073,72004,9767,48,9933,467,5354,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",6,1333,14675,8071,79657,10366,48,8515,498,4408,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",12,2005,14857,7495,85612,4423,94,8052,367,4660,NA,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",30,1487,23619,7697,80616,3449,29,10193,243,214,NA,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",168,2251,13688,13308,75620,5040,36,9356,1615,6495,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",54,1277,24377,8831,79180,1503,NA,12032,323,NA,NA,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",33,1503,23980,5743,87129,265,30,8729,159,6,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",118,1640,29334,6806,60607,10462,53,11278,1733,5546,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",36,1246,30208,4837,75270,4162,10,11273,533,2,NA,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",539,3459,13160,13157,57484,11305,88,9169,8230,10986,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",40,2491,29337,7380,53860,13242,97,11430,527,9173,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",97,2853,17451,12090,64952,6949,139,9820,1675,11551,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",55,4143,14764,16890,58947,8197,160,8920,1430,14071,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",174,1717,22419,8451,71073,5287,85,10337,1811,6223,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",1,731,17405,6776,93308,544,6,8110,696,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",1,731,17405,6776,93308,544,6,8110,696,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",1,1089,16552,6398,89167,4129,23,7670,281,2267,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",6,572,15486,3458,92299,13181,37,2530,NA,8,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",10,841,15327,3415,96944,8136,7,2882,NA,15,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,505,14872,3649,83154,22223,84,2403,NA,684,NA,NA,3
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,266,12967,2784,100411,9023,7,2016,3,100,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",1,1093,14632,6026,97531,1427,9,6641,78,139,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",5,517,22654,3547,84397,9637,2,6474,344,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",1,1616,12025,8600,96046,1544,60,7421,3,261,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",1,1134,14192,7036,90259,8331,15,6198,4,407,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,557,19540,2455,99253,429,NA,5343,NA,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,667,28042,1624,90400,NA,NA,6844,NA,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,454,19343,2359,99512,730,17,5160,2,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,411,12272,3055,107043,1332,NA,3464,NA,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",19,1230,25095,3277,87627,2783,77,7399,70,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",47,1020,27902,2435,85551,2861,77,7653,31,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",5,1871,21148,5403,84563,2984,93,7966,82,3462,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",4,1041,24065,3165,89779,2536,57,6906,24,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",1,1010,23139,6275,83199,4594,6,9006,337,10,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",9,683,22766,4347,89252,3381,5,7030,104,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",11,977,20460,4002,89255,617,NA,12126,129,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",12,948,27095,5865,72220,9433,1,9510,295,2198,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",8,2700,22031,7665,69393,10347,69,7006,399,7959,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",34,867,27251,3060,67419,18030,1,7508,980,2427,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",1,2184,19746,8493,76153,5642,111,8219,52,6976,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",28,4139,16337,12688,66041,18088,99,6196,59,3902,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",68,1267,21720,8255,71300,8869,46,9638,816,5598,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",90,1181,17104,11150,59795,9345,110,9995,9738,9069,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",72,1137,23478,5509,79576,8162,17,8997,63,566,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",1,511,17768,4515,97319,491,NA,6536,436,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",1,511,17768,4515,97319,491,NA,6536,436,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",1,834,16654,4455,95505,3729,6,5970,252,171,NA,NA,NA
