"index","GCM","SSP","RUN","PERIOD","CWHmm1","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","MHmm1"
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",244,NA,143,20741,361,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",244,NA,143,20741,361,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",251,NA,143,21247,415,3
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,NA,94,5233,23,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,NA,92,3250,4,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,NA,108,6685,38,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,NA,113,5380,11,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,NA,146,21354,282,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,NA,151,10779,172,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,NA,39,21069,290,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,NA,151,19646,301,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,NA,151,14335,190,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",11,1753,151,21229,325,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,NA,NA,20238,153,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,NA,130,309,132,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",47,NA,142,10640,167,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",59,NA,136,14908,173,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",44,NA,144,9575,227,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",2,NA,146,5748,108,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,95,1,24976,143,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,NA,138,12358,146,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,2750,16,26382,119,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,255,NA,25284,256,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",25,NA,139,14696,117,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,NA,1,23206,224,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,NA,129,712,48,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",NA,NA,137,1048,98,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,NA,151,4669,202,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",137,NA,147,16025,306,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,NA,151,1264,157,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,NA,120,138,71,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,NA,120,138,71,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",37,NA,142,11543,144,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,NA,8,1,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,NA,48,21543,167,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,NA,145,18638,222,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,4453,96,24915,249,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,262,NA,22550,139,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,NA,117,10855,60,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,NA,123,9048,64,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,130,9091,50,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,NA,51,13057,55,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,NA,123,2945,4,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,125,4309,6,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",NA,NA,126,2968,29,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,NA,122,1301,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,39,3,26320,21,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,2800,12,23839,5,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,NA,123,21803,42,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,1519,NA,26370,18,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,NA,125,4088,35,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,NA,133,16322,69,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,NA,121,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",NA,NA,129,4174,59,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,NA,133,6499,69,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,NA,149,14197,92,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,NA,125,3369,24,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,131,10469,3,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,131,10469,3,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,NA,126,9393,20,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,1,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,NA,385,NA,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,50,19277,12,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,NA,3,20503,5,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,130,967,6,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,3552,2,24920,4,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,92,10624,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,63,12412,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,115,9021,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,96,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,NA,121,1141,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,NA,122,734,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,NA,121,1309,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,119,1445,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,556,NA,26084,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,122,4300,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,220,NA,26706,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,3900,NA,22969,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,NA,122,49,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,122,1067,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,101,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,NA,122,147,1,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,NA,122,2,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,116,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,NA,128,1271,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,126,4674,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,126,4674,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,120,3062,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,117,3929,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,101,2752,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,113,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,113,11500,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,54,1967,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,35,892,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,83,793,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,78,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,117,5004,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,19,9910,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,111,20,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,55,10057,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,42,15632,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,6,10790,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,79,NA,25191,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,45,16962,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,67,145,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,26,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,82,3349,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,NA,18,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,121,2952,2,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,NA,102,2908,31,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,121,3422,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,112,12,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,112,12,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,74,690,NA,NA
