"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp"
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",NA,12,298,NA,234,5,9716,7251,7943,2,6181,13,3,31
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",1,25,340,NA,213,8,9920,7267,7925,3,6041,17,3,38
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,3,192,NA,281,NA,6235,5769,6575,1,5274,NA,NA,5
23,"MIROC6","ssp245","ensembleMean","2001_2020",NA,NA,112,NA,197,NA,7378,5188,6182,NA,4273,NA,NA,4
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",NA,NA,103,NA,231,NA,5974,4683,6194,NA,4215,NA,NA,2
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",NA,1,133,NA,202,NA,7995,5632,6097,NA,4593,NA,NA,7
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",NA,NA,238,NA,291,12,4767,2588,5636,1,4618,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",NA,NA,244,NA,301,13,4078,2672,5904,1,4502,3,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,NA,178,NA,293,8,5085,2658,5306,1,4479,NA,NA,NA
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,NA,127,NA,238,2,5655,4632,5819,1,4445,NA,NA,1
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,NA,127,NA,238,2,5655,4632,5819,1,4445,NA,NA,1
31,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,3,158,NA,240,1,6892,5423,6271,1,4767,NA,NA,5
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,NA,NA,NA,1,NA,2738,445,3295,NA,357,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,NA,NA,NA,NA,NA,3036,232,3370,NA,97,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,NA,NA,NA,1,NA,3061,746,4245,NA,315,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,NA,1,NA,1,NA,3739,307,1859,NA,393,NA,NA,NA
36,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,NA,24,NA,24,NA,6806,2740,4119,NA,2067,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,NA,36,NA,80,5,5009,1627,4056,NA,2160,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,NA,17,NA,71,NA,7179,3447,4644,NA,2547,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,NA,37,NA,6,NA,8217,3546,4048,NA,2260,NA,NA,14
40,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,NA,8,NA,4,NA,6556,1211,2858,NA,1051,NA,NA,NA
41,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,NA,39,NA,15,10,6099,3102,4725,NA,1895,NA,NA,4
42,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,NA,1,NA,NA,NA,7184,683,1741,NA,670,NA,NA,NA
43,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,NA,7,NA,42,NA,4969,928,2876,NA,895,NA,NA,NA
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,NA,20,NA,84,2,4499,1598,3874,NA,1788,NA,NA,NA
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",NA,NA,18,NA,81,NA,4677,1596,3620,NA,1819,NA,NA,NA
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,NA,38,NA,114,3,3019,1803,4777,NA,2412,NA,NA,NA
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,NA,14,NA,43,3,4452,1171,3083,NA,1117,NA,NA,NA
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,NA,8,NA,1,NA,6388,1186,3789,NA,1119,NA,NA,NA
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,NA,7,NA,18,NA,3154,894,3718,NA,1012,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,NA,8,NA,NA,NA,7801,969,3225,NA,879,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,NA,13,NA,17,NA,8023,3228,4625,NA,2250,NA,NA,NA
52,"MIROC6","ssp245","ensembleMean","2021_2040",NA,NA,13,NA,57,NA,5478,1602,3565,NA,1415,NA,NA,NA
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,NA,24,NA,48,NA,6125,2883,4956,NA,2060,NA,NA,NA
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,NA,6,NA,4,4,279,614,1841,NA,392,NA,NA,NA
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,NA,67,NA,122,13,3502,1696,4346,NA,2699,NA,NA,NA
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,NA,81,NA,168,1,5617,3203,5362,NA,3644,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,NA,25,NA,93,13,1149,1207,1760,NA,1620,NA,NA,NA
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,NA,2,NA,5,4,56,593,3683,NA,553,NA,NA,NA
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,NA,2,NA,5,4,56,593,3683,NA,553,NA,NA,NA
60,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,NA,13,NA,57,NA,4891,1400,3864,NA,1402,NA,NA,NA
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,365,NA,180,NA,NA,NA,NA,NA
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,NA,5,NA,1,NA,6412,947,3117,NA,837,NA,NA,NA
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,NA,8,NA,22,NA,6734,1700,3622,NA,1224,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,NA,31,NA,37,6,5572,2307,4023,NA,1844,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,NA,2,NA,NA,NA,6293,749,3084,NA,796,NA,NA,NA
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,5817,61,647,NA,5,NA,NA,NA
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,6137,404,2009,NA,317,NA,NA,NA
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,5853,48,148,NA,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,6221,56,904,NA,26,NA,NA,NA
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,NA,1,NA,NA,NA,3571,200,545,NA,184,NA,NA,NA
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,3862,98,37,NA,29,NA,NA,NA
75,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",NA,NA,4,NA,8,NA,2348,377,1985,NA,445,NA,NA,NA
76,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,NA,NA,NA,2,NA,3498,161,657,NA,198,NA,NA,NA
77,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,6715,254,2190,NA,243,NA,NA,NA
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,NA,NA,NA,NA,NA,7237,98,729,NA,121,NA,NA,NA
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,NA,5,NA,4,NA,4901,510,3404,NA,643,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,NA,NA,NA,NA,NA,7260,265,2560,NA,220,NA,NA,NA
81,"MIROC6","ssp245","ensembleMean","2041_2060",NA,NA,3,NA,5,NA,5182,586,1703,NA,388,NA,NA,NA
82,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,NA,3,NA,NA,NA,7625,480,1352,NA,434,NA,NA,NA
83,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,NA,2,483,179,276,NA,72,NA,NA,NA
84,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,NA,6,NA,25,4,3217,930,2635,NA,893,NA,NA,NA
85,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,NA,9,NA,1,2,5345,1123,2269,NA,862,NA,NA,16
86,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,NA,1,NA,10,5,470,527,2444,NA,306,NA,NA,NA
87,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,3,NA,NA,NA,5757,402,2371,NA,263,NA,NA,NA
88,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,3,NA,NA,NA,5757,402,2371,NA,263,NA,NA,NA
89,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,4985,283,1920,NA,194,NA,NA,NA
90,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA
91,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,2278,NA,119,NA,NA,NA,NA,NA
92,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,6626,83,556,NA,36,NA,NA,NA
95,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,NA,NA,NA,NA,NA,7300,70,311,NA,50,NA,NA,NA
96,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,NA,NA,NA,3,2545,76,289,NA,33,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,NA,NA,NA,NA,NA,7216,62,475,NA,12,NA,NA,NA
98,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,5266,NA,NA,NA,NA,NA,NA,NA
99,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,4548,NA,NA,NA,NA,NA,NA,NA
100,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,6140,NA,9,NA,NA,NA,NA,NA
101,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,2720,NA,NA,NA,NA,NA,NA,NA
102,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,2181,62,628,NA,80,NA,NA,NA
103,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,1,NA,3385,208,1079,NA,203,NA,NA,NA
104,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,2389,79,1360,NA,90,NA,NA,NA
105,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,740,4,78,NA,3,NA,NA,NA
106,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,6295,49,425,NA,NA,NA,NA,NA
107,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,NA,NA,NA,NA,1429,8,595,NA,40,NA,NA,NA
108,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,NA,NA,NA,NA,6759,79,546,NA,6,NA,NA,NA
109,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,NA,NA,NA,NA,6463,NA,19,NA,NA,NA,NA,NA
110,"MIROC6","ssp245","ensembleMean","2061_2080",NA,NA,1,NA,8,NA,3120,325,1660,NA,242,NA,NA,NA
111,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,3,NA,NA,NA,5132,342,820,NA,126,NA,NA,NA
112,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,1,235,250,1724,NA,77,NA,NA,NA
113,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,2,279,234,390,NA,50,NA,NA,NA
114,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,1,NA,174,189,1070,NA,22,NA,NA,NA
115,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,NA,2,NA,NA,3,886,264,41,NA,51,NA,NA,NA
116,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,4739,92,1367,NA,55,NA,NA,NA
117,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,4739,92,1367,NA,55,NA,NA,NA
118,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,3958,38,341,NA,1,NA,NA,NA
119,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
120,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
122,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,1095,NA,NA,NA,NA,NA,NA,NA
123,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,4382,6,38,NA,NA,NA,NA,NA
124,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,NA,NA,NA,NA,3647,1,68,NA,NA,NA,NA,NA
125,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,NA,NA,NA,2,1754,NA,15,NA,NA,NA,NA,NA
126,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,NA,NA,NA,NA,6318,42,327,NA,NA,NA,NA,NA
127,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,3395,NA,NA,NA,NA,NA,NA,NA
128,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,4285,NA,NA,NA,NA,NA,NA,NA
129,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,3616,NA,NA,NA,NA,NA,NA,NA
130,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA
131,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,3524,11,NA,NA,NA,NA,NA,NA
132,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,4728,2,NA,NA,NA,NA,NA,NA
133,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,2,1318,2,NA,NA,NA,NA,NA,NA
134,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,4006,4,NA,NA,NA,NA,NA,NA
135,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,5412,20,68,NA,NA,NA,NA,NA
136,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,NA,NA,NA,NA,4706,NA,NA,NA,NA,NA,NA,NA
137,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,NA,NA,NA,NA,7381,61,904,NA,NA,NA,NA,NA
138,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,NA,NA,NA,NA,3631,12,204,NA,NA,NA,NA,NA
139,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,452,9,263,NA,NA,NA,NA,NA
140,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,205,2,622,NA,NA,NA,NA,NA
141,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,3393,24,14,NA,NA,NA,NA,NA
142,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,2,1248,231,2877,NA,180,NA,NA,NA
143,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,2,2,194,236,4967,NA,111,NA,NA,NA
144,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,5,3242,73,534,NA,35,NA,NA,NA
145,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,1,2473,1,NA,NA,NA,NA,NA,NA
146,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,1,2473,1,NA,NA,NA,NA,NA,NA
147,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,2397,NA,30,NA,NA,NA,NA,NA
