"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH"
87,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",3,32165,350
88,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",3,32165,350
89,"ensembleMean","ssp245","ensembleMean","2041_2060",2,32165,275
90,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,25783,NA
91,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,26718,NA
92,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,24967,NA
93,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,26218,28
94,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,32165,66
95,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,32165,74
96,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,32129,681
97,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,32165,36
98,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,30921,1
99,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,30341,NA
100,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,31186,1
101,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,31017,95
102,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",4,32152,641
103,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",1,32151,730
104,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",1,32158,413
105,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,32088,454
106,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,32147,15
107,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,32040,179
108,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,32162,25
109,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,31891,6
110,"MIROC6","ssp245","ensembleMean","2061_2080",6,32164,823
111,"MIROC6","ssp245","r1i1p1f1","2061_2080",3,32165,526
112,"MIROC6","ssp245","r2i1p1f1","2061_2080",5,32161,936
113,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",14,32156,1113
114,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",16,32161,1257
115,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",13,32157,951
116,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,32165,92
117,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,32165,92
118,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,32131,79
119,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,20722,NA
120,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,20351,1
121,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,20833,NA
122,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,21988,NA
123,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,31839,29
124,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,31472,4
125,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,31147,190
126,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,32136,14
127,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,28716,NA
128,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,28210,NA
129,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,29183,NA
130,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,27514,NA
131,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,31867,23
132,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,31729,8
133,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,31758,197
134,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,31824,18
135,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,31886,8
136,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,29705,NA
137,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,32165,12
138,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,31077,19
139,"MIROC6","ssp245","ensembleMean","2081_2100",NA,31103,140
140,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,30915,83
141,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,31780,19
142,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",3,32164,914
143,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",6,32121,1149
144,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",5,32153,415
145,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,30760,27
146,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,30760,27
147,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,30768,21
