"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH","CMX"
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",7,39930,1922,NA
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",8,40346,1505,NA
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",13,38931,2915,NA
52,"MIROC6","ssp245","ensembleMean","2021_2040",31,39403,2425,NA
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",24,39123,2712,NA
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",96,38354,3409,NA
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",264,36247,5348,NA
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",129,37117,4613,NA
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",220,36432,5207,NA
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",20,38750,3089,NA
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",20,38750,3089,NA
60,"ensembleMean","ssp245","ensembleMean","2021_2040",62,39368,2429,NA
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,40206,93,1560
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,37969,38,3852
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,36986,104,4769
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,36706,150,5003
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",5,40382,1472,NA
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",8,39862,1989,NA
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",32,38910,2917,NA
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",4,40426,1429,NA
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,41419,440,NA
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,40953,906,NA
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,41489,370,NA
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,41360,499,NA
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",5,40423,1431,NA
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,40843,1016,NA
75,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",13,40147,1699,NA
76,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",9,40420,1430,NA
77,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,41051,808,NA
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,41193,666,NA
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",5,40551,1303,NA
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,41077,782,NA
81,"MIROC6","ssp245","ensembleMean","2041_2060",5,40463,1391,NA
82,"MIROC6","ssp245","r1i1p1f1","2041_2060",3,40830,1026,NA
83,"MIROC6","ssp245","r2i1p1f1","2041_2060",8,39632,2219,NA
84,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",62,39277,2520,NA
85,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",12,39906,1941,NA
86,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",62,38857,2940,NA
87,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",3,40971,885,NA
88,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",3,40971,885,NA
89,"ensembleMean","ssp245","ensembleMean","2041_2060",2,41045,812,NA
90,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,35470,7,6382
91,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,36408,4,5447
92,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,34648,13,7198
93,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,35863,49,5947
94,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,41321,538,NA
95,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,41302,557,NA
96,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,40572,1286,1
97,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,41383,476,NA
98,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,40550,65,1244
99,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,39963,72,1824
100,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,40783,97,979
101,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,40502,209,1148
102,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",6,40687,1166,NA
103,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",1,40553,1305,NA
104,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",1,40936,922,NA
105,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,40883,903,73
106,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,41467,374,18
107,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,41095,646,118
108,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,41407,449,3
109,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,41477,108,274
110,"MIROC6","ssp245","ensembleMean","2061_2080",8,40460,1391,NA
111,"MIROC6","ssp245","r1i1p1f1","2061_2080",3,40796,1060,NA
112,"MIROC6","ssp245","r2i1p1f1","2061_2080",5,40360,1494,NA
113,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",14,40157,1688,NA
114,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",16,40038,1805,NA
115,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",13,40309,1537,NA
116,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,41316,543,NA
117,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,41316,543,NA
118,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,41408,417,34
119,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,30416,NA,11443
120,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,30042,3,11814
121,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,30527,NA,11332
122,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,31682,NA,10177
123,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,41327,206,326
124,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,41011,155,693
125,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,40456,385,1018
126,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,41539,291,29
127,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,38397,13,3449
128,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,37898,6,3955
129,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,38859,18,2982
130,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,37192,16,4651
131,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,41353,208,298
132,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,41236,187,436
133,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,40931,521,407
134,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,41293,225,341
135,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,41317,263,279
136,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,39293,106,2460
137,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,41537,322,NA
138,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,40424,347,1088
139,"MIROC6","ssp245","ensembleMean","2081_2100",NA,40404,393,1062
140,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,40262,347,1250
141,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,41232,242,385
142,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",3,40439,1417,NA
143,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",9,40181,1669,NA
144,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",5,40941,913,NA
145,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,40215,239,1405
146,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,40215,239,1405
147,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,40278,184,1397
