"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp","CWHdm","CWHdm_WA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHwh2","MHwh","MHmm2","CWHdm_OR","CWHms2","CWHvh2","CWHds1","CMXwm_OR","CWHvh1","CWHvh3","CWHwh1","CWHvm_OR"
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,48,81,232,3277,881,9774,7084,10158,325,4285,2,1,NA,1514,1157,NA,1952,1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,194,26,562,2898,9758,2456,3207,4246,3016,2191,NA,NA,NA,884,7830,1010,1842,1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,18,2,138,3490,10407,417,2245,9614,1990,1099,NA,NA,NA,43,6946,1952,1121,2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,18,2,138,3490,10407,417,2245,9614,1990,1099,NA,NA,NA,43,6946,1952,1121,2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,49,13,96,1278,1550,10923,7090,9720,400,2029,NA,NA,NA,812,2461,898,2561,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,NA,NA,935,1545,4571,4005,1520,9595,25,68,NA,NA,NA,29,10017,4759,37,2125,NA,NA,NA,1068,NA,NA,NA,1560,NA,NA,NA,NA
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,NA,28,1494,7482,145,695,7918,34,4,NA,NA,NA,NA,14242,3694,NA,1852,NA,NA,NA,419,NA,NA,NA,3852,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,642,9436,412,938,4984,98,6,NA,NA,NA,NA,13961,3858,18,2276,NA,NA,NA,461,NA,NA,NA,4769,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,6,1213,8537,334,783,6957,143,7,NA,NA,NA,NA,11815,3541,NA,2383,NA,NA,NA,1137,NA,NA,NA,5003,NA,NA,NA,NA
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,NA,5,NA,157,150,16410,8208,6541,12,1438,NA,22,NA,1625,1891,1114,2428,1847,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,NA,8,3,384,435,15544,8879,6938,126,1837,NA,26,NA,841,1802,685,2607,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,1,31,35,461,3923,11598,8408,6732,377,2398,1,126,1,1947,2969,438,1179,1214,NA,NA,14,NA,NA,6,NA,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,2,2,NA,90,41,16890,8051,6171,6,1402,NA,20,NA,2312,1232,493,3579,1483,NA,NA,1,NA,68,16,NA,NA,NA,NA,NA,NA
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,171,105,19662,5340,2538,1,439,NA,NA,NA,2388,1644,2923,3018,3630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
