"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp","CWHdm","CWHdm_WA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHwh2","MHwh","MHmm2","CWHdm_OR","CWHms2","CWHvh2","CWHds1","CMXwm_OR","CWHvh1","CWHvh3","CWHwh1","CWHvm_OR"
126,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,NA,NA,57,1,21870,4151,1837,NA,291,NA,NA,NA,4373,104,2284,3931,2885,NA,NA,NA,NA,NA,4,NA,29,42,NA,NA,NA
127,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,12,1033,20188,1334,204,NA,13,NA,NA,NA,98,632,7076,991,6793,NA,NA,NA,NA,NA,35,NA,3449,1,NA,NA,NA
128,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,NA,NA,NA,733,21668,935,140,NA,6,NA,NA,NA,6,100,4365,3185,6614,NA,NA,NA,NA,NA,149,NA,3955,2,NA,1,NA
129,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,64,1904,19506,1705,56,NA,18,NA,NA,NA,6,990,6099,964,7537,NA,NA,NA,NA,NA,28,NA,2982,NA,NA,NA,NA
130,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,NA,30,343,3555,14929,1128,1191,2,14,NA,NA,NA,582,4277,5741,59,5354,NA,NA,NA,NA,NA,3,NA,4651,NA,NA,NA,NA
131,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,16,1497,15987,3148,2804,38,170,NA,NA,NA,NA,4165,5928,197,7598,NA,NA,NA,NA,NA,13,NA,298,NA,NA,NA,NA
132,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,2,154,19783,2967,2204,22,165,NA,NA,NA,NA,1932,5821,860,7424,NA,NA,NA,NA,18,67,NA,436,NA,4,NA,NA
133,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,76,631,6124,7276,2571,3623,308,213,NA,NA,NA,NA,7928,5394,96,6780,NA,NA,NA,432,NA,NA,NA,407,NA,NA,NA,NA
134,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,NA,NA,1328,17497,2932,2298,97,128,NA,NA,NA,NA,3303,5638,297,7944,NA,NA,NA,NA,NA,56,NA,341,NA,NA,NA,NA
135,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,695,19556,3470,2848,33,230,NA,NA,NA,277,4193,5090,379,4691,NA,NA,NA,NA,NA,118,NA,279,NA,NA,NA,NA
136,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,NA,NA,NA,922,20120,1940,1810,42,64,NA,NA,NA,612,2413,4852,278,6072,NA,NA,NA,NA,NA,274,NA,2460,NA,NA,NA,NA
137,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,NA,NA,NA,NA,22373,4209,2215,NA,322,NA,NA,NA,1362,1485,579,4821,2442,NA,NA,NA,NA,1382,665,2,NA,2,NA,NA,NA
138,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,NA,1,101,2347,15539,3378,3981,84,263,NA,NA,NA,8,6163,4327,31,4531,NA,NA,NA,NA,NA,17,NA,1088,NA,NA,NA,NA
139,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,NA,575,2006,6528,3606,2035,7529,159,234,NA,NA,NA,NA,8871,4323,72,3448,NA,NA,NA,1411,NA,NA,NA,1062,NA,NA,NA,NA
140,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,245,1937,8543,1594,1857,7738,201,146,NA,NA,NA,NA,11499,3102,5,3271,NA,NA,NA,471,NA,NA,NA,1250,NA,NA,NA,NA
141,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,490,1337,15092,3334,3760,7,235,NA,NA,NA,NA,4553,6151,298,6092,NA,NA,NA,125,NA,NA,NA,385,NA,NA,NA,NA
142,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,3,NA,1226,3250,6667,3509,2424,10058,712,705,NA,NA,NA,292,6140,4464,276,2133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,9,NA,357,4459,8403,559,1878,13857,1052,617,NA,NA,NA,324,5171,2989,305,1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,5,NA,276,2459,4073,11343,2869,3869,425,488,NA,NA,NA,816,7165,5325,111,2635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,NA,25,72,2966,13780,2932,2946,93,146,NA,NA,NA,30,6837,4740,33,5854,NA,NA,NA,NA,NA,NA,NA,1405,NA,NA,NA,NA
146,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,25,72,2966,13780,2932,2946,93,146,NA,NA,NA,30,6837,4740,33,5854,NA,NA,NA,NA,NA,NA,NA,1405,NA,NA,NA,NA
147,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,NA,42,812,3219,12042,2174,5032,26,158,NA,NA,NA,107,6982,4932,61,4875,NA,NA,NA,NA,NA,NA,NA,1397,NA,NA,NA,NA
