"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","BGxh2","BGxh3","BGxw2","BWBSuf","CMAun","CMAunp","CWHds1","CWHds2","CWHms1","CWHws2","ESSFabN","ESSFdc2","ESSFdk2","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmm1","ESSFmmp","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFmwp","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFxc_CO","ESSFxc_WA","ESSFxc3","ESSFxcp","ESSFxcw","ESSFxk_UT","ESSFxv1","ESSFxv2","ESSFxvp","ICHdk","ICHmc1","ICHmc2","ICHmk3","ICHwk2","ICHwk3","ICHwk4","IDFdc","IDFdk1","IDFdk3","IDFdk4","IDFdw","IDFww","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","IMAunp","MHmm2","MHmmp","MSabN","MSdc2","MSdh_UT","MSdk_CO","MSdv","MSxk1","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSdc","SBPSmc","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmh","SBSmm","SBSmw","SBSvk","SBSwk1","SWBmk"
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",728,200,4,180,80,3,NA,188,4,37,13,11,1,NA,NA,NA,1,81,1,NA,NA,NA,NA,NA,9,NA,NA,1,NA,11,NA,75,145,NA,559,3,NA,74,NA,NA,12,NA,NA,519,48,192,NA,NA,NA,NA,1393,2,41,NA,81,1480,727,57,1,41,2159,NA,395,NA,NA,97,NA,NA,NA,NA,NA,NA,4,NA,NA,818,NA,1,164,NA,47,1021,62,250,NA,NA,34,NA,116,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",945,190,4,211,283,2,3,157,7,39,11,9,1,NA,1,NA,NA,123,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,325,275,5,851,1,NA,82,NA,3,3,NA,2,713,156,228,NA,NA,NA,39,1586,34,53,NA,62,2039,925,518,5,37,2230,NA,357,5,NA,109,NA,NA,2,NA,1,NA,NA,NA,NA,1592,1,1,400,11,37,2337,128,610,67,6,161,NA,128,NA,NA,NA,25,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",988,180,4,73,74,3,8,43,3,34,NA,10,26,2,35,NA,NA,181,NA,15,NA,NA,NA,NA,2,7,NA,NA,NA,8,NA,93,204,NA,790,NA,NA,50,NA,NA,NA,1,NA,434,79,222,NA,NA,NA,NA,1739,22,NA,NA,65,678,737,298,2,35,677,NA,474,56,NA,89,NA,NA,NA,NA,3,NA,NA,NA,NA,1710,NA,1,373,NA,23,2314,65,281,NA,NA,147,NA,91,NA,NA,NA,23,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",502,112,4,132,79,3,NA,188,3,25,12,5,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,264,NA,NA,49,NA,NA,24,NA,NA,176,5,41,NA,NA,NA,NA,817,NA,14,NA,69,953,407,20,4,41,1914,NA,274,NA,NA,85,NA,NA,NA,NA,NA,NA,1,NA,NA,435,NA,1,55,NA,27,164,39,88,NA,NA,7,NA,47,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1270,247,3,247,385,NA,5,218,6,45,26,16,NA,NA,1,NA,9,240,10,49,NA,1,NA,NA,NA,NA,1,NA,NA,20,NA,257,233,11,756,2,NA,119,NA,14,11,NA,5,1185,185,710,NA,NA,NA,56,1634,16,48,NA,77,1889,1569,651,7,43,2218,NA,528,5,NA,137,NA,NA,18,NA,1,NA,4,3,1,2737,NA,1,333,161,42,6260,121,627,27,23,176,2,124,NA,NA,NA,15,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",1718,281,4,254,484,2,9,168,1,43,NA,16,17,NA,15,NA,5,403,8,85,NA,3,NA,NA,27,31,5,NA,3,10,NA,389,345,16,978,11,NA,196,NA,14,35,1,4,1463,192,753,NA,1,2,92,1972,48,19,NA,68,3014,2632,742,9,46,2552,NA,590,58,NA,105,1,NA,24,NA,18,NA,1,5,4,4223,NA,1,400,237,59,9314,149,1316,150,17,245,18,128,NA,11,NA,98,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1133,204,3,216,295,NA,4,205,6,29,18,12,NA,NA,3,NA,3,115,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,214,155,11,721,NA,NA,117,NA,4,1,NA,5,1123,35,648,NA,NA,NA,20,1598,8,40,NA,67,1176,1188,530,6,41,2066,11,316,20,NA,131,NA,NA,21,NA,1,NA,NA,10,NA,1948,NA,NA,268,71,13,5088,71,436,10,6,71,NA,75,NA,NA,NA,7,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1109,211,3,213,227,3,5,222,8,32,28,11,1,NA,NA,NA,9,175,4,13,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,55,107,19,497,3,NA,66,NA,10,9,NA,3,881,127,611,NA,1,NA,NA,944,1,15,1,71,1169,1087,205,4,43,1802,NA,494,NA,NA,120,NA,NA,7,NA,NA,NA,NA,4,NA,1715,NA,NA,140,107,41,3609,99,209,NA,NA,83,NA,90,NA,NA,NA,1,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",1361,270,4,243,409,2,13,126,6,44,25,12,9,NA,NA,NA,1,325,NA,40,NA,1,NA,NA,15,15,6,NA,NA,22,NA,445,322,10,967,5,NA,134,NA,6,6,NA,NA,1097,85,483,NA,NA,NA,14,1865,24,28,NA,53,2714,1589,799,6,31,2161,1,530,29,1,125,1,NA,5,NA,7,NA,NA,1,5,3019,NA,NA,294,193,109,7099,127,304,NA,2,232,2,122,NA,NA,NA,18,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",1779,246,3,239,251,4,22,130,4,38,26,11,9,NA,NA,NA,NA,326,NA,44,NA,NA,NA,NA,7,1,5,NA,2,14,NA,417,325,12,991,5,NA,153,NA,4,NA,NA,NA,1129,9,572,NA,NA,3,NA,1752,22,80,NA,32,2110,1449,577,NA,28,1616,1,467,17,4,129,1,NA,4,NA,16,NA,NA,1,3,3046,2,NA,30,99,75,6314,97,332,NA,NA,242,26,128,NA,NA,NA,6,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",1874,258,3,243,465,4,25,68,3,42,12,11,47,NA,3,NA,NA,373,3,69,NA,1,NA,NA,7,40,5,NA,NA,7,NA,262,333,10,1172,10,NA,173,NA,7,NA,NA,1,1105,52,426,NA,1,NA,8,2089,35,NA,NA,14,2405,1929,755,7,18,1934,1,456,95,NA,118,1,NA,5,NA,19,NA,NA,1,2,4075,NA,NA,29,166,18,9198,128,87,413,6,294,1,128,NA,NA,1,22,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1220,187,3,255,426,1,2,201,8,29,45,13,5,NA,NA,NA,7,133,4,34,NA,1,NA,NA,2,1,NA,NA,NA,25,NA,528,288,10,1079,3,NA,97,NA,26,4,NA,NA,1308,201,703,NA,NA,NA,57,1899,12,65,1,88,2973,1872,750,6,40,2116,9,540,3,2,128,NA,NA,38,NA,NA,3,4,5,6,2904,NA,NA,182,150,88,7449,62,993,2,19,178,NA,93,NA,1,NA,31,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",1153,171,4,188,193,NA,4,175,6,34,34,11,2,NA,NA,NA,1,69,2,14,NA,NA,NA,NA,5,NA,NA,NA,NA,23,NA,52,105,NA,381,2,NA,74,NA,12,NA,NA,1,1050,36,480,NA,1,NA,6,1231,3,28,1,69,1010,795,245,2,41,1154,19,351,8,3,120,NA,NA,11,NA,NA,NA,NA,5,4,1536,NA,NA,NA,71,14,2743,70,337,23,1,82,NA,121,NA,NA,NA,2,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1150,195,4,197,231,NA,5,209,5,27,29,9,1,NA,NA,NA,5,94,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,90,149,NA,532,NA,NA,96,NA,19,1,NA,NA,1164,62,670,NA,NA,NA,NA,1358,1,61,1,77,1313,973,224,4,41,1615,9,402,1,1,118,NA,NA,24,NA,NA,NA,1,6,1,1814,NA,NA,12,46,60,3415,83,522,14,1,75,NA,121,NA,NA,NA,2,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",1460,121,4,233,232,NA,3,112,6,29,36,11,NA,NA,1,NA,NA,112,NA,13,NA,NA,NA,NA,8,6,2,NA,NA,31,NA,192,118,1,546,5,NA,67,NA,6,NA,NA,NA,943,22,318,1,1,NA,50,1292,26,35,1,60,968,1122,847,4,41,1654,2,201,35,7,100,NA,NA,5,NA,NA,NA,NA,5,NA,1480,NA,NA,NA,84,1,4439,85,447,10,6,157,NA,69,NA,NA,NA,23,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",1098,126,4,91,30,NA,4,185,6,32,29,11,4,NA,NA,NA,NA,67,1,7,NA,1,NA,NA,4,NA,NA,NA,NA,9,NA,NA,58,NA,162,6,NA,96,NA,11,NA,NA,4,867,3,411,NA,1,NA,NA,861,3,13,1,54,778,605,22,NA,36,727,20,357,19,NA,112,NA,NA,1,NA,7,NA,NA,4,2,1202,NA,NA,NA,9,48,1264,16,164,5,NA,32,NA,88,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",825,178,2,225,334,NA,1,197,4,25,19,6,NA,NA,NA,NA,1,79,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,144,75,7,587,1,NA,56,NA,1,1,NA,4,744,106,289,NA,NA,NA,15,1219,11,34,NA,68,718,1056,302,5,43,1737,1,292,7,1,112,NA,NA,6,NA,NA,NA,NA,4,NA,1629,NA,NA,7,24,19,3416,86,400,10,4,85,NA,34,NA,NA,NA,3,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",948,228,4,237,337,NA,NA,164,6,30,NA,10,2,1,2,NA,2,189,3,31,NA,NA,NA,NA,9,2,2,NA,NA,19,NA,279,239,4,699,NA,NA,75,NA,1,NA,NA,NA,777,145,285,NA,NA,NA,64,1630,33,21,NA,53,1299,1422,641,5,42,2009,NA,305,32,NA,111,NA,NA,5,NA,NA,NA,NA,1,NA,2275,NA,NA,97,115,30,5777,119,609,29,11,159,1,122,NA,NA,NA,16,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",892,93,NA,172,123,NA,1,205,2,9,34,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,14,2,426,1,NA,32,NA,3,13,NA,3,591,5,378,NA,2,NA,NA,674,1,12,NA,64,372,881,120,6,38,1140,NA,248,1,1,101,NA,NA,3,NA,NA,NA,NA,6,NA,1160,NA,NA,NA,NA,11,1616,10,52,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",824,197,3,201,4,3,2,212,8,36,26,8,6,2,NA,NA,3,111,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,13,155,NA,429,3,NA,55,NA,NA,3,NA,NA,616,28,247,NA,NA,NA,NA,1314,NA,65,NA,93,1908,808,49,9,49,2078,NA,429,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,865,1,NA,NA,2,103,949,13,176,NA,NA,29,NA,120,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",824,197,3,201,4,3,2,212,8,36,26,8,6,2,NA,NA,3,111,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,13,155,NA,429,3,NA,55,NA,NA,3,NA,NA,616,28,247,NA,NA,NA,NA,1314,NA,65,NA,93,1908,808,49,9,49,2078,NA,429,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,865,1,NA,NA,2,103,949,13,176,NA,NA,29,NA,120,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",948,215,4,231,296,3,1,202,7,38,25,13,2,NA,NA,NA,6,122,1,16,NA,1,NA,NA,NA,NA,NA,2,NA,18,NA,156,159,NA,592,2,NA,76,NA,5,3,NA,4,796,139,327,NA,NA,NA,12,1477,4,42,1,80,1764,1015,257,2,40,1980,NA,412,NA,NA,117,NA,NA,9,NA,NA,NA,1,1,1,1707,NA,NA,95,84,48,3112,88,383,NA,5,114,2,117,NA,NA,NA,3,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",128,52,2,14,NA,NA,NA,89,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,23,NA,NA,NA,2,NA,NA,NA,6,5,153,NA,32,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",120,13,4,10,1,NA,NA,103,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,20,NA,NA,NA,4,NA,NA,NA,5,4,42,NA,29,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",164,20,2,18,1,NA,NA,83,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,5,NA,NA,4,6,15,611,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",150,66,NA,4,NA,NA,NA,71,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,23,NA,NA,NA,1,NA,NA,NA,3,3,186,NA,31,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",426,173,4,60,NA,3,1,189,2,43,9,9,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,9,NA,43,NA,NA,54,NA,NA,NA,NA,NA,230,2,26,NA,1,NA,NA,584,NA,3,NA,50,613,254,9,NA,28,511,1,174,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,1,NA,NA,69,39,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",352,147,4,53,2,NA,NA,168,3,28,3,5,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,6,NA,NA,19,NA,NA,NA,NA,NA,119,NA,NA,NA,2,NA,NA,274,NA,NA,NA,12,401,138,16,4,20,63,7,108,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",716,134,4,177,74,3,NA,175,5,31,22,8,5,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,NA,NA,NA,152,NA,NA,51,NA,NA,NA,NA,NA,227,NA,32,NA,NA,NA,NA,1015,NA,14,1,58,899,245,48,NA,40,1222,5,201,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,21,100,23,92,NA,NA,7,NA,89,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",652,176,3,46,NA,3,1,202,NA,40,20,8,4,NA,NA,NA,NA,50,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,15,NA,82,1,NA,72,NA,1,NA,NA,NA,514,4,129,NA,1,NA,NA,258,NA,NA,NA,62,342,431,9,2,22,34,1,294,3,NA,90,NA,NA,NA,NA,11,NA,NA,NA,NA,672,NA,1,NA,NA,78,296,NA,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",311,78,3,39,NA,3,NA,151,3,34,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,8,NA,NA,NA,NA,NA,8,NA,6,NA,NA,NA,NA,567,NA,8,NA,39,579,3,NA,NA,26,1383,NA,109,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",607,155,3,155,2,2,1,182,NA,42,1,9,3,NA,NA,NA,NA,52,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,62,NA,125,NA,NA,74,NA,NA,NA,NA,NA,303,NA,87,NA,1,NA,NA,794,NA,2,NA,64,1201,391,3,NA,35,1258,7,225,14,NA,68,NA,NA,NA,NA,4,NA,NA,NA,NA,472,1,NA,23,NA,47,145,10,60,NA,NA,6,NA,46,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",287,43,2,35,NA,3,NA,143,1,23,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,NA,2,NA,27,376,NA,NA,NA,22,1013,NA,58,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",273,102,1,NA,NA,3,NA,158,1,34,5,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,28,NA,15,NA,NA,NA,NA,160,NA,2,NA,38,151,3,NA,1,11,73,NA,80,1,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",613,173,4,92,3,NA,1,196,3,39,17,8,2,NA,NA,NA,NA,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,17,NA,NA,20,NA,3,NA,NA,1,407,3,59,NA,1,NA,NA,382,NA,12,1,37,653,247,44,1,35,561,1,197,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,NA,NA,NA,NA,56,37,NA,55,NA,NA,4,NA,13,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",591,179,4,76,5,2,1,194,3,36,14,9,1,NA,NA,NA,NA,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,1,NA,8,1,NA,41,NA,NA,NA,NA,NA,332,6,42,NA,1,NA,NA,395,NA,1,1,55,598,240,29,2,33,821,1,214,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,70,32,1,59,NA,NA,2,NA,3,NA,NA,NA,NA,NA
