"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp","CRFdh_CA","CWHms_WA","CWHwh_WA","ESSFvh_ID","MHms_WA","CMXwm_OR","CWFwm_OR","CWHdm_OR","MSxh_OR","CWFmm_OR","CWHds_WA","CWHms_OR","CWHvm_OR","IGFmm_OR","IGFxm_OR","MHds_WA","ESSFwm_MT","IDFww","IGFdw_OR","ICHdh_ID","CWHvh1","CWHwh1","ICHdw1","CDFmm_OR","MHwh1","MHwhp","CWHwh2"
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",2959,269,8,114,1957,20467,8152,761,1745,781,2418,1587,NA,127,NA,801,8777,9744,NA,8954,5778,5321,1,NA,3,373,4981,702,1,1435,NA,63,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",5387,360,11,64,1987,23369,2622,960,904,749,2357,1745,3,65,2,168,9195,10082,10,6074,8809,6110,NA,NA,2,85,5419,818,16,907,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1381,254,2,353,1825,10935,16520,247,3672,1053,2120,805,NA,133,NA,3444,8908,7982,NA,12775,2728,3954,1,NA,NA,1792,4025,465,NA,1591,NA,615,NA,NA,NA,NA,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",6289,243,10,129,1759,20355,4306,4409,750,348,2788,2483,17,21,NA,445,7381,9551,NA,6253,8275,5439,5,NA,5,280,4532,1002,4,1199,NA,12,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",5787,508,7,144,2556,17614,7030,611,1108,816,3033,1763,NA,63,NA,747,7665,9083,NA,6041,9346,6282,3,NA,3,425,5907,1004,1,692,NA,50,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",7458,453,11,139,2652,18600,5316,878,576,820,3312,2052,NA,57,NA,482,7146,9076,NA,3335,10717,6870,4,NA,3,315,6393,1194,5,417,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",4857,751,5,269,2461,15183,10750,440,1500,654,2561,1329,NA,63,NA,1880,7457,8848,NA,7852,7792,5442,2,NA,2,1079,5401,836,NA,732,1,135,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",5154,335,5,125,2374,18295,5997,772,1505,876,3111,1783,3,68,NA,448,8317,9061,NA,6819,8665,6357,1,NA,3,283,5695,967,1,1119,NA,60,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",6260,371,18,48,2145,21981,1255,792,542,778,2429,2060,10,88,1,45,9230,10019,NA,3822,11283,7448,1,NA,8,17,6113,959,16,555,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",6504,394,17,61,2116,23109,1301,1375,306,684,2262,2164,15,36,1,57,9738,10221,NA,2562,11185,6722,1,NA,4,17,6092,942,34,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",5171,643,17,108,2474,22400,1942,510,466,806,2311,1706,1,96,2,109,9838,10376,1,3734,10288,7351,1,NA,3,67,6668,921,21,260,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",5740,370,8,49,2019,22010,1445,1200,893,755,2614,2192,5,91,NA,89,8262,9600,NA,6069,10611,6746,1,NA,7,29,5557,988,10,919,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",5053,144,9,78,1834,18853,2234,1346,2755,747,2881,1629,19,274,NA,149,9628,8936,NA,8303,8776,7091,NA,NA,NA,142,5030,640,8,1598,NA,107,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",5986,153,7,65,1799,20139,1525,1604,1890,647,2934,1663,18,201,NA,61,9733,9006,6,7100,9449,7057,NA,NA,NA,79,5006,675,9,1406,NA,61,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",6103,316,10,71,1893,19663,1505,959,2180,648,2922,1762,22,414,NA,108,9207,9182,NA,6886,9722,7058,NA,NA,NA,89,5208,749,6,1499,NA,89,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",3508,78,9,113,1784,15467,4739,1571,4060,965,2837,1318,26,122,NA,807,9976,8289,8,10693,6843,6998,NA,NA,NA,366,4704,536,8,1733,NA,603,NA,NA,1,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",4580,543,2,309,2153,15466,12557,643,1635,829,3231,1781,2,44,NA,1271,7272,8195,NA,7880,5946,5579,1,NA,2,1023,5021,1019,2,1065,NA,100,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",5202,550,2,387,2046,13105,16275,743,957,671,3164,1908,7,3,NA,2176,7129,7395,3,7310,5475,5067,4,NA,2,1742,4485,1298,6,828,NA,29,NA,NA,NA,NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",3940,368,1,247,2139,16609,8973,606,2600,822,3180,1608,6,188,NA,788,7561,8940,1,8769,6578,5746,NA,NA,2,569,5221,828,NA,1362,NA,539,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",4381,224,7,116,1865,17829,6568,1383,1867,720,2747,1376,NA,134,NA,636,9286,9450,1,8205,7756,6478,1,NA,1,325,5087,563,3,1148,NA,138,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",4381,224,7,116,1865,17829,6568,1383,1867,720,2747,1376,NA,134,NA,636,9286,9450,1,8205,7756,6478,1,NA,1,325,5087,563,3,1148,NA,138,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",4907,279,8,96,2103,19690,4617,1311,1431,740,2816,1717,4,92,NA,412,8473,9422,NA,7616,8698,6425,1,NA,2,212,5208,809,4,1126,NA,72,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",141,NA,NA,46,254,3261,12529,1213,7576,303,1683,1206,NA,1,NA,4112,8281,4522,NA,18133,704,5827,NA,NA,NA,401,1434,242,NA,9495,38,502,NA,11,1014,17,5322,17,NA,5,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",121,NA,NA,47,269,4587,9725,991,10621,216,1606,1122,NA,1,NA,2930,8781,4640,NA,13831,819,5733,NA,NA,NA,338,1386,182,NA,12900,41,447,NA,12,1036,19,5867,17,NA,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",124,NA,NA,64,183,1885,13942,957,9627,136,1863,1255,NA,NA,NA,7955,4388,3850,NA,12451,910,6142,NA,NA,NA,574,1211,288,NA,11414,67,595,NA,26,1338,49,6904,59,NA,7,NA,NA,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",140,NA,NA,86,149,1970,17078,1329,2881,170,1145,545,12,NA,NA,11076,2907,1833,100,27640,860,5325,NA,NA,NA,1383,890,271,4,5616,125,108,NA,36,1308,NA,3202,53,NA,14,6,NA,2,26,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",439,63,NA,60,1356,15910,8766,713,6013,667,1488,1242,1,279,NA,1453,10765,9034,NA,15620,2521,4742,1,NA,NA,287,3780,360,NA,1763,NA,593,NA,NA,8,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",417,70,NA,168,1155,10198,15061,688,3497,754,1680,1442,NA,30,NA,3407,9394,7113,NA,19220,1967,3737,1,NA,NA,1113,3004,525,2,1766,1,520,NA,NA,3,NA,1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",1719,49,NA,18,1307,18053,4127,1757,3967,333,1561,1908,32,542,NA,734,8904,9846,NA,15028,6441,4624,1,NA,NA,75,3673,565,NA,2196,NA,533,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",854,142,NA,80,1507,14070,3720,458,9295,661,1721,992,NA,1235,NA,819,11168,9461,NA,12549,5236,5303,NA,NA,NA,293,4353,303,NA,2515,NA,1104,NA,NA,NA,NA,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",348,20,NA,49,1039,15346,6848,452,9438,601,1365,898,NA,488,NA,1144,11986,9094,NA,14537,1740,4867,NA,NA,NA,295,3308,212,NA,3068,NA,486,NA,NA,18,NA,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",1070,40,5,130,1444,13724,12041,812,4403,705,1725,786,NA,122,2,2204,11754,8806,16,11408,2526,6313,NA,NA,NA,735,4310,393,2,1732,NA,1017,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",321,4,NA,11,867,16787,4537,871,10220,121,964,1085,NA,1454,NA,153,14344,9191,NA,13493,1673,4038,NA,NA,NA,65,3007,181,NA,3945,NA,574,NA,NA,10,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",196,47,NA,189,1069,7264,11818,57,12832,1048,1969,383,NA,93,NA,4438,9173,6562,NA,13112,1248,3710,NA,NA,NA,1252,2785,149,NA,4914,NA,900,NA,NA,34,NA,3054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",934,152,NA,83,1261,10536,6717,687,9575,786,2231,1090,2,354,NA,1446,10484,7714,NA,15439,2943,6249,NA,NA,NA,398,3549,280,NA,3404,1,1019,NA,NA,14,NA,948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1154,109,6,58,1209,13373,5386,681,6469,583,1815,1320,NA,780,NA,884,10190,8509,NA,17694,3947,5824,1,NA,NA,271,3592,336,NA,2938,1,560,NA,NA,5,NA,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",2330,53,2,82,1447,12739,5944,1071,6283,953,2989,1552,9,227,NA,803,9231,7886,NA,13752,4470,6669,NA,NA,NA,257,3935,458,2,3196,4,1133,NA,NA,4,NA,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",339,15,NA,167,1042,5900,9773,350,14290,842,1918,523,1,133,NA,3386,10814,6248,NA,13384,1545,5976,NA,NA,NA,893,2978,117,NA,4243,3,1386,NA,NA,131,NA,1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",729,NA,9,NA,620,19204,2532,2441,5691,232,1014,1233,131,861,2,19,16082,8557,2,14210,3452,5606,NA,NA,NA,3,2925,171,11,1979,NA,451,NA,NA,10,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",352,NA,NA,36,686,12574,5033,2288,11026,238,1635,1159,NA,157,NA,892,12923,7640,NA,15566,2031,6345,NA,NA,NA,137,2826,154,3,2993,NA,885,NA,NA,51,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",211,NA,3,5,914,20840,4000,1471,6567,167,862,983,4,1113,12,89,18367,8891,1,13550,870,3917,NA,NA,NA,11,3079,128,NA,1477,NA,646,NA,NA,24,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",3905,22,19,1,505,22133,1546,2746,1021,332,1032,1769,331,220,6,27,14465,9436,17,10658,8376,5040,NA,NA,NA,6,2975,360,66,1223,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",383,18,NA,63,1054,10447,5980,573,12720,758,1734,1046,1,805,NA,552,13624,7614,NA,14683,1613,5838,NA,NA,NA,254,3261,210,NA,3637,NA,420,NA,NA,31,NA,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",1915,33,10,NA,956,17940,1986,2118,5188,228,1223,1216,63,1040,5,1,15848,8913,3,12059,5034,6128,NA,NA,NA,1,3503,264,7,2290,NA,271,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",196,27,NA,184,804,3224,11943,264,14174,813,1215,698,1,622,NA,4300,10566,5153,NA,17394,939,4291,NA,NA,NA,1314,2216,135,NA,4552,NA,1023,NA,NA,126,NA,2117,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",131,4,NA,126,1188,9373,8282,374,14690,944,1789,743,NA,599,NA,1581,12958,7449,NA,10463,902,3562,NA,NA,NA,471,3222,143,NA,5430,NA,431,NA,NA,65,NA,3376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",553,56,NA,180,1331,15252,10307,747,5403,599,1720,1625,5,164,NA,2057,9141,8709,NA,15701,2249,3821,1,NA,NA,678,3399,519,NA,2289,1,368,NA,NA,3,NA,1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",2790,40,1,88,1216,17637,6397,1420,3396,575,2748,2264,39,80,NA,297,8827,8632,NA,12664,4490,6140,NA,NA,NA,172,3574,787,1,2881,NA,247,NA,NA,NA,NA,893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",137,17,NA,264,1257,9899,17354,399,7302,243,658,1038,1,135,NA,5844,8852,7752,NA,16288,608,989,NA,NA,NA,1304,3014,304,NA,1804,NA,512,NA,NA,11,NA,2310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",223,11,NA,119,691,5498,12360,385,11456,868,1570,769,NA,193,NA,3336,10878,6309,NA,15509,1215,3755,NA,NA,NA,808,2261,150,NA,5603,NA,667,NA,NA,77,NA,3584,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",223,11,NA,119,691,5498,12360,385,11456,868,1570,769,NA,193,NA,3336,10878,6309,NA,15509,1215,3755,NA,NA,NA,808,2261,150,NA,5603,NA,667,NA,NA,77,NA,3584,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",442,11,NA,57,991,12669,6908,793,8891,669,1709,1194,NA,278,NA,1088,11731,7828,NA,16739,1966,5819,NA,NA,NA,258,2989,239,NA,3364,NA,595,NA,NA,30,NA,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",5,NA,NA,32,29,237,16019,293,5526,253,495,233,NA,NA,NA,9999,1911,944,1,14096,77,2932,NA,NA,NA,760,256,30,NA,19849,69,315,NA,11,6168,NA,7617,26,NA,11,11,56,1,23,NA,NA,8,NA,NA,NA,NA,NA,3,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",3,NA,NA,NA,20,3571,8435,2019,8981,56,399,841,37,9,NA,1007,12311,2231,3,12455,152,4409,NA,NA,NA,53,271,31,3,20265,NA,339,NA,NA,4523,NA,5773,NA,NA,NA,NA,85,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,5,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",2,NA,NA,62,5,118,17650,169,4055,137,122,113,NA,NA,NA,9050,1325,385,NA,12411,19,1858,NA,NA,NA,869,93,12,NA,24351,83,209,NA,5,9188,NA,5630,15,NA,22,9,288,NA,27,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",3,NA,NA,59,18,13,16611,52,5793,235,337,38,NA,NA,NA,10249,539,543,NA,5059,32,2219,NA,NA,NA,862,203,3,NA,27627,97,361,NA,5,8947,NA,8119,16,NA,15,57,133,NA,25,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",207,NA,NA,15,709,13875,5651,2008,9530,426,1053,969,5,520,NA,1102,13412,8127,NA,16311,1312,5051,NA,NA,NA,138,2701,146,NA,3479,NA,531,NA,NA,49,NA,968,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",210,3,NA,77,893,10901,9175,352,10816,624,1570,442,NA,214,NA,3152,11008,7773,NA,13571,1520,5269,NA,NA,NA,562,3103,146,NA,4220,NA,947,1,NA,46,NA,1693,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",117,1,NA,34,892,16332,10657,1177,5882,188,885,1418,2,308,NA,1467,13214,9596,NA,14780,836,3446,NA,NA,NA,193,3187,265,1,1824,NA,382,NA,NA,6,NA,1204,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",385,2,NA,3,678,16995,5448,2485,6545,292,926,951,81,554,1,554,14844,8516,3,16640,2258,4654,NA,NA,NA,99,2749,145,NA,1792,NA,477,NA,NA,33,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
