"index","GCM","SSP","RUN","PERIOD","CDF","CMA","CWH","ESSF","MH"
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",2042,516,63535,NA,696
53,"MIROC6","ssp245","ensembleMean","2021_2040",84,1107,64787,NA,1008
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",750,957,64150,NA,1021
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",32,979,64705,NA,981
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",16,1298,64630,NA,1276
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",293,1493,65075,1,2159
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",1489,1287,63986,NA,1899
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",48,1500,65333,NA,2189
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",26,802,64428,NA,617
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",26,802,64428,NA,617
62,"ensembleMean","ssp245","ensembleMean","2021_2040",99,1037,64819,NA,792
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,61,48354,NA,9
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,20,49630,NA,7
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,67,41002,NA,7
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,77,38058,NA,12
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",29,715,64939,NA,347
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",43,958,64788,1,996
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",60,911,65363,NA,880
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",72,674,65053,NA,365
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",1,370,62895,NA,32
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",13,567,63873,NA,170
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,337,61323,NA,54
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",6,360,62563,NA,27
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",1,712,62947,NA,178
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,637,61637,NA,78
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",16,894,63815,NA,431
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,612,61886,NA,192
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",14,283,64822,NA,64
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,469,64022,NA,59
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",31,185,64592,NA,110
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",33,208,64914,NA,69
83,"MIROC6","ssp245","ensembleMean","2041_2060",1,648,63886,NA,209
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,658,64388,NA,139
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,590,62026,NA,413
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",2,680,64229,NA,358
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",15,947,64670,NA,793
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",38,721,65223,NA,610
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",10,971,63325,NA,916
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",1,255,64779,NA,44
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",1,255,64779,NA,44
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,400,63883,NA,49
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,10,42224,NA,1
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,10,34229,NA,1
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,15,47831,NA,9
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,88,26586,NA,16
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,356,63655,NA,33
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,413,64007,NA,36
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,501,62907,NA,394
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,305,63989,NA,28
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,137,60358,NA,16
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,155,59832,NA,15
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,170,61432,NA,19
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,169,56179,NA,18
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,498,62501,NA,61
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",1,667,62795,NA,200
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,520,62034,NA,73
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,314,61715,NA,20
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,210,63457,NA,21
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,235,60573,NA,43
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,101,63227,NA,23
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,186,62920,NA,15
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,461,60254,NA,137
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,480,60812,NA,149
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,399,58902,NA,209
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",1,452,60768,NA,80
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,550,62671,NA,439
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",1,679,59537,NA,660
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,455,64088,NA,250
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",1,170,63326,NA,17
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",1,170,63326,NA,17
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,190,61411,NA,20
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,4,20898,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,17,20638,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,21810,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,1,26762,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,148,58686,NA,16
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,101,57385,NA,16
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,161,55438,NA,16
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,159,61630,NA,18
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,57,54280,NA,9
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,49,52979,NA,6
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,67,52259,NA,9
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,52,53233,NA,10
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,229,58605,NA,21
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,177,58392,NA,14
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,340,55677,NA,93
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,191,60415,NA,21
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,112,62227,NA,16
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,96,60511,NA,14
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,66,63809,NA,16
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,106,61225,NA,15
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,166,51988,NA,16
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,170,51732,NA,20
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,144,52968,NA,14
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,180,50496,NA,14
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,297,61407,NA,33
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",6,297,61637,NA,61
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,298,60771,NA,21
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,103,57393,NA,13
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,103,57393,NA,13
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,82,55640,NA,15
