Retire,withsubtaxa,Source,BGC,SS_NoSpace,Special,SpecialCode
,,ABv12,BWBScmE,BWBScmE/e,,
,,ABv12,BWBScmE,BWBScmE/f,,
,,ABv12,BWBScmE,BWBScmE/g,,
,,ABv12,BWBScmE,BWBScmE/h,,
,,ABv12,BWBScmE,BWBScmE/i,,
,,ABv12,BWBScmE,BWBScmE/j,,
,,ABv12,BWBScmE,BWBScmE/k,,
,,AB_2018,BWBScmE,BWBScmE/Ro,Lithic,
,,AB_2018,BWBScmN,BWBScmNW/Ro,Lithic,
,,ABv12,BWBScmNW,BWBScmNW/a,,
,,ABv12,BWBScmNW,BWBScmNW/b,,
,,ABv12,BWBScmNW,BWBScmNW/c,,
,,ABv12,BWBScmNW,BWBScmNW/d,,
,,ABv12,BWBScmNW,BWBScmNW/e,,
,,ABv12,BWBScmNW,BWBScmNW/f,,
,,ABv12,BWBScmNW,BWBScmNW/g,,
,,ABv12,BWBScmNW,BWBScmNW/h,,
,,ABv12,BWBScmNW,BWBScmNW/i,,
,,ABv12,BWBScmNW,BWBScmNW/j,,
,,ABv12,BWBScmNW,BWBScmNW/k,,
,,ABv12,BWBScmW,BWBScmW/a,,
,,ABv12,BWBScmW,BWBScmW/b,,
,,ABv12,BWBScmW,BWBScmW/c,,
,,ABv12,BWBScmW,BWBScmW/d,,
,,ABv12,BWBScmW,BWBScmW/e,,
,,ABv12,BWBScmW,BWBScmW/f,,
,,ABv12,BWBScmW,BWBScmW/g,,
,,ABv12,BWBScmW,BWBScmW/h,,
,,ABv12,BWBScmW,BWBScmW/i,,
,,ABv12,BWBScmW,BWBScmW/j,,
,,ABv12,BWBScmW,BWBScmW/k,,
,,AB_2018,BWBScmW,BWBScmW/Ro,Lithic,
,s,BECv10,BWBSdk,BWBSdk/101,,
,p,BECv10,BWBSdk,BWBSdk/101a,,
,p,BECv10,BWBSdk,BWBSdk/101b,,
,,BECv10,BWBSdk,BWBSdk/102,,
,,BECv10,BWBSdk,BWBSdk/103,Insolation,IN
,s,BECv10,BWBSdk,BWBSdk/104,Cool aspects/cold air,CA
,p,BECv10,BWBSdk,BWBSdk/104a,Cool aspects/cold air,CA
,p,BECv10,BWBSdk,BWBSdk/104b,Cool aspects/cold air,CA
,,BECv10,BWBSdk,BWBSdk/110,,
,,BECv10,BWBSdk,BWBSdk/111,High fluvial bench,Fh
,,BECv10,BWBSdk,BWBSdk/112,Mid fluvial bench,Fm
,,BECv10,BWBSdk,BWBSdk/Gb,Insolation,IN2
,,BECv10,BWBSdk,BWBSdk/Gg,Insolation,IN2
,,BECv10,BWBSdk,BWBSdk/Ro,Lithic,
,,ABv12,BWBSdmN,BWBSdmN/a,,
,,ABv12,BWBSdmN,BWBSdmN/b,,
,,ABv12,BWBSdmN,BWBSdmN/c,,
,,ABv12,BWBSdmN,BWBSdmN/d,,
,,ABv12,BWBSdmN,BWBSdmN/e,,
,,ABv12,BWBSdmN,BWBSdmN/f,,
,,ABv12,BWBSdmN,BWBSdmN/g,,
,,ABv12,BWBSdmN,BWBSdmN/h,,
,,ABv12,BWBSdmN,BWBSdmN/i,,
,,ABv12,BWBSdmN,BWBSdmN/j,,
,,ABv12,BWBSdmN,BWBSdmN/k,,
,,AB_2018,BWBSdmN,BWBSdmN/Ro,Lithic,
,,ABv12,BWBSdmS,BWBSdmS/a,,
,,ABv12,BWBSdmS,BWBSdmS/b,,
,,ABv12,BWBSdmS,BWBSdmS/c,,
,,ABv12,BWBSdmS,BWBSdmS/d,,
,,ABv12,BWBSdmS,BWBSdmS/e,,
,,ABv12,BWBSdmS,BWBSdmS/f,,
,,ABv12,BWBSdmS,BWBSdmS/g,,
,,ABv12,BWBSdmS,BWBSdmS/h,,
,,ABv12,BWBSdmS,BWBSdmS/i,,
,,ABv12,BWBSdmS,BWBSdmS/j,,
,,ABv12,BWBSdmS,BWBSdmS/k,,
,,AB_2018,BWBSdmS,BWBSdmS/Ro,Lithic,
,,ABv12,BWBSlbE,BWBSlbE/a,,
,,ABv12,BWBSlbE,BWBSlbE/b,,
,,ABv12,BWBSlbE,BWBSlbE/c,,
,,ABv12,BWBSlbE,BWBSlbE/d,,
,,ABv12,BWBSlbE,BWBSlbE/e,,
,,ABv12,BWBSlbE,BWBSlbE/f,,
,,ABv12,BWBSlbE,BWBSlbE/g,,
,,ABv12,BWBSlbE,BWBSlbE/h,,
,,ABv12,BWBSlbE,BWBSlbE/i,,
,,ABv12,BWBSlbE,BWBSlbE/j,,
,,AB_2018,BWBSlbE,BWBSlbE/Ro,Lithic,
,,ABv12,BWBSlbN,BWBSlbN/a,,
,,ABv12,BWBSlbN,BWBSlbN/b,,
,,ABv12,BWBSlbN,BWBSlbN/c,,
,,ABv12,BWBSlbN,BWBSlbN/d,,
,,ABv12,BWBSlbN,BWBSlbN/e,,
,,ABv12,BWBSlbN,BWBSlbN/f,,
,,ABv12,BWBSlbN,BWBSlbN/g,,
,,ABv12,BWBSlbN,BWBSlbN/h,,
,,ABv12,BWBSlbN,BWBSlbN/i,,
,,ABv12,BWBSlbN,BWBSlbN/j,,
,,AB_2018,BWBSlbN,BWBSlbN/Ro,Lithic,
,,ABv12,BWBSlbW,BWBSlbW/a,,
,,ABv12,BWBSlbW,BWBSlbW/b,,
,,ABv12,BWBSlbW,BWBSlbW/c,,
,,ABv12,BWBSlbW,BWBSlbW/d,,
,,ABv12,BWBSlbW,BWBSlbW/e,,
,,ABv12,BWBSlbW,BWBSlbW/f,,
,,ABv12,BWBSlbW,BWBSlbW/g,,
,,ABv12,BWBSlbW,BWBSlbW/h,,
,,ABv12,BWBSlbW,BWBSlbW/i,,
,,ABv12,BWBSlbW,BWBSlbW/j,,
,,AB_2018,BWBSlbW,BWBSlbW/Ro,Lithic,
,,AB_2018,BWBSlf,BWBSlf/a,,
,,AB_2018,BWBSlf,BWBSlf/b,,
,,AB_2018,BWBSlf,BWBSlf/c,,
,,AB_2018,BWBSlf,BWBSlf/d,,
,,AB_2018,BWBSlf,BWBSlf/e,,
,,AB_2018,BWBSlf,BWBSlf/f,,
,,AB_2018,BWBSlf,BWBSlf/g,,
,,AB_2018,BWBSlf,BWBSlf/h,,
,,AB_2018,BWBSlf,BWBSlf/i,,
,,AB_2018,BWBSlf,BWBSlf/j,,
,,AB_2018,BWBSlf,BWBSlf/k,,
,,AB_2018,BWBSlf,BWBSlf/l,,
,,AB_2018,BWBSlf,BWBSlf/m,,
,,AB_2018,BWBSlf,BWBSlf/n,,
,,AB_2018,BWBSlf,BWBSlf/Ro,Lithic,
,,BECv10,BWBSmk,BWBSmk/101,,
,,BECv10,BWBSmk,BWBSmk/102,,
,,BECv10,BWBSmk,BWBSmk/103,Insolation,IN
,s,BECv10,BWBSmk,BWBSmk/104,Cool aspects/cold air,CA
,p,BECv10,BWBSmk,BWBSmk/104a,Cool aspects/cold air,CA
,p,BECv10,BWBSmk,BWBSmk/104b,Cool aspects/cold air,CA
,,BECv10,BWBSmk,BWBSmk/110,,
,,BECv10,BWBSmk,BWBSmk/111,High fluvial bench,Fh
,,BECv10,BWBSmk,BWBSmk/112,Mid fluvial bench,Fm
,,BECv10,BWBSmk,BWBSmk/Gg,Insolation,IN2
,,BECv10,BWBSmk,BWBSmk/Ro,Lithic,
,,BECv10,BWBSmw,BWBSmw/101,,
,,BECv10,BWBSmw,BWBSmw/102,,
,,BECv10,BWBSmw,BWBSmw/103,Insolation,IN
,,BECv10,BWBSmw,BWBSmw/104,Cool aspects/cold air,CA
,,BECv10,BWBSmw,BWBSmw/110,,
,,BECv10,BWBSmw,BWBSmw/111,,
,,BECv10,BWBSmw,BWBSmw/112,Mid fluvial bench,Fm
,,BECv10,BWBSmw,BWBSmw/Gg,Insolation,IN2
,,BECv10,BWBSmw,BWBSmw/Ro,Lithic,
,,AB_2018,BWBSnm,BWBSnm/a,,
,,AB_2018,BWBSnm,BWBSnm/b,,
,,AB_2018,BWBSnm,BWBSnm/c,,
,,AB_2018,BWBSnm,BWBSnm/d,,
,,AB_2018,BWBSnm,BWBSnm/e,,
,,AB_2018,BWBSnm,BWBSnm/f,,
,,AB_2018,BWBSnm,BWBSnm/g,,
,,AB_2018,BWBSnm,BWBSnm/h,,
,,AB_2018,BWBSnm,BWBSnm/i,,
,,AB_2018,BWBSnm,BWBSnm/j,,
,,AB_2018,BWBSnm,BWBSnm/k,,
,,AB_2018,BWBSnm,BWBSnm/l,,
,,AB_2018,BWBSnm,BWBSnm/Ro,Lithic,
,,AB_2018,BWBSpp,BWBSpp/a,,
,,AB_2018,BWBSpp,BWBSpp/b,,
,,AB_2018,BWBSpp,BWBSpp/c,,
,,AB_2018,BWBSpp,BWBSpp/d,,
,,AB_2018,BWBSpp,BWBSpp/e,,
,,AB_2018,BWBSpp,BWBSpp/f,,
,,AB_2018,BWBSpp,BWBSpp/g,,
,,AB_2018,BWBSpp,BWBSpp/h,,
,,AB_2018,BWBSpp,BWBSpp/i,,
,,AB_2018,BWBSpp,BWBSpp/j,,
,,AB_2018,BWBSpp,BWBSpp/k,,
,,AB_2018,BWBSpp,BWBSpp/l,,
,,AB_2018,BWBSub,BWBSub/a,,
,,AB_2018,BWBSub,BWBSub/b,,
,,AB_2018,BWBSub,BWBSub/c,,
,,AB_2018,BWBSub,BWBSub/d,,
,,AB_2018,BWBSub,BWBSub/e,,
,,AB_2018,BWBSub,BWBSub/f,,
,,AB_2018,BWBSub,BWBSub/g,,
,,AB_2018,BWBSub,BWBSub/h,,
,,AB_2018,BWBSub,BWBSub/i,,
,,AB_2018,BWBSub,BWBSub/j,,
,,AB_2018,BWBSub,BWBSub/Ro,Lithic,
,,AB_2018,BWBSuf,BWBSuf/a,,
,,AB_2018,BWBSuf,BWBSuf/b,,
,,AB_2018,BWBSuf,BWBSuf/c,,
,,AB_2018,BWBSuf,BWBSuf/d,,
,,AB_2018,BWBSuf,BWBSuf/e,,
,,AB_2018,BWBSuf,BWBSuf/f,,
,,AB_2018,BWBSuf,BWBSuf/g,,
,,AB_2018,BWBSuf,BWBSuf/h,,
,,AB_2018,BWBSuf,BWBSuf/i,,
,,AB_2018,BWBSuf,BWBSuf/j,,
,,AB_2018,BWBSuf,BWBSuf/k,,
,,AB_2018,BWBSuf,BWBSuf/l,,
,,AB_2018,BWBSuf,BWBSuf/m,,
,,AB_2018,BWBSuf,BWBSuf/Ro,Lithic,
,,BECv10,BWBSvk,BWBSvk/h,,
,,BECv10,BWBSvk,BWBSvk/m,,
,,BECv10,BWBSvk,BWBSvk/x,,
,,BECv10,BWBSwk1,BWBSwk1/101,,
,,BECv10,BWBSwk1,BWBSwk1/102,,
,,BECv10,BWBSwk1,BWBSwk1/103,Insolation,IN
,,BECv10,BWBSwk1,BWBSwk1/104,Cool aspects/cold air,CA
,,BECv10,BWBSwk1,BWBSwk1/110,,
,,BECv10,BWBSwk1,BWBSwk1/111,Cold air influence,CA
,,BECv10,BWBSwk1,BWBSwk1/Ro,Lithic,
,,BECv10,BWBSwk2,BWBSwk2/101,,
,,BECv10,BWBSwk2,BWBSwk2/102,,
,,BECv10,BWBSwk2,BWBSwk2/103,Insolation,IN
,,BECv10,BWBSwk2,BWBSwk2/104,Cool aspects/cold air,CA
,,BECv10,BWBSwk2,BWBSwk2/110,,
,,BECv10,BWBSwk2,BWBSwk2/111,High fluvial bench,Fh
,,BECv10,BWBSwk2,BWBSwk2/Gg,Insolation,IN2
,,BECv10,BWBSwk2,BWBSwk2/Ro,Lithic,
,,BECv10,BWBSwk3,BWBSwk3/101,,
,,BECv10,BWBSwk3,BWBSwk3/102,,
,,BECv10,BWBSwk3,BWBSwk3/103,Cool aspects/cold air,CA
,,BECv10,BWBSwk3,BWBSwk3/110,,
,,BECv10,BWBSwk3,BWBSwk3/111,,
,,BECv10,BWBSwk3,BWBSwk3/Ro,Lithic,
,,USA_2019,CCHun_CA,CCHun_CA/101,,
,,USA_2019,CCHun_CA,CCHun_CA/110,,
,,USA_2019,CCHun_CA,CCHun_CA/111,,
,,USA_2019,CCHun_CA,CCHun_CA/Gs,Insolation,IN2
,,USA_2019,CCHun_CA,CCHun_CA/Ro,Lithic,
,,BECv10,CDFmm,CDFmm/01,,
,,BECv10,CDFmm,CDFmm/02,,
,,BECv10,CDFmm,CDFmm/03,,
,,BECv10,CDFmm,CDFmm/04,,
,,BECv10,CDFmm,CDFmm/05,,
,,BECv10,CDFmm,CDFmm/06,,
,,BECv10,CDFmm,CDFmm/07,High fluvial bench,Fh
,,BECv10,CDFmm,CDFmm/08,Mid fluvial bench,Fm
,,BECv10,CDFmm,CDFmm/09,Low fluvial bench,Fl
,,BECv10,CDFmm,CDFmm/10,,
,,BECv10,CDFmm,CDFmm/11,,
,,BECv10,CDFmm,CDFmm/12,Fluctuating Water Table,FWT
,,BECv10,CDFmm,CDFmm/13,Fluctuating Water Table,FWT
,,BECv10,CDFmm,CDFmm/14,Fluctuating Water Table,FWT
,,USA_2019,CDFmm_OR,CDFmm_OR/101,,
,,USA_2019,CDFmm_OR,CDFmm_OR/102,,
,,USA_2019,CDFmm_OR,CDFmm_OR/103,,
,,USA_2019,CDFmm_OR,CDFmm_OR/110,,
,,USA_2019,CDFmm_OR,CDFmm_OR/111,,
,,USA_2019,CDFmm_OR,CDFmm_OR/112,,
,,USA_2019,CDFmm_OR,CDFmm_OR/113,,
,,USA_2019,CDFmm_OR,CDFmm_OR/Ro,Lithic,
,,USA_2019,CDFmm_WA,CDFmm_WA/101,,
,,USA_2019,CDFmm_WA,CDFmm_WA/102,,
,,USA_2019,CDFmm_WA,CDFmm_WA/103,,
,,USA_2019,CDFmm_WA,CDFmm_WA/110,,
,,USA_2019,CDFmm_WA,CDFmm_WA/111,,
,,USA_2019,CDFmm_WA,CDFmm_WA/112,,
,,USA_2019,CDFmm_WA,CDFmm_WA/113,,
,,USA_2019,CDFmm_WA,CDFmm_WA/Ro,Lithic,
,,USA_2019,CDFxm_CA,CDFxm_CA/101,,
,,USA_2019,CDFxm_CA,CDFxm_CA/102,,
,,USA_2019,CDFxm_CA,CDFxm_CA/103,,
,,USA_2019,CDFxm_CA,CDFxm_CA/110,,
,,USA_2019,CDFxm_CA,CDFxm_CA/111,,
,,USA_2019,CDFxm_CA,CDFxm_CA/112,,
,,USA_2019,CDFxm_CA,CDFxm_CA/113,,
,,USA_2019,CDFxm_CA,CDFxm_CA/Ro,Lithic,
,,BECv10,CMAun,CMAun/00,,
,,USA_2019,CMAun_CA,CMAun_CA/00,,
,,USA_2019,CMAun_OR,CMAun_OR/00,,
,,USA_2019,CMAun_WA,CMAun_WA/00,,
,,BECv10,CMAunp,CMAunp/00,,
,,BECv10,CMAwh,CMAwh/00,,
,,USA_2019,CMXdm_OR,CMXdm_OR/101,,
,,USA_2019,CMXdm_OR,CMXdm_OR/102,,
,,USA_2019,CMXdm_OR,CMXdm_OR/103,,
,,USA_2019,CMXdm_OR,CMXdm_OR/110,,
,,USA_2019,CMXdm_OR,CMXdm_OR/111,,
,,USA_2019,CMXdm_OR,CMXdm_OR/112,,
,,USA_2019,CMXdm_OR,CMXdm_OR/113,,
,,USA_2019,CMXdm_OR,CMXdm_OR/Ro,Lithic,
,,USA_2019,CMXwm_OR,CMXwm_OR/101,,
,,USA_2019,CMXwm_OR,CMXwm_OR/102,,
,,USA_2019,CMXwm_OR,CMXwm_OR/103,,
,,USA_2019,CMXwm_OR,CMXwm_OR/110,,
,,USA_2019,CMXwm_OR,CMXwm_OR/111,,
,,USA_2019,CMXwm_OR,CMXwm_OR/112,,
,,USA_2019,CMXwm_OR,CMXwm_OR/113,,
,,USA_2019,CMXwm_OR,CMXwm_OR/Ro,Lithic,
,,USA_2019,CMXxm_CA,CMXxm_CA/101,,
,,USA_2019,CMXxm_CA,CMXxm_CA/102,,
,,USA_2019,CMXxm_CA,CMXxm_CA/103,,
,,USA_2019,CMXxm_CA,CMXxm_CA/110,,
,,USA_2019,CMXxm_CA,CMXxm_CA/111,,
,,USA_2019,CMXxm_CA,CMXxm_CA/112,,
,,USA_2019,CMXxm_CA,CMXxm_CA/113,,
,,USA_2019,CMXxm_CA,CMXxm_CA/Ro,Lithic,
,,USA_2019,CRFdh_CA,CRFdh_CA/101,,
,,USA_2019,CRFdh_CA,CRFdh_CA/102,,
,,USA_2019,CRFdh_CA,CRFdh_CA/103,,
,,USA_2019,CRFdh_CA,CRFdh_CA/110,,
,,USA_2019,CRFdh_CA,CRFdh_CA/111,,
,,USA_2019,CRFdh_CA,CRFdh_CA/Ro,Lithic,
,,USA_2019,CVGdm_CA,CVGdm_CA/110,,
,,USA_2019,CVGdm_CA,CVGdm_CA/111,,
,,USA_2019,CVGdm_CA,CVGdm_CA/Gg,Insolation,IN2
,,USA_2019,CVGdm_CA,CVGdm_CA/Ro,Lithic,
,,USA_2019,CWFds_CA,CWFds_CA/101,,
,,USA_2019,CWFds_CA,CWFds_CA/102,,
,,USA_2019,CWFds_CA,CWFds_CA/110,,
,,USA_2019,CWFds_CA,CWFds_CA/Ro,Lithic,
,,USA_2019,CWFmm_OR,CWFmm_OR/101,,
,,USA_2019,CWFmm_OR,CWFmm_OR/102,,
,,USA_2019,CWFmm_OR,CWFmm_OR/103,,
,,USA_2019,CWFmm_OR,CWFmm_OR/110,,
,,USA_2019,CWFmm_OR,CWFmm_OR/111,,
,,USA_2019,CWFmm_OR,CWFmm_OR/112,,
,,USA_2019,CWFmm_OR,CWFmm_OR/113,,
,,USA_2019,CWFmm_OR,CWFmm_OR/Ro,Lithic,
,,USA_2019,CWFwm_OR,CWFwm_OR/101,,
,,USA_2019,CWFwm_OR,CWFwm_OR/102,,
,,USA_2019,CWFwm_OR,CWFwm_OR/103,,
,,USA_2019,CWFwm_OR,CWFwm_OR/110,,
,,USA_2019,CWFwm_OR,CWFwm_OR/111,,
,,USA_2019,CWFwm_OR,CWFwm_OR/113,,
,,USA_2019,CWFwm_OR,CWFwm_OR/Ro,Lithic,
,,BECv10,CWHdm,CWHdm/01,,
,,BECv10,CWHdm,CWHdm/02,,
,,BECv10,CWHdm,CWHdm/03,,
,,BECv10,CWHdm,CWHdm/04,,
,,BECv10,CWHdm,CWHdm/05,,
,,BECv10,CWHdm,CWHdm/06,,
,,BECv10,CWHdm,CWHdm/07,,
,,BECv10,CWHdm,CWHdm/08,High fluvial bench,Fh
,,BECv10,CWHdm,CWHdm/09,Mid fluvial bench,Fm
,,BECv10,CWHdm,CWHdm/10,Low fluvial bench,Fl
,,BECv10,CWHdm,CWHdm/11,,
,,BECv10,CWHdm,CWHdm/12,,
,,BECv10,CWHdm,CWHdm/13,Fluctuating Water Table,FWT
,,BECv10,CWHdm,CWHdm/14,Fluctuating Water Table,FWT
,,BECv10,CWHdm,CWHdm/15,Fluctuating Water Table,FWT
,,USA_2019,CWHdm_OR,CWHdm_OR/101,,
,,USA_2019,CWHdm_OR,CWHdm_OR/102,,
,,USA_2019,CWHdm_OR,CWHdm_OR/103,,
,,USA_2019,CWHdm_OR,CWHdm_OR/110,,
,,USA_2019,CWHdm_OR,CWHdm_OR/111,,
,,USA_2019,CWHdm_OR,CWHdm_OR/112,,
,,USA_2019,CWHdm_OR,CWHdm_OR/113,,
,,USA_2019,CWHdm_OR,CWHdm_OR/Ro,Lithic,
,,USA_2019,CWHdm_WA,CWHdm_WA/101,,
,,USA_2019,CWHdm_WA,CWHdm_WA/102,,
,,USA_2019,CWHdm_WA,CWHdm_WA/103,,
,,USA_2019,CWHdm_WA,CWHdm_WA/110,,
,,USA_2019,CWHdm_WA,CWHdm_WA/111,,
,,USA_2019,CWHdm_WA,CWHdm_WA/112,,
,,USA_2019,CWHdm_WA,CWHdm_WA/113,,
,,USA_2019,CWHdm_WA,CWHdm_WA/Ro,Lithic,
,,USA_2019,CWHds_WA,CWHds_WA/101,,
