"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2","CWHds1","MHmm_WA","CWHdm_WA","CWHvm_WA","CWHws2","CWHms2","CWHwh1","CWHmh_OR","CWHxm_WA","CWHdm_OR","CWHvh_WA","CWHds2","CWHwh_WA","CWHvm_OR","CMXwm_OR","CRFdh_CA"
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,2,6109,NA,142,NA,3103,1729,11,7494,156,NA,590,6,5282,181,NA,2599,NA,5731,NA,2,289,NA,850,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",2,NA,332,462,1393,NA,1794,650,78,8525,150,NA,NA,78,12978,1162,NA,NA,NA,5554,94,38,210,NA,776,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,2,2489,NA,83,NA,4335,1605,NA,7191,129,NA,442,35,10020,658,NA,341,26,5637,12,28,337,NA,906,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,2,10140,NA,128,10,5122,1998,NA,5798,192,NA,2679,14,5327,503,NA,498,NA,1836,NA,NA,3,NA,26,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,12474,NA,36,1,5119,1192,NA,3441,65,NA,988,4,5362,453,NA,44,NA,4960,10,3,NA,NA,124,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,2,12089,NA,30,11,2029,2747,NA,2318,228,NA,6190,NA,48,NA,NA,8316,NA,193,NA,NA,75,NA,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,2,6424,96,614,9,3985,1545,NA,8097,210,NA,2350,15,7649,664,NA,48,NA,2443,NA,NA,NA,NA,125,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",6,NA,12,504,3005,NA,93,54,683,14948,100,NA,NA,32,9036,338,NA,NA,NA,3509,585,857,NA,NA,514,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",9,NA,NA,190,3248,NA,13,1,538,17143,41,NA,NA,76,6200,583,NA,NA,NA,1158,3426,1605,NA,NA,45,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,4062,123,2059,NA,3359,825,651,9069,165,NA,129,3,7569,40,NA,NA,NA,5302,42,4,112,NA,762,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",18,NA,NA,542,3486,NA,1,NA,384,12093,4,NA,NA,151,10182,885,NA,NA,NA,3417,403,2232,NA,NA,478,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",9,NA,5025,1318,4089,63,99,75,804,10233,308,NA,2156,48,8668,910,NA,NA,NA,384,87,NA,NA,NA,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",51,NA,797,350,5973,130,NA,NA,4055,12580,207,NA,4114,91,5533,323,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",1,3,12348,614,2288,25,1466,882,258,6028,274,NA,1611,53,6313,814,NA,NA,NA,1202,96,NA,NA,NA,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,6265,67,451,NA,3759,1230,NA,7327,140,NA,776,19,7758,670,NA,NA,NA,5384,3,96,NA,NA,331,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,6265,67,451,NA,3759,1230,NA,7327,140,NA,776,19,7758,670,NA,NA,NA,5384,3,96,NA,NA,331,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,6323,332,1225,1,2753,504,NA,7896,105,NA,1727,1,7405,507,NA,4,NA,5085,206,46,NA,NA,156,NA,NA,NA
