"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2","CWHds1","MHmm_WA","CWHdm_WA","CWHvm_WA","CWHws2","CWHms2","CWHwh1","CWHmh_OR","CWHxm_WA","CWHdm_OR","CWHvh_WA","CWHds2","CWHwh_WA","CWHvm_OR","CMXwm_OR","CRFdh_CA"
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",17,46,7440,2474,4645,256,845,750,427,8451,1830,12,1537,552,4189,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",10,70,4821,3091,5535,245,1474,803,411,10175,2475,22,4843,148,105,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",63,14,8698,2074,3396,309,136,677,186,5888,1277,6,278,959,7356,2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",60,NA,1410,502,5601,22,27,10,784,11716,578,NA,88,341,11082,2018,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",60,NA,1410,502,5601,22,27,10,784,11716,578,NA,88,341,11082,2018,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",1,24,5485,1309,4024,56,3001,1643,960,10071,1314,1,5106,134,1090,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",4,NA,236,392,1559,13,25,4,150,11119,8,NA,1703,14,8509,950,NA,NA,NA,2492,6325,773,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",2,NA,NA,81,1193,9,NA,NA,515,14218,NA,NA,650,21,5143,533,NA,NA,NA,2215,7860,1835,NA,NA,NA,1,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,12,966,2,99,34,NA,9438,NA,NA,373,31,10522,1068,NA,NA,NA,2884,7203,1560,NA,NA,15,45,24,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",4,NA,NA,320,1302,1,3,NA,54,10278,NA,NA,164,20,9743,929,NA,NA,NA,3697,3333,4257,NA,NA,80,62,29,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,12,8789,446,1305,100,4257,4579,90,7283,902,2,6326,57,42,1,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
