"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2"
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,14,NA,NA,NA,NA,NA,NA,92,NA,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,2,32,NA,NA,NA,51,9,NA,940,29,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,2,32,NA,NA,NA,291,6,NA,486,31,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,NA,NA,NA,NA,NA,4,NA,915,27,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,2,32,NA,NA,NA,96,NA,NA,844,26,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,7,NA,NA,NA,48,NA,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,31,NA,NA,NA,16,NA,NA,77,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,1,8,NA,2,NA,NA,NA,NA,997,19,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,3,10,NA,13,NA,2,NA,NA,996,67,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,2,13,NA,NA,NA,NA,NA,NA,1006,17,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,1,NA,NA,NA,NA,NA,NA,608,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,3,22,NA,NA,NA,82,NA,NA,449,4,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,998,9,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,3,18,NA,NA,NA,129,NA,NA,873,31,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,19,NA,NA,NA,197,NA,NA,5,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,30,NA,16,6,NA,1209,162,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,16,NA,51,25,NA,1150,208,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,1,16,NA,NA,NA,NA,939,54,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,3,NA,NA,59,NA,7,7,NA,1387,165,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,988,44,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,21,NA,NA,NA,NA,892,31,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,2,NA,NA,NA,NA,595,57,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,4,31,NA,NA,NA,5,NA,NA,1102,36,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,4,31,NA,NA,NA,5,NA,NA,1102,36,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,2,31,NA,NA,NA,5,NA,NA,970,7,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,1,29,NA,NA,NA,3,NA,NA,708,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,1,28,NA,NA,NA,NA,NA,NA,567,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,1,NA,NA,NA,NA,NA,NA,254,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,1,31,NA,NA,NA,3,NA,NA,769,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,2,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,2,NA,NA,NA,NA,1,NA,NA,28,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,2,NA,NA,NA,NA,NA,NA,NA,18,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,2,26,NA,NA,NA,36,NA,NA,418,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,15,NA,NA,NA,35,NA,NA,10,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,2,26,NA,NA,NA,68,NA,NA,757,1,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,2,22,NA,NA,NA,19,NA,NA,674,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,521,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,12,NA,12,NA,NA,NA,NA,888,23,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,NA,2,NA,89,NA,NA,NA,NA,599,27,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,3,32,NA,NA,NA,NA,NA,NA,970,17,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,6,NA,NA,NA,2,NA,NA,111,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,6,NA,NA,NA,2,NA,NA,111,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,17,NA,NA,NA,NA,NA,NA,312,NA,NA
