"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH","CMX","CRF"
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,58506,205,6027,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",4,60742,294,3698,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,57046,224,7468,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,62358,11,2369,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,61312,36,3390,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,63252,60,1426,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,63127,2,1609,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,61315,318,3105,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,63623,128,987,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,56557,272,7909,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",5,61985,270,2478,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,64372,313,53,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,64511,227,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,63122,567,1049,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,60326,49,4363,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,60326,49,4363,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,60263,86,4389,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,24754,NA,39959,25
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,27229,NA,37477,32
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,24068,NA,40649,21
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,26374,NA,38346,18
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,60402,26,4310,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,61489,29,3220,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,57410,102,7226,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,61025,12,3701,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,51417,7,13314,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,50047,NA,14691,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,51904,4,12830,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,47933,194,16611,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,55422,135,9181,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,59196,237,5305,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,55659,93,8986,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,51998,97,12643,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,57901,4,6833,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,54318,69,10351,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,58556,NA,6182,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,55326,3,9409,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,56872,108,7758,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,57426,116,7196,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,54206,169,10363,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",3,57808,158,6769,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,57262,100,7376,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,55540,192,9006,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,59487,79,5172,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,54811,15,9912,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,54811,15,9912,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,52954,53,11731,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,15881,NA,48832,25
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,15870,NA,48843,25
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,16589,NA,48124,25
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,17220,NA,47493,25
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,48592,8,16138,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,46232,5,18501,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,39629,153,24956,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,53172,NA,11566,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,39856,1,24881,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,38770,NA,25968,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,40036,22,24680,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,38711,5,26022,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,48207,6,16525,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,46978,NA,17760,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,47948,93,16697,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,49069,NA,15669,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,53251,NA,11487,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,46399,1,18338,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,59366,NA,5372,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,53226,2,11510,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,42976,108,21654,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,40799,24,23915,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,44744,4,19990,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,42479,104,22155,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,56304,126,8308,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,59731,254,4753,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,53297,77,11364,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,45907,3,18828,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,45907,3,18828,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,43802,19,20917,NA
