"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm_WA","CWHmm1","CWHmm2","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHxm2","MHmm_WA","MHmm1","MHwh1","MHwhp"
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,NA,NA,NA,3,NA,187,2776,62,NA,344,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,NA,3,2,1,171,NA,35331,170,NA,722,NA,5,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,NA,2,NA,NA,422,7,31872,58,NA,480,2,14,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,NA,31,46,12,NA,213,29976,295,NA,1058,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,NA,13,1,2,365,2,35773,171,NA,855,1,1,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,NA,NA,7,6,NA,235,9266,216,NA,576,NA,38,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,2,9,145,133,26654,308,NA,596,3,49,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,1,NA,150,NA,44,NA,164,NA,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",NA,NA,NA,19,13,NA,225,8353,403,29,711,NA,68,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,NA,NA,10,17,NA,273,12500,442,44,775,NA,40,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,31,12,NA,281,19479,549,49,774,2,48,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,NA,8,NA,168,NA,249,6100,251,NA,464,NA,3,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,3,15,5,NA,230,19361,153,NA,660,NA,NA,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,3,15,5,NA,230,19361,153,NA,660,NA,NA,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,NA,NA,13,5,NA,195,16673,169,NA,732,NA,5,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,3279,NA,NA,10,NA,NA,NA,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,NA,3,5,5,64,27212,40,NA,547,NA,5,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,NA,NA,11,1,50,7,29002,36,NA,488,NA,7,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,NA,NA,NA,NA,246,2782,111,NA,55,NA,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,NA,NA,4,NA,429,2,34044,21,NA,542,NA,1,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,69,18215,NA,NA,63,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,NA,NA,NA,15,36,20831,NA,NA,39,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,87,16043,NA,NA,139,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,133,11,NA,NA,85,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,1,NA,192,3182,9,NA,328,NA,NA,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,5,NA,191,2259,86,NA,437,NA,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,3,NA,183,3259,16,NA,377,NA,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,182,4371,NA,NA,171,NA,NA,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,154,21,32789,1,NA,242,NA,NA,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,NA,NA,NA,NA,252,8378,5,NA,202,NA,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,NA,1,NA,261,12,35071,9,NA,311,NA,NA,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,NA,NA,NA,511,13,27659,NA,NA,44,NA,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,3,NA,193,185,89,NA,265,NA,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,2,NA,234,3086,94,NA,290,NA,NA,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,1,NA,82,NA,43,NA,111,NA,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,NA,NA,3,2,NA,210,1030,85,NA,386,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,177,293,79,NA,164,NA,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,3,NA,91,NA,24,NA,193,NA,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,230,2882,120,NA,141,NA,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,208,10151,40,NA,438,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,NA,208,10151,40,NA,438,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,NA,208,7236,NA,NA,304,NA,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,199,8372,NA,NA,162,NA,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,NA,NA,NA,NA,144,6924,NA,NA,239,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,NA,NA,NA,NA,134,NA,NA,NA,24,NA,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,NA,NA,NA,2,25,19957,NA,NA,466,NA,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,83,6329,NA,NA,10,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,109,4979,NA,NA,2,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,136,4209,NA,NA,NA,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,85,97,NA,NA,3,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,214,9745,NA,NA,71,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,60,16252,NA,NA,56,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,145,82,NA,NA,75,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,230,15834,NA,NA,37,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,97,22907,NA,NA,183,NA,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,NA,NA,NA,NA,64,16696,NA,NA,31,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,NA,NA,NA,131,NA,34694,14,NA,495,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,NA,NA,NA,NA,138,23919,NA,NA,218,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,63,247,NA,NA,46,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,40,8020,NA,NA,121,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,1,8,NA,NA,7,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,18,NA,160,4920,77,NA,610,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,NA,21,NA,53,NA,91,4579,166,NA,984,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,206,6957,12,NA,329,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,193,1308,NA,NA,38,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,193,1308,NA,NA,38,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,120,2129,NA,NA,115,NA,NA,NA,NA
