"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp"
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",307,1,NA,39,1455,9572,420,131,80,8,968,388,NA,4,NA,31,4837,3286,NA,220,3597,3481,NA,NA,NA,4,2003,87,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",88,1,NA,38,1002,10089,290,106,80,NA,556,248,NA,2,NA,45,4800,1796,NA,157,1216,2825,NA,NA,NA,1,748,20,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",777,7,2,58,1408,9968,668,215,80,33,1006,379,NA,4,NA,82,5320,3005,NA,235,2184,4031,NA,NA,NA,8,2069,104,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",48,NA,NA,9,826,9990,205,107,80,NA,279,259,NA,7,NA,21,5033,1187,NA,20,1153,2219,NA,NA,NA,NA,408,6,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",30,NA,NA,70,1031,4259,151,NA,80,NA,586,48,NA,NA,NA,37,3150,955,NA,1,730,2025,NA,NA,NA,2,580,15,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",287,11,NA,56,1223,7022,341,195,80,3,737,388,NA,NA,NA,31,4093,1700,NA,69,1528,3189,NA,NA,NA,2,1169,38,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",264,13,4,41,1174,8989,374,141,80,5,671,424,NA,1,NA,44,4068,2240,NA,185,1701,2885,NA,NA,NA,2,1204,34,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",998,17,NA,63,1410,9056,452,318,80,3,1029,647,NA,NA,NA,23,4193,2616,NA,79,2458,3320,NA,NA,NA,4,1748,100,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",85,NA,NA,51,1007,3328,233,42,80,NA,490,117,NA,NA,NA,29,3419,658,NA,10,809,2939,NA,NA,NA,3,650,7,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",164,NA,7,NA,590,13489,331,230,80,2,303,308,1,10,NA,4,5351,720,NA,234,2291,2814,NA,NA,NA,NA,382,4,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",67,NA,NA,30,655,8142,281,239,80,NA,422,238,NA,NA,NA,19,4367,615,NA,170,1150,2940,NA,NA,NA,NA,307,1,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",61,NA,NA,5,873,12473,258,100,80,NA,285,290,NA,11,NA,11,5858,961,NA,239,696,2290,NA,NA,NA,NA,524,9,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",1996,9,6,1,462,17117,741,295,80,11,490,544,1,9,NA,9,5451,1506,2,244,6037,2855,NA,NA,NA,NA,656,17,NA
