"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag","Comment"
"Kamloops LMH23- Updated (2021)","IDFww","05",,"1066052",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","06",,"1066053",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","07 (abundant devil's club present)",,"1066054",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","07 (abundant horsetail present)",,"1066055",400,200,200,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","01",,"1066060",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","02",,"1066056",400,200,200,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","03",,"1066057",400,200,200,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","04",,"1066058",600,400,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","05",,"1066059",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","06",,"1066061",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","07",,"1066062",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFxc","08",,"1066063",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","01",,"1066168",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","01 (cold air drainage)",,"1066169",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","02 (high elevations)",,"1066165",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","02 (low elevations)",,"1066166",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","03",,"1066167",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","04",,"1066170",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc1","05",,"999",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc3","01",,"1066173",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc3","01 (cold air drainage)",,"1066174",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc3","02",,"1066171",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc3","03",,"1066172",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc3","04",,"1066175",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdc3","05",,"999",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","01",,"1066206",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","02",,"999",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","03 (shallow soils)",,"1066203",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","03 (deep soils)",,"1066204",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","04",,"1066205",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","05",,"1066207",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","06",,"1066208",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSdm3","07",,"1066209",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","01",,"1066279",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","02",,"1066276",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","03",,"999",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","04",,"999",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","05 (steep warm slopes)",,"1066277",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","05 (moderate and gentle slopes)",,"1066278",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","06",,"1066280",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","07",,"999",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","08",,"1066281",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","MSxk3","09",,"1066282",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","01",,"1066160",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","02",,"1066155",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","03",,"1066156",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","04",,"1066157",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","05",,"1066158",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","06",,"1066159",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","07",,"1066161",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","07 (cold air draiange)",,"1066162",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","SBSmm","08",,"1066163",1000,500,400,4,,20,0,
