"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag","Comment"
"LMH26-Pr Rupert","ESSFmv3","06","Sxw - Huckleberry - Highbush-cranberry","85109",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","ESSFmv3","07","Bl - Horsetail - Feathermoss","85110",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFwv","01","BlHm - Azalea","85111",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFwv","02*","BlPl - Cladonia","85112",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert","ESSFwv","03*","BlHm - Feathermoss","85113",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFwv","04","BlHm - Heron's-bill","85114",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFwv","05","Bl - Oak fern - Heron's-bill","85115",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFwv","06","Bl - Devil's club - Lady fern","85116",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFwv","07*","Bl - Valerian - Sickle moss","85117",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFwv","08","Bl - Horsetail - Glow moss","85118",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFwv","09","Bl - Lady fern - Horsetail","85119",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFwv","31","Non-forested wetland","999",,,,,,,0,
"LMH26-Pr Rupert","ESSFwv","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","101*","Avalanche track","999",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","102*","Avalanche track","999",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","103*","Avalanche track","999",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","104*","Avalanche track","999",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","105*","Avalanche track","999",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","110*","Avalanche track","999",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFwvw","111*","Avalanche track","999",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ICHmc1","01","Hw - Step moss","85120",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1","02*","Hw - Kinnikinnick - Cladonia","85121",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","ICHmc1","03","HwBl - Oak fern","85122",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1","04","HwBl - Devil's club","85123",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1","05","ActSx - Dogwood","85124",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1","06","Hw - Azalea - Skunk cabbage","85125",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1","31","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","ICHmc1a","01","HwBa - Bramble","85126",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1a","02","HwBa - Oak fern","85127",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc1a","03","HwBa - Devil's club - Lady fern","85128",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","01","Hw - Step moss","85129",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","02*","Hw - Kinnikinnick - Cladonia","85130",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","ICHmc2","03","HwCw - Oak fern","85131",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","04","CwHw - Devil's club - Oak fern","85132",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","05","Sx - Devil's club - Lady fern","85133",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","06","ActSx - Dogwood","85134",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","07","CwSx - Horsetail","85135",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","08*","SbSx - Scrub birch - Sedge","85136",400,200,200,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","ICHmc2","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","ICHmc2","51","PlHw - Feathermoss","85137",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","52","SxEp - Thimbleberry - Hazelnut","85138",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","53","AtEp - Dogwood","85139",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHmc2","54","SxEp - Devil's club","85140",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","01","Hw - Devil's club","85141",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","02","Hw - Step moss","85142",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","03","Sx - Devil's club","85143",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","04","Sx - Devil's club - Dogwood","85144",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","05","ActSx - Dogwood","85145",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","06","Sx - Horsetail","85146",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","ICHvc","31","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","ICHvc","51*","Sitka alder - Devil's club","85147",1000,500,400,3,8,11,0,
"LMH26-Pr Rupert","ICHvc","52*","Mountain alder - Lady fern","85148",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","ICHwc","01","HwBl - Oak fern","85149",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","02*","HwPl - Feathermoss - Cladonia","85150",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","ICHwc","03","Hw - Step moss","85151",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","04","HwBl - Devil's club","85152",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","05","Sx - Devil's club","85153",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","06","ActSx - Dogwood","85154",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","07","HxSx - Blueberry - Sphagnum","85155",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","08","Sx - Horsetail","85156",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","ICHwc","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","ICHwc","51","Sitka alder - Devil's club","85157",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","ICHwc","52","Mountain alder - Lady fern","85158",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","MHmm1","01","HmBa - Blueberry","85159",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHmm1","02*","HmBa - Mountain heather","85160",800,400,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm1","03","BaHm - Oak fern","85161",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm1","04","HmBa - Bramble","85162",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHmm1","05","BaHm - Twisted stalk","85163",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm1","06*","HmYc - Deer-cabbage","85164",800,400,400,7,15,20,0,
"LMH26-Pr Rupert","MHmm1","07*","YcHm - Hellebore","85165",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm1","08*","HmYc - Sphagnum","85166",400,200,200,4,12,20,0,
"LMH26-Pr Rupert","MHmm1","09*","YcHm - Skunk cabbage","85167",800,400,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm1","31","Non-forested wetland","999",,,,,,,0,
"LMH26-Pr Rupert","MHmm1","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert","MHmm2","01","HmBa - Blueberry","85168",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHmm2","02*","HmBa - Mountain heather","85169",800,400,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm2","03","BaHm - Oak fern","85170",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm2","04","HmBa - Bramble","85171",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHmm2","05","BaHm - Twisted stalk","85172",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm2","06*","HmYc - Deer-cabbage","85173",800,400,400,7,15,20,0,
"LMH26-Pr Rupert","MHmm2","07*","YcHm - Hellebore","85174",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm2","08*","HmYc - Sphagnum","85175",400,200,200,4,12,20,0,
"LMH26-Pr Rupert","MHmm2","09*","YcHm - Skunk cabbage","85176",800,400,400,4,12,20,0,
"LMH26-Pr Rupert","MHmm2","31","Non-forested wetland","999",,,,,,,0,
"LMH26-Pr Rupert","MHmm2","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert","MHwh1","01","HmSs - Blueberry","85177",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHwh1","02*","HmYc - Mountain heather","85178",400,200,200,4,12,20,0,
"LMH26-Pr Rupert","MHwh1","03","SsHm - Reedgrass","85179",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHwh1","04","HmYc - Goldthread","85180",900,500,400,7,15,20,0,
"LMH26-Pr Rupert","MHwh1","05","YcHm - Twistedstalk","85181",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHwh1","06*","HmYc - Deer-cabbage","85182",800,400,400,7,15,20,0,
"LMH26-Pr Rupert","MHwh1","07*","YcHm - Hellebore","85183",900,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHwh1","08*","HmYc - Sphagnum","85184",400,200,200,4,12,20,0,
"LMH26-Pr Rupert","MHwh1","09*","YcHm - Skunk cabbage","85185",800,500,400,4,12,20,0,
"LMH26-Pr Rupert","MHwh1","31","Non-forested wetland","999",,,,,,,0,
"LMH26-Pr Rupert","SBPSmc","01","Pl - Feathermoss - Cladina","85186",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBPSmc","02*","Pl - Kinnikinnick - Cladonia","85187",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","SBPSmc","03","SbPl - Feathermoss","85188",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBPSmc","04*","Sxw - Scrub birch - Feathermoss","85189",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBPSmc","05","Sxw - Horsetail","85190",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBPSmc","06","Sxw - Horsetail - Glow moss","85191",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBPSmc","07*","SbSxw - Scrub birch - Sedge","85192",400,200,200,4,9,15,0,
"LMH26-Pr Rupert","SBPSmc","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","SBPSmc","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","SBSdk","01","Sxw - Spirea - Purple peavine","85193",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSdk","02*","Pl - Juniper - Ricegrass","85194",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","SBSdk","03*","Pl - Feathermoss - Cladina","85195",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSdk","04","Fd - Soopolallie - Feathermoss","85196",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSdk","05","Sxw - Spirea - Feathermoss","85197",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSdk","06","Sxw - Twinberry - Coltsfoot","85198",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSdk","07","Sxw - Horsetail","85199",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBSdk","08","Act - Dogwood - Prickly rose","85200",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSdk","09*","Sb - Creeping-snowberry - Sphagnum","85201",400,200,200,4,9,15,0,
"LMH26-Pr Rupert","SBSdk","10*","Sb - Soft-leaved sedge - Sphagnum","85202",400,200,200,4,9,15,0,
"LMH26-Pr Rupert","SBSdk","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","SBSdk","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","SBSdk","81","Saskatoon - Slender wheatgrass","999",,,,,,,0,
"LMH26-Pr Rupert","SBSdk","82","Bluegrass - Slender wheatgrass","999",,,,,,,0,
"LMH26-Pr Rupert","SBSmc2","01","Sxw - Huckleberry","85203",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSmc2","02*","Pl - Huckleberry - Cladonia","85204",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","SBSmc2","03","SbPl - Feathermoss","85205",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSmc2","04","Sxw - Huckleberry - Dwarf blueberry","999",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSmc2","05","Sxw - Twinberry - Coltsfoot","85206",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","06","Sxw - Oak fern","85207",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","07*","Sxw - Scrub birch - Feathermoss","85208",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","08","Sxw - Twinberry - Oak fern","85209",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","09","Sxw - Devil's club","85210",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","10","Sxw - Horsetail","85211",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","11","Sxw - Horsetail - Glow moss","999",1000,500,400,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","12*","SbSxw - Scrub birch - Sedge","85212",400,200,200,4,9,15,0,
"LMH26-Pr Rupert","SBSmc2","31","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","SBSwk3","01","Sxw - Oak fern","85213",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSwk3","02","Pl - Huckleberry - Cladina","85214",1000,500,400,7,12,15,0,
"LMH26-Pr Rupert","SBSwk3","03","SxwFd - Purple peavine","85215",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSwk3","04","Sxw - Huckleberry - Highbush-cranberry","85216",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSwk3","05","Sb - Labrador tea","85217",1200,700,600,7,12,15,0,
"LMH26-Pr Rupert","SBSwk3","06","Sxw - Twinberry - Coltsfoot","85218",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSwk3","07","Sxw - Devil's club","85219",1200,700,600,4,9,15,0,
"LMH26-Pr Rupert","SBSwk3","08","Sxw - Horsetail","85220",1000,500,400,4,9,15,0,
"LMH28-Vancouver","CWHms147","03","FdHw - Falsebox","84072",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","04","BaCw - Oak fern","84073",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","05","HwBa - Queen's cup","84074",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHms147","06","BaCw - Devil's club","84075",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","07","Ss - Salmonberry","84076",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","08","Act - Red-osier dogwood","84077",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","09","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CWHms147","10*","Pl - Sphagnum","84078",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHms147","11","CwSs - Skunk cabbage","84079",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHms247","01","HwBa - Step moss","84080",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms247","02*","FdPl - Kinnikinnick","84081",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHms247","03","FdHw - Falsebox","84082",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHms247","04","BaCw - Oak fern","84083",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","01","Fd - Salal","84000",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","02*","FdPl - Arbutus","84001",400,200,200,3,8,11,0,
"LMH28-Vancouver","CDFmm47","03","Fd - Oniongrass","84002",800,400,400,6,11,14,0,
"LMH28-Vancouver","CDFmm47","04","FdBg - Oregon grape","84003",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","05","CwFd - Kindbergia","84004",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","06","CwBg - Foamflower","84005",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","07","Cw - Snowberry","84006",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","08","Act - Red-osier dogwood","84007",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","09","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CDFmm47","10*","Pl - Sphagnum","84008",400,200,200,3,8,11,0,
"LMH28-Vancouver","CDFmm47","11","Cw - Skunk cabbage","84009",800,400,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","12","Cw - Vanilla leaf","84010",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","13","Cw - Indian plum","84011",900,500,400,3,8,11,0,
"LMH28-Vancouver","CDFmm47","14","Cw - Slough sedge","84012",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","01","Hw - Flat moss","84013",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","02*","FdPl - Cladina","84014",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHdm47","03","FdHw - Salal","84015",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","04","Fd - Sword fern","84016",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","05","Cw - Sword fern","84017",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","06","HwCw - Deer fern","84018",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHdm47","07","Cw - Foamflower","84019",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","08","Ss - Salmonberry","84020",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","09","Act - Red-osier dogwood","84021",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","10","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CWHdm47","11*","Pl - Sphagnum","84022",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHdm47","12","CwSs - Skunk cabbage","84023",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","13","Cw - Salmonberry","84024",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","14","Cw - Black twinberry","84025",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHdm47","15","Cw - Slough sedge","84026",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","01","HwFd - Cat's-tail moss","84027",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","02*","FdPl - Kinnikinnick","84028",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHds147","03","FdHw - Falsebox","84029",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","04","Fd - Fairybells","84030",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","05","Cw - Solomon's seal","84031",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","06","Hw - Queen's cup","84032",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHds147","07","Cw - Devil's club","84033",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","08","Ss - Salmonberry","84034",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","09","Act - Red-osier dogwood","84035",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds147","10","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CWHds147","11*","Pl - Sphagnum","84036",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHds147","12","CwSs - Skunk cabbage","84037",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","01","HwFd - Cat's-tail moss","84038",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","02*","FdPl - Kinnikinnick","84039",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHds247","03","FdHw - Falsebox","84040",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","04","Fd - Fairybells","84041",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","05","Cw - Solomon's seal","84042",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","06","Hw - Queen's cup","84043",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHds247","07","Cw - Devil's club","84044",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","08","Ss - Salmonberry","84045",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","09","Act - Red-osier dogwood","84046",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHds247","10","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CWHds247","11*","Pl - Sphagnum","84047",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHds247","12","CwSs - Skunk cabbage","84048",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","01","HwBa - Pipecleaner moss","84049",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHmm147","02","FdHw - Salal","84050",800,400,400,6,11,14,0,
"LMH28-Vancouver","CWHmm147","03","HwCw - Salal","84051",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","04","CwHw - Sword fern","84052",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","05","BaCw - Foamflower","84053",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","06","HwBa - Deer fern","84054",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHmm147","07","BaCw - Salmonberry","84055",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","08","Ss - Salmonberry","84056",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","09","Act - Red-osier dogwood","84057",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm147","10","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CWHmm147","11*","Pl - Sphagnum","84058",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHmm147","12","CwSs - Skunk cabbage","84059",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHmm247","01","HwBa - Pipecleaner moss","84060",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHmm247","02","FdHw - Salal","84061",800,400,400,6,11,14,0,
"LMH28-Vancouver","CWHmm247","03","HwCw - Salal","84062",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHmm247","04","CwHw - Sword fern","84063",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm247","05","BaCw - Foamflower","84064",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm247","06","HwBa - Deer fern","84065",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHmm247","07","CwYc - Goldthread","84066",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHmm247","08","BaCw - Salmonberry","84067",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHmm247","09*","Pl - Sphagnum","84068",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHmm247","10","CwYc - Skunk cabbage","84069",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","01","HwBa - Step moss","84070",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms147","02*","FdPl - Kinnikinnick","84071",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHms247","05","HwBa - Queen's cup","84084",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHms247","06","BaCw - Devil's club","84085",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms247","07","Ss - Salmonberry","84086",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms247","08","Act - Red-osier dogwood","84087",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHms247","09","Act - Willow","999",,,,,,,0,
"LMH28-Vancouver","CWHms247","10*","Pl - Sphagnum","84088",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHms247","11","CwSs - Skunk cabbage","84089",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","01","CwHw - Salal","84090",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHvh147","02*","PlYc - Rhacomitrium","84091",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh147","03","CwYc - Salal","84092",800,400,400,6,11,14,0,
"LMH28-Vancouver","CWHvh147","04","HwSs - Lanky moss","84093",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHvh147","05","CwSs - Sword fern","84094",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","06","CwSs - Foamflower","84095",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","07","CwSs - Devil's club","84096",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","08","Ss - Lily-of-the-valley","84097",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","09","Ss - Trisetum","84098",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","10","Dr - Lily-of-the-valley","999",,,,,,,0,
"LMH28-Vancouver","CWHvh147","11","CwYc - Goldthread","84099",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","12*","PlYc - Sphagnum","84100",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh147","13","CwSs - Skunk cabbage","84101",800,400,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","14*","Ss - Salal","84102",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh147","15","Ss - Kindbergia","84103",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","16*","Ss - Reedgrass","84104",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh147","17","Ss - Sword fern","84105",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh147","18*","Ss - Slough sedge","84106",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh147","19*","Ss - Pacific crab apple","84107",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh247","01","CwHw - Salal","84108",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHvh247","02*","PlYc - Rhacomitrium","84109",400,200,200,3,8,11,0,
"LMH28-Vancouver","CWHvh247","03","CwYc - Salal","84110",800,400,400,6,11,14,0,
"LMH28-Vancouver","CWHvh247","04","HwSs - Lanky moss","84111",900,500,400,6,11,14,0,
"LMH28-Vancouver","CWHvh247","05","CwSs - Sword fern","84112",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh247","06","CwSs - Foamflower","84113",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh247","07","CwSs - Devil's club","84114",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh247","08","Ss - Lily-of-the-valley","84115",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh247","09","Ss - Trisetum","84116",900,500,400,3,8,11,0,
"LMH28-Vancouver","CWHvh247","10","Dr - Lily-of-the-valley","999",,,,,,,0,
"LMH28-Vancouver","CWHvh247","11","CwYc - Goldthread","84117",800,400,400,3,8,11,0,
