"Region","ZoneSubzone","SiteSeries","Standard","Species","Height"
"LMH23-Nelson","ICHmw3","01-YC","83068","Lw",2.00
"LMH23-Nelson","ICHmw3","01-YC","83068","Fd",1.40
"LMH23-Nelson","ICHmw3","01-YC","83068","Others",1.00
"LMH23-Nelson","ICHmw3","02","83069","Pli",1.40
"LMH23-Nelson","ICHmw3","02","83069","Pw",1.40
"LMH23-Nelson","ICHmw3","02","83069","Fdi",1.00
"LMH23-Nelson","ICHmw3","02","83069","Py",0.80
"LMH23-Nelson","ICHmw3","03","83070","Pli",1.40
"LMH23-Nelson","ICHmw3","03","83070","Pw",1.40
"LMH23-Nelson","ICHmw3","03","83070","Lw",1.40
"LMH23-Nelson","ICHmw3","03","83070","Fdi",1.00
"LMH23-Nelson","ICHmw3","03","83070","Others",0.80
"LMH23-Nelson","ICHmw3","04","83071","Pl",2.00
"LMH23-Nelson","ICHmw3","04","83071","Pw",2.00
"LMH23-Nelson","ICHmw3","04","83071","Lw",2.00
"LMH23-Nelson","ICHmw3","04","83071","Fd",1.40
"LMH23-Nelson","ICHmw3","04","83071","Others",1.00
"LMH23-Nelson","ICHmw3","05","83072","Pl",2.00
"LMH23-Nelson","ICHmw3","05","83072","Pw",2.00
"LMH23-Nelson","ICHmw3","05","83072","Lw",2.00
"LMH23-Nelson","ICHmw3","05","83072","Fd",1.40
"LMH23-Nelson","ICHmw3","05","83072","Others",1.00
"LMH23-Nelson","ICHmw3","06","83073","Pl",2.00
"LMH23-Nelson","ICHmw3","06","83073","Pw",2.00
"LMH23-Nelson","ICHmw3","06","83073","Lw",2.00
"LMH23-Nelson","ICHmw3","06","83073","Fd",1.40
"LMH23-Nelson","ICHmw3","06","83073","Others",1.00
"LMH23-Nelson","ICHmw3","07","83074","Pl",2.00
"LMH23-Nelson","ICHmw3","07","83074","Pw",2.00
"LMH23-Nelson","ICHmw3","07","83074","Lw",2.00
"LMH23-Nelson","ICHmw3","07","83074","Fd",1.40
"LMH23-Nelson","ICHmw3","07","83074","Others",1.00
"LMH23-Nelson","ICHmw3","08","83075","Pli",1.40
"LMH23-Nelson","ICHmw3","08","83075","Others",0.80
"LMH20-Nelson","ICHvk1","01","83076","Pw",2.00
"LMH20-Nelson","ICHvk1","01","83076","Fd",1.40
"LMH20-Nelson","ICHvk1","01","83076","Others",1.00
"LMH20-Nelson","ICHvk1","03","83077","Pli",2.00
"LMH20-Nelson","ICHvk1","03","83077","Pw",2.00
"LMH20-Nelson","ICHvk1","03","83077","Lw",2.00
"LMH20-Nelson","ICHvk1","03","83077","Fd",1.40
"LMH20-Nelson","ICHvk1","03","83077","Others",1.00
"LMH20-Nelson","ICHvk1","04","83078","Pw",2.00
"LMH20-Nelson","ICHvk1","04","83078","Lw",2.00
"LMH20-Nelson","ICHvk1","04","83078","Fd",1.40
"LMH20-Nelson","ICHvk1","04","83078","Others",1.00
"LMH20-Nelson","ICHvk1","05","83079","Pw",1.40
"LMH20-Nelson","ICHvk1","05","83079","Others",0.80
"LMH20-Nelson","ICHvk1","06","83080","Pl",1.40
"LMH20-Nelson","ICHvk1","06","83080","Others",0.80
"LMH20-Nelson","ICHwk1","01","83081","Pl",2.00
"LMH20-Nelson","ICHwk1","01","83081","Pw",2.00
"LMH20-Nelson","ICHwk1","01","83081","Lw",2.00
"LMH20-Nelson","ICHwk1","01","83081","Fd",1.40
"LMH20-Nelson","ICHwk1","01","83081","Others",1.00
"LMH20-Nelson","ICHwk1","04","83082","Pl",2.00
"LMH20-Nelson","ICHwk1","04","83082","Pw",2.00
"LMH20-Nelson","ICHwk1","04","83082","Lw",2.00
"LMH20-Nelson","ICHwk1","04","83082","Fd",1.40
"LMH20-Nelson","ICHwk1","04","83082","Others",1.00
"LMH20-Nelson","ICHwk1","05","83083","Pl",2.00
"LMH20-Nelson","ICHwk1","05","83083","Pw",2.00
"LMH20-Nelson","ICHwk1","05","83083","Lw",2.00
"LMH20-Nelson","ICHwk1","05","83083","Fd",1.40
"LMH20-Nelson","ICHwk1","05","83083","Others",1.00
"LMH20-Nelson","ICHwk1","06","83084","Pl",1.40
"LMH20-Nelson","ICHwk1","06","83084","Pw",1.40
"LMH20-Nelson","ICHwk1","06","83084","Others",0.80
"LMH20-Nelson","ICHwk1","07","83085","Pw",1.40
"LMH20-Nelson","ICHwk1","07","83085","Others",0.80
"LMH20-Nelson","ICHwk1","08","83086","Pl",1.40
"LMH20-Nelson","ICHwk1","08","83086","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdc3","01","1065458","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFdc3","01","1065458","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdc3","02","1065455","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdc3","02","1065455","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdc3","03","1065456","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdc3","03","1065456","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdc3","05","1065457","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdc3","05","1065457","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdc3","06","1065460","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFdc3","06","1065460","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdc3","07","1065461","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFdc3","07","1065461","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdc3","08","1065462","All",0.60
"Kamloops LMH23- Updated (2021)","ESSFdh2","01","1065721","All",1.00
"Kamloops LMH23- Updated (2021)","ESSFdh2","02","1065673","Pl",1.40
"Kamloops LMH23- Updated (2021)","ESSFdh2","02","1065673","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdh2","03","1065719","Pl",1.40
"Kamloops LMH23- Updated (2021)","ESSFdh2","03","1065719","Lw",1.40
"Kamloops LMH23- Updated (2021)","ESSFdh2","03","1065719","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdh2","04","1065720","Pl",1.40
"Kamloops LMH23- Updated (2021)","ESSFdh2","04","1065720","Lw",1.40
"Kamloops LMH23- Updated (2021)","ESSFdh2","04","1065720","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdh2","05","999","All",1.00
"Kamloops LMH23- Updated (2021)","ESSFdh2","06","1065722","All",1.00
"Kamloops LMH23- Updated (2021)","ESSFdh2","07","1065723","All",1.00
"Kamloops LMH23- Updated (2021)","ESSFdh2","08","1065724","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFdv1","01","1065756","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","01","1065756","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdv1","02","1065725","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","02","1065725","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","03","1065726","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","03","1065726","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","04","1065727","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","04","1065727","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","05","1065757","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFdv1","06","1065758","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","06","1065758","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","01","1065762","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","01","1065762","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdv1","02","1065759","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","02","1065759","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","03","1065760","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","03","1065760","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","04","1065761","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","04","1065761","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","05","1065763","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFdv1","05","1065763","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFdv1","06","1065764","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFdv1","06","1065764","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFmw2","01","1065841","Pl",2.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","01","1065841","Others",1.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","02","1065838","Pl",1.40
"Kamloops LMH23- Updated (2021)","ESSFmw2","02","1065838","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFmw2","03","1065839","Pl",1.40
"Kamloops LMH23- Updated (2021)","ESSFmw2","03","1065839","Lw",1.40
"Kamloops LMH23- Updated (2021)","ESSFmw2","03","1065839","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFmw2","04","1065840","Pl",2.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","04","1065840","Others",1.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","05","1065842","Pl",2.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","05","1065842","Others",1.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","06","1065843","All",1.00
"Kamloops LMH23- Updated (2021)","ESSFmw2","07","1065844","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFmw2","08","1065845","Pl",1.40
"Kamloops LMH23- Updated (2021)","ESSFmw2","08","1065845","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFwc2","01","1065847","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFwc2","02","1065846","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFwc2","02","1065846","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFwc2","03","1068544","Pl",2.00
"Kamloops LMH23- Updated (2021)","ESSFwc2","03","1068544","Others",1.00
"Kamloops LMH23- Updated (2021)","ESSFwc2","04","1068545","Pl",2.00
"Kamloops LMH23- Updated (2021)","ESSFwc2","04","1068545","Others",1.00
"Kamloops LMH23- Updated (2021)","ESSFwc2","05","1068546","Pl",2.00
"Kamloops LMH23- Updated (2021)","ESSFwc2","05","1068546","Others",1.00
"Kamloops LMH23- Updated (2021)","ESSFwc2","06","1065848","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFwc2","07","1065849","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFwc2","08","1065850","All",0.80
"Kamloops LMH23- Updated (2021)","ESSFwc2","09","1065851","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFwc2","09","1065851","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFxc3","01","1065896","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFxc3","01","1065896","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFxc3","02","1065894","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFxc3","02","1065894","Lw",1.20
"Kamloops LMH23- Updated (2021)","ESSFxc3","02","1065894","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFxc3","05","1065895","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFxc3","05","1065895","Lw",1.20
"Kamloops LMH23- Updated (2021)","ESSFxc3","05","1065895","Others",0.60
"Kamloops LMH23- Updated (2021)","ESSFxc3","06","1065897","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFxc3","06","1065897","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFxc3","07","1065898","Pl",1.60
"Kamloops LMH23- Updated (2021)","ESSFxc3","07","1065898","Others",0.80
"Kamloops LMH23- Updated (2021)","ESSFxc3","08","1065899","Pl",1.20
"Kamloops LMH23- Updated (2021)","ESSFxc3","08","1065899","Others",0.60
"Kamloops LMH23- Updated (2021)","ICHdw3","01","1065932","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","01","1065932","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","01","1065932","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","01","1065932","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","01","1065932","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","02","1065928","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","02","1065928","Pw",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","02","1065928","Lw",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","02","1065928","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","02","1065928","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHdw3","03","1065929","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","03","1065929","Pw",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","03","1065929","Lw",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","03","1065929","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","03","1065929","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHdw3","04","1065930","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","04","1065930","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","04","1065930","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","04","1065930","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","04","1065930","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","05","1065931","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","05","1065931","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","05","1065931","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","05","1065931","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","05","1065931","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Cw present)","1065933","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Cw present)","1065933","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Cw present)","1065933","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Cw present)","1065933","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Sx present)","1065934","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Sx present)","1065934","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Sx present)","1065934","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","06 (Sx present)","1065934","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","07","1065935","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","07","1065935","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHdw3","07","1065935","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHdw3","07","1065935","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHdw3","08 (mineral soils with horsetail)","1065936","All",0.80
"Kamloops LMH23- Updated (2021)","ICHdw3","08 (organic soils with skunk cabbage)","1065937","All",0.80
"Kamloops LMH23- Updated (2021)","ICHmk2","01","1066286","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","01","1066286","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","01","1066286","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","01","1066286","Sx",0.80
"Kamloops LMH23- Updated (2021)","ICHmk2","01","1066286","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmk2","02","1066283","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","02","1066283","Lw",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","02","1066283","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHmk2","02","1066283","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHmk2","03","1066284","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","03","1066284","Lw",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","03","1066284","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHmk2","03","1066284","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHmk2","04","1066285","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","04","1066285","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","04","1066285","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","04","1066285","Sx",0.80
"Kamloops LMH23- Updated (2021)","ICHmk2","04","1066285","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Sx-dominant)","1066287","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Sx-dominant)","1066287","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Sx-dominant)","1066287","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Sx-dominant)","1066287","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Cw-dominant)","1066288","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Cw-dominant)","1066288","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Cw-dominant)","1066288","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","05 (Cw-dominant)","1066288","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmk2","06","1066289","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHmk2","06","1066289","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHmw3","01","1065974","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","01","1065974","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","01","1065974","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","01","1065974","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","01","1065974","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","02","1065969","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","02","1065969","Pw",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","02","1065969","Lw",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","02","1065969","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","02","1065969","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHmw3","03","1065971","Pl",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","03","1065971","Pw",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","03","1065971","Lw",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","03","1065971","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","03","1065971","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHmw3","04","1065972","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","04","1065972","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","04","1065972","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","04","1065972","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","04","1065972","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","05","1065973","Pl",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","05","1065973","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","05","1065973","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","05","1065973","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","05","1065973","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","06","1065975","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","06","1065975","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","06","1065975","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","06","1065975","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","07","1065976","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","07","1065976","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHmw3","07","1065976","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHmw3","07","1065976","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHmw3","08 (mineral soils with horsetail)","1065977","All",0.80
"Kamloops LMH23- Updated (2021)","ICHmw3","08 (organic soils with skunk cabbage)","1065978","All",0.80
"Kamloops LMH23- Updated (2021)","ICHvk1","01","1065990","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHvk1","01","1065990","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHvk1","02","1065987","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHvk1","02","1065987","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHvk1","03","1065988","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHvk1","03","1065988","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHvk1","03","1065988","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHvk1","04","1065989","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHvk1","04","1065989","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHvk1","05","1065991","All",0.80
"Kamloops LMH23- Updated (2021)","ICHvk1","06","1065992","All",0.80
"Kamloops LMH23- Updated (2021)","ICHwk1","01","1066001","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHwk1","01","1066001","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHwk1","01","1066001","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHwk1","01","1066001","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHwk1","02","1065993","Fd",1.00
"Kamloops LMH23- Updated (2021)","ICHwk1","02","1065993","Others",0.80
"Kamloops LMH23- Updated (2021)","ICHwk1","03","1065999","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHwk1","03","1065999","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHwk1","03","1065999","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHwk1","04","1066000","Pw",2.00
"Kamloops LMH23- Updated (2021)","ICHwk1","04","1066000","Lw",2.00
"Kamloops LMH23- Updated (2021)","ICHwk1","04","1066000","Fd",1.40
"Kamloops LMH23- Updated (2021)","ICHwk1","04","1066000","Others",1.00
"Kamloops LMH23- Updated (2021)","ICHwk1","05","1066002","All",1.00
"Kamloops LMH23- Updated (2021)","ICHwk1","05 (cold air with Bl)","1066003","All",0.80
"Kamloops LMH23- Updated (2021)","ICHwk1","06","1066004","All",0.80
"Kamloops LMH23- Updated (2021)","ICHwk1","07","1066005","All",0.80
"Kamloops LMH23- Updated (2021)","IDFdc (","01","1066010","Pl",1.00
"Kamloops LMH23- Updated (2021)","IDFdc (","01","1066010","Lw",1.00
"Kamloops LMH23- Updated (2021)","IDFdc (","01","1066010","Fd",0.80
"Kamloops LMH23- Updated (2021)","IDFdc (","01","1066010","Sx",0.60
"Kamloops LMH23- Updated (2021)","IDFdc (","01","1066010","Py",0.60
"Kamloops LMH23- Updated (2021)","IDFdc (","02","1066006","Fd",0.80
"Kamloops LMH23- Updated (2021)","IDFdc (","02","1066006","Py",0.60
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (very steep slopes with bluebunch wheatgrass)","1066007","Pl",1.00
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (very steep slopes with bluebunch wheatgrass)","1066007","Fd",0.80
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (very steep slopes with bluebunch wheatgrass)","1066007","Py",0.60
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (shallow soils)","1066008","Pl",1.00
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (shallow soils)","1066008","Fd",0.80
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (shallow soils)","1066008","Py",0.60
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (very steep slopes with pinegrass)","1066009","Pl",1.00
