Region,ZoneSubzone,SS_NoSpace,Species,Suitability,PreferredAcceptable,Standard,FN1,FN2,FN3,FN4,FN5
Kamloops,IDFxh1a,IDFxh1a/94,NS,1,P,1097.9,,,,,
Kamloops,BGxh2,BGxh2/05,NS,1,X,1098.9,,,,,
Kamloops,BGxh2,BGxh2/08,NS,1,X,1099.9,,,,,
Kamloops,BGxh2,BGxh2/08,NS,1,X,1100.9,,,,,
Kamloops,BGxh2,BGxh2/08,NS,1,X,1101.9,,,,,
Kamloops,BGxh2,BGxh2/06,NS,1,X,1102.9,,,,,
Kamloops,BGxh2,BGxh2/06,NS,1,X,1103.9,,,,,
Kamloops,BGxh2,BGxh2/06,NS,1,X,1104.9,,,,,
Kamloops,BGxw1,BGxw1/01,NS,1,X,1105.9,,,,,
Kamloops,BGxh2,BGxh2/05,NS,1,X,1106.9,,,,,
Kamloops,BGxw1,BGxw1/04,NS,1,X,1107.9,,,,,
Kamloops,BGxh2,BGxh2/05,NS,1,X,1108.9,,,,,
Kamloops,BGxh2,BGxh2/05,NS,1,X,1109.9,,,,,
Kamloops,BGxh2,BGxh2/02,NS,1,X,1110.9,,,,,
Kamloops,BGxh2,BGxh2/02,NS,1,X,1111.9,,,,,
Kamloops,BGxh2,BGxh2/02,NS,1,X,1112.9,,,,,
Kamloops,BGxh2,BGxh2/02,NS,1,X,1113.9,,,,,
Kamloops,BGxh2,BGxh2/06,NS,1,X,1114.9,,,,,
Kamloops,BGxw1,BGxw1/07,NS,1,X,1115.9,,,,,
Kamloops,BGxw1,BGxw1/01,NS,1,X,1116.9,,,,,
Kamloops,BGxh2,BGxh2/01,NS,1,X,1117.9,,,,,
Kamloops,BGxw1,BGxw1/09,NS,1,X,1118.9,,,,,
Kamloops,BGxw1,BGxw1/09,NS,1,X,1119.9,,,,,
Kamloops,BGxw1,BGxw1/09,NS,1,X,1120.9,,,,,
Kamloops,BGxw1,BGxw1/07,NS,1,X,1121.9,,,,,
Kamloops,BGxh2,BGxh2/08,NS,1,X,1122.9,,,,,
Kamloops,BGxw1,BGxw1/07,NS,1,X,1123.9,,,,,
Kamloops,BGxw1,BGxw1/04,NS,1,X,1124.9,,,,,
Kamloops,BGxw1,BGxw1/06,NS,1,X,1125.9,,,,,
Kamloops,BGxw1,BGxw1/06,NS,1,X,1126.9,,,,,
Kamloops,BGxw1,BGxw1/06,NS,1,X,1127.9,,,,,
Kamloops,BGxw1,BGxw1/06,NS,1,X,1128.9,,,,,
Kamloops,BGxw1,BGxw1/04,NS,1,X,1129.9,,,,,
Kamloops,BGxw1,BGxw1/04,NS,1,X,1130.9,,,,,
Kamloops,BGxw1,BGxw1/01,NS,1,X,1131.9,,,,,
Kamloops,BGxw1,BGxw1/07,NS,1,X,1132.9,,,,,
Kamloops,MSdm1,MSdm1/08,NS,1,P,1133.9,,,,,
Kamloops,BGxh2,BGxh2/01,NS,1,X,1134.9,,,,,
Kamloops,MSdm2,MSdm2/02,NS,1,P,1135.9,,,,,
Nelson,MSdm1,MSdm1/09,NS,1,P,1136.9,,,,,
Nelson,MSdm1,MSdm1/09,NS,1,P,1137.9,,,,,
Nelson,MSdm1,MSdm1/09,NS,1,P,1138.9,,,,,
Nelson,MSdm1,MSdm1/09,NS,1,P,1139.9,,,,,
Kamloops,MSdm2,MSdm2/02,NS,1,P,1140.9,,,,,
Kamloops,MSdm1,MSdm1/08,NS,1,P,1141.9,,,,,
Kamloops,MSdm2,MSdm2/02,NS,1,P,1142.9,,,,,
Kamloops,MSdm1,MSdm1/08,NS,1,P,1143.9,,,,,
Kamloops,MSdc1,MSdc1/05,NS,1,P,1144.9,,,,,
Kamloops,MSdc1,MSdc1/05,NS,1,P,1145.9,,,,,
Kamloops,MSdc1,MSdc1/05,NS,1,P,1146.9,,,,,
Kamloops,MSdc1,MSdc1/05,NS,1,P,1147.9,,,,,
Kamloops,PPxh1,PPxh1/03,NS,1,P,1148.9,,,,,
Kamloops,PPxh1,PPxh1/03,NS,1,P,1149.9,,,,,
Kamloops,MSdm1,MSdm1/08,NS,1,P,1150.9,,,,,
Nelson,PPdh1,PPdh1/03,NS,1,P,1151.9,,,,,
Nelson,PPdh2,PPdh2/02a,NS,1,P,1152.9,,,,,
Nelson,PPdh2,PPdh2/02a,NS,1,P,1153.9,,,,,
Nelson,PPdh2,PPdh2/02a,NS,1,P,1154.9,,,,,
Nelson,PPdh2,PPdh2/02a,NS,1,P,1155.9,,,,,
Nelson,PPdh2,PPdh2/02b,NS,1,P,1156.9,,,,,
Nelson,PPdh2,PPdh2/02b,NS,1,P,1157.9,,,,,
Kamloops,MSdm2,MSdm2/02,NS,1,P,1158.9,,,,,
Nelson,PPdh2,PPdh2/02b,NS,1,P,1159.9,,,,,
Kamloops,PPxh2,PPxh2/05,NS,1,P,1160.9,,,,,
Nelson,PPdh1,PPdh1/03,NS,1,P,1161.9,,,,,
Nelson,PPdh1,PPdh1/03,NS,1,P,1162.9,,,,,
Nelson,PPdh1,PPdh1/03,NS,1,P,1163.9,,,,,
Nelson,PPdh1,PPdh1/02,NS,1,P,1164.9,,,,,
Nelson,PPdh1,PPdh1/02,NS,1,P,1165.9,,,,,
Nelson,PPdh1,PPdh1/02,NS,1,P,1166.9,,,,,
Nelson,PPdh1,PPdh1/02,NS,1,P,1167.9,,,,,
Nelson,PPdh2,PPdh2/02b,NS,1,P,1168.9,,,,,
Pr Rupert,SBSdk,SBSdk/32,NS,1,P,1169.9,,,,,
Pr George,SBSdk,SBSdk/82,NS,1,P,1170.9,,,,,
Pr Rupert,SBSdk,SBSdk/31,NS,1,P,1171.9,,,,,
Pr Rupert,SBSdk,SBSdk/31,NS,1,P,1172.9,,,,,
Pr Rupert,SBSdk,SBSdk/31,NS,1,P,1173.9,,,,,
Pr Rupert,SBSdk,SBSdk/31,NS,1,P,1174.9,,,,,
Pr Rupert,SBSdk,SBSdk/32,NS,1,P,1175.9,,,,,
Kamloops,PPxh1,PPxh1/03,NS,1,P,1176.9,,,,,
Pr Rupert,SBSdk,SBSdk/32,NS,1,P,1177.9,,,,,
Pr George,SBSdk,SBSdk/82,NS,1,P,1178.9,,,,,
Pr Rupert,SBSdk,SBSdk/81,NS,1,P,1179.9,,,,,
Pr Rupert,SBSdk,SBSdk/81,NS,1,P,1180.9,,,,,
Pr Rupert,SBSdk,SBSdk/81,NS,1,P,1181.9,,,,,
Pr Rupert,SBSdk,SBSdk/81,NS,1,P,1182.9,,,,,
Pr Rupert,SBSdk,SBSdk/82,NS,1,P,1183.9,,,,,
Pr Rupert,SBSdk,SBSdk/82,NS,1,P,1184.9,,,,,
Kamloops,BGxh2,BGxh2/01,NS,1,X,1185.9,,,,,
Pr Rupert,SBSdk,SBSdk/32,NS,1,P,1186.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/32,NS,1,P,1187.9,,,,,
Kamloops,BGxh2,BGxh2/01,NS,1,X,1188.9,,,,,
Kamloops,PPxh2,PPxh2/05,NS,1,P,1189.9,,,,,
Kamloops,PPxh2,PPxh2/05,NS,1,P,1190.9,,,,,
Kamloops,PPxh2,PPxh2/05,NS,1,P,1191.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/31,NS,1,P,1192.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/31,NS,1,P,1193.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/31,NS,1,P,1194.9,,,,,
Pr George,SBSdk,SBSdk/82,NS,1,P,1195.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/32,NS,1,P,1196.9,,,,,
Pr George,SBSdk,SBSdk/82,NS,1,P,1197.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/32,NS,1,P,1198.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/32,NS,1,P,1199.9,,,,,
Pr George,SBSdk,SBSdk/81,NS,1,P,1200.9,,,,,
Pr George,SBSdk,SBSdk/81,NS,1,P,1201.9,,,,,
Pr George,SBSdk,SBSdk/81,NS,1,P,1202.9,,,,,
Pr George,SBSdk,SBSdk/81,NS,1,P,1203.9,,,,,
Kamloops,PPxh1,PPxh1/03,NS,1,P,1204.9,,,,,
Pr Rupert,SBPSmc,SBPSmc/31,NS,1,P,1205.9,,,,,
Pr George,ESSFwc2,ESSFwc2/10,NS,1,P,1206.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/51,NS,1,P,1207.9,,,,,
Nelson,ESSFwc2,ESSFwc2/10,NS,1,P,1208.9,,,,,
Nelson,ESSFwc2,ESSFwc2/10,NS,1,P,1209.9,,,,,
Nelson,ESSFwc2,ESSFwc2/10,NS,1,P,1210.9,,,,,
Nelson,ESSFwc2,ESSFwc2/10,NS,1,P,1211.9,,,,,
Pr George,ESSFwc2,ESSFwc2/10,NS,1,P,1212.9,,,,,
Kamloops,ESSFwc2,ESSFwc2/10,NS,1,P,1213.9,,,,,
Pr George,ESSFwc2,ESSFwc2/10,NS,1,P,1214.9,,,,,
Kamloops,ESSFwc2,ESSFwc2/10,NS,1,P,1215.9,,,,,
Kamloops,ESSFwc4,ESSFwc4/08,NS,1,P,1216.9,,,,,
Kamloops,ESSFwc4,ESSFwc4/08,NS,1,P,1217.9,,,,,
Kamloops,ESSFwc4,ESSFwc4/08,NS,2,P,1218.9,,,,,
Kamloops,ESSFwc4,ESSFwc4/08,NS,3,P,1219.9,,,,,
Cariboo,SBSmm,SBSmm/09,NS,1,P,1220.9,,,,,
Cariboo,SBSmm,SBSmm/09,NS,1,X,1221.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/31,NS,1,P,1222.9,,,,,
Pr George,ESSFwc2,ESSFwc2/10,NS,1,P,1223.9,,,,,
Nelson,ESSFvc,ESSFvc/06,NS,1,P,1224.9,,,,,
Kamloops,ICHmw3,ICHmw3/09,NS,1,P,1225.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/51,NS,1,P,1226.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/51,NS,1,P,1227.9,,,,,
Kamloops,ESSFvc,ESSFvc/06,NS,1,P,1228.9,,,,,
Kamloops,ESSFvc,ESSFvc/06,NS,1,P,1229.9,,,,,
Kamloops,ESSFvc,ESSFvc/06,NS,1,P,1230.9,,,,,
Kamloops,ESSFwc2,ESSFwc2/10,NS,1,P,1231.9,,,,,
Nelson,ESSFvc,ESSFvc/06,NS,1,P,1232.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/31,NS,1,P,1233.9,,,,,
Nelson,ESSFvc,ESSFvc/06,NS,1,P,1234.9,,,,,
Nelson,ESSFvc,ESSFvc/06,NS,1,P,1235.9,,,,,
Kamloops,ESSFvv,ESSFvv/05,NS,1,P,1236.9,,,,,
Kamloops,ESSFvv,ESSFvv/05,NS,1,P,1237.9,,,,,
Kamloops,ESSFvv,ESSFvv/05,NS,1,P,1238.9,,,,,
Kamloops,ESSFvv,ESSFvv/05,NS,1,P,1239.9,,,,,
Kamloops,ESSFwc2,ESSFwc2/10,NS,1,P,1240.9,,,,,
Kamloops,ESSFvc,ESSFvc/06,NS,1,P,1241.9,,,,,
Kamloops,ICHmw2,ICHmw2/08,NS,2,P,1242.9,,,,,
Kamloops,ICHmk1,ICHmk1/08,NS,1,P,1243.9,,,,,
Kamloops,ICHmk1,ICHmk1/08,NS,1,P,1244.9,,,,,
Nelson,ICHmk1,ICHmk1/08,NS,1,P,1245.9,,,,,
Nelson,ICHmk1,ICHmk1/08,NS,1,P,1246.9,,,,,
Nelson,ICHmk1,ICHmk1/08,NS,1,P,1247.9,,,,,
Nelson,ICHmk1,ICHmk1/08,NS,1,P,1248.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/31,NS,1,P,1249.9,,,,,
Kamloops,IDFxh1a,IDFxh1a/94,NS,1,P,1250.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/32,NS,1,P,1251.9,,,,,
Pr Rupert,MHwh1,MHwh1/31,NS,1,P,1252.9,,,,,
Cariboo,ICHmw3,ICHmw3/09,NS,1,P,1253.9,,,,,
Cariboo,ICHmw3,ICHmw3/09,NS,1,P,1254.9,,,,,
Cariboo,ICHmw3,ICHmw3/09,NS,1,P,1255.9,,,,,
Cariboo,ICHmw3,ICHmw3/09,NS,1,P,1256.9,,,,,
Kamloops,ICHmw3,ICHmw3/09,NS,1,P,1257.9,,,,,
Kamloops,ICHmw3,ICHmw3/09,NS,1,P,1258.9,,,,,
Kamloops,ICHmw2,ICHmw2/08,NS,1,P,1259.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/31,NS,1,P,1260.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/31,NS,1,P,1261.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/51,NS,1,P,1262.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/51,NS,1,P,1263.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/51,NS,1,P,1264.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/51,NS,1,P,1265.9,,,,,
Pr Rupert,ICHmc1,ICHmc1/31,NS,1,P,1266.9,,,,,
Pr Rupert,ICHmc1,ICHmc1/31,NS,1,P,1267.9,,,,,
Kamloops,ICHmk1,ICHmk1/08,NS,1,P,1268.9,,,,,
Pr Rupert,ICHmc1,ICHmc1/31,NS,1,P,1269.9,,,,,
Kamloops,ICHmk1,ICHmk1/08,NS,1,P,1270.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/31,NS,1,P,1271.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/31,NS,1,P,1272.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/31,NS,1,P,1273.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/32,NS,1,P,1274.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/32,NS,1,P,1275.9,,,,,
Pr Rupert,ICHmc2,ICHmc2/32,NS,1,P,1276.9,,,,,
Pr Rupert,ESSFwv,ESSFwv/31,NS,1,P,1277.9,,,,,
Pr Rupert,ICHmc1,ICHmc1/31,NS,1,P,1278.9,,,,,
Pr Rupert,CWHws1,CWHws1/31,NS,1,P,1279.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/51,NS,1,P,1280.9,,,,,
Pr Rupert,CWHwm,CWHwm/32,NS,1,P,1281.9,,,,,
Pr Rupert,CWHwm,CWHwm/51,NS,1,P,1282.9,,,,,
Pr Rupert,CWHwm,CWHwm/51,NS,1,P,1283.9,,,,,
Pr Rupert,CWHwm,CWHwm/51,NS,1,P,1284.9,,,,,
Pr Rupert,CWHwm,CWHwm/51,NS,1,P,1285.9,,,,,
Pr Rupert,CWHwm,CWHwm/32,NS,1,P,1286.9,,,,,
Pr Rupert,CWHws1,CWHws1/31,NS,1,P,1287.9,,,,,
Pr Rupert,CWHwm,CWHwm/32,NS,1,P,1288.9,,,,,
Pr Rupert,CWHws1,CWHws1/31,NS,1,P,1289.9,,,,,
Pr Rupert,CWHws1,CWHws1/32,NS,1,P,1290.9,,,,,
Pr Rupert,CWHws1,CWHws1/32,NS,1,P,1291.9,,,,,
Pr Rupert,CWHws1,CWHws1/32,NS,1,P,1292.9,,,,,
Pr Rupert,CWHws1,CWHws1/32,NS,1,P,1293.9,,,,,
Pr Rupert,CWHws2,CWHws2/31,NS,1,P,1294.9,,,,,
Pr Rupert,CWHws2,CWHws2/31,NS,1,P,1295.9,,,,,
Pr Rupert,CWHws1,CWHws1/31,NS,1,P,1296.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/33,NS,1,P,1297.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/31,NS,1,P,1298.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/31,NS,1,P,1299.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/31,NS,1,P,1300.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/31,NS,1,P,1301.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/32,NS,1,P,1302.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/32,NS,1,P,1303.9,,,,,
Pr Rupert,CWHwm,CWHwm/32,NS,1,P,1304.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/32,NS,1,P,1305.9,,,,,
Pr Rupert,CWHws2,CWHws2/32,NS,1,P,1306.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/33,NS,1,P,1307.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/33,NS,1,P,1308.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/33,NS,1,P,1309.9,,,,,
Pr Rupert,CWHwm,CWHwm/31,NS,1,P,1310.9,,,,,
Pr Rupert,CWHwm,CWHwm/31,NS,1,P,1311.9,,,,,
Pr Rupert,CWHwm,CWHwm/31,NS,1,P,1312.9,,,,,
Pr Rupert,CWHwm,CWHwm/31,NS,1,P,1313.9,,,,,
Pr Rupert,CWHvh2,CWHvh2/32,NS,1,P,1314.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/51,NS,1,P,1315.9,,,,,
Nelson,ESSFdk1,ESSFdk1/07,NS,1,P,1316.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/31,NS,1,P,1317.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/31,NS,1,P,1318.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/31,NS,1,P,1319.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/31,NS,1,P,1320.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/51,NS,1,P,1321.9,,,,,
Pr Rupert,CWHws2,CWHws2/31,NS,1,P,1322.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/51,NS,1,P,1323.9,,,,,
Nelson,ESSFdk1,ESSFdk1/07,NS,1,P,1324.9,,,,,
Kamloops,SBSmm,SBSmm/09,NS,1,P,1325.9,,,,,
Kamloops,SBSmm,SBSmm/09,NS,1,P,1326.9,,,,,
Kamloops,SBSmm,SBSmm/09,NS,1,P,1327.9,,,,,
Kamloops,SBSmm,SBSmm/09,NS,1,P,1328.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/31,NS,1,P,1329.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/31,NS,1,P,1330.9,,,,,
Pr Rupert,ESSFmk,ESSFmk/31,NS,1,P,1331.9,,,,,
Pr Rupert,ESSFmc,ESSFmc/51,NS,1,P,1332.9,,,,,
Cariboo,ESSFdc2,ESSFdc2/09,NS,1,P,1333.9,,,,,
Kamloops,ICHmw2,ICHmw2/08,NS,3,P,1334.9,,,,,
Pr Rupert,CWHws2,CWHws2/32,NS,1,P,1335.9,,,,,
Pr Rupert,CWHws2,CWHws2/32,NS,1,P,1336.9,,,,,
Pr Rupert,CWHws2,CWHws2/32,NS,1,P,1337.9,,,,,
Pr Rupert,CWHws2,CWHws2/51,NS,1,P,1338.9,,,,,
Pr Rupert,CWHws2,CWHws2/51,NS,1,P,1339.9,,,,,
Pr Rupert,CWHws2,CWHws2/51,NS,1,P,1340.9,,,,,
Nelson,ESSFdk1,ESSFdk1/07,NS,1,P,1341.9,,,,,
Cariboo,ESSFdc2,ESSFdc2/09,NS,1,P,1342.9,901,,,,
Nelson,ESSFdk1,ESSFdk1/07,NS,1,P,1343.9,,,,,
Cariboo,ESSFdc2,ESSFdc2/09,NS,1,P,1344.9,,,,,
Cariboo,ESSFdc2,ESSFdc2/09,NS,1,P,1345.9,,,,,
Kamloops,ESSFdc2,ESSFdc2/09,NS,1,P,1346.9,,,,,
Kamloops,ESSFdc2,ESSFdc2/09,NS,1,P,1347.9,,,,,
Kamloops,ESSFdc2,ESSFdc2/09,NS,1,P,1348.9,,,,,
Kamloops,ESSFdc2,ESSFdc2/09,NS,1,P,1349.9,,,,,
Pr Rupert,CWHws2,CWHws2/31,NS,1,P,1350.9,,,,,
Pr Rupert,CWHws2,CWHws2/51,NS,1,P,1351.9,,,,,
Kamloops,IDFxh1a,IDFxh1a/95,NS,1,P,1352.9,,,,,
Nelson,IDFdm2,IDFdm2/06,NS,1,P,1353.9,,,,,
Kamloops,IDFxh1a,IDFxh1a/93,NS,1,P,1354.9,,,,,
Kamloops,IDFxh1a,IDFxh1a/93,NS,1,P,1355.9,,,,,
