classification,colour
BWBScmNW,#71b5e8
MSxm_CO,#e875ad
MHmm_WA,#901b92
PPxk_OR,#d3730d
CDFmm_OR,#e1e42b
IDFdm_WA,#d5d66c
BGmk_NV,#e25069
GBDxx_UT,#9c9969
OWmm_OR,#abce10
BGxh_WA,#db1010
JPWxw_NV,#c37389
IGFmh_OR,#479fe7
BSJPpa,#3449e8
BWBSub,#5469f0
MSxh_OR,#d266ae
BSJPap,#4040d6
BGmk_MT,#e33339
SBAPcp,#7ac0dc
BWBSuf,#5a5cdf
IDFdkx_MT,#f2e81c
CWHwh_OR,#157232
MSSDun_NV,#807474
ESSFdk_MT,#ad21ee
PPxh_CO,#f4a316
ESSFxc_WA,#a76fcb
BWBScm,#286ae2
CWFds_CA,#3b73ce
CMAun_WA,#eaeada
IMAun_OR,#dae9eb
CWHmh_OR,#1dec32
ESSFxw_OR,#7230c8
CWHdm_OC,#36e55f
CWHms_WA,#33e15f
MDCHun_NV,#bd2f12
IGFmm_OR,#81b8d8
CWHdm_OR,#7dd78c
CWHvm_OR,#066d06
MSxx_NV,#e88092
MGPmg,#bb8f3d
JPWwm_CO,#ad737f
BGmw_OR,#c6330a
CMXwm_OR,#dca3da
ESSFxk_WY,#e747d5
MSdw_MT,#dd0ea6
BGxxx_WY,#954419
IDFxh_ID,#c1cb33
CVGdm_CA,#eeb6a9
ESSFxh_WA,#c97bef
IMAun_MT,#e5e9f3
MSdh_MT,#e6858b
FGnf,#c69b23
IWFdm_CO,#1bd79c
IDFxh_WA,#dfdf27
IWFxm_CA,#20dc85
ICHmh_MT,#64c829
MHds_OR,#9a4dec
ESSFxk_UT,#a97adc
CMAunp,#e4f3ea
CMAun_CA,#def2ea
IDFdxx_WY,#e6c937
ESSFxc_CO,#a72fd2
ICHxw_WA,#75e67d
IDFxx_WA,#c3c82c
SASbo,#2d4870
ESSFwh_MT,#bf68ce
MGPmw_MT,#a76e1f
IDFdk_MT,#d7e051
MHRFds_CA,#80718a
PPxw_WY,#ed5f34
CCHun_CA,#754862
BGdw_WA,#eb2a24
BWBSpp,#444edb
BSJPku,#6e7aca
IWFxk_NV,#3ae3a8
CMXxm_CA,#bb8fd6
CWHds_WA,#8def37
IDFdh_MT,#c3cc18
