"index","GCM","SSP","RUN","PERIOD","BAFAun","BGxh2","BGxh3","BGxw1","BGxw2","ESSFdk2","ESSFdkp","ESSFdkw","ESSFmc","ESSFmv1","ESSFwc2","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc2","ESSFxc3","ESSFxcp","ESSFxv1","ICHdk","ICHmc1","ICHmk3","ICHmw3","ICHwk2","IDFdk1","IDFdk3","IDFdk4","IDFmw2","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","MSabN","MSdc2","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmk1","SBSmm","SBSmw","SBSwk1","BGmk_MT","ESSFdc2","ESSFdcw","ESSFmv3","ESSFwm1","ESSFwmp","ESSFxcw","ESSFxk_WY","ICHmk1","ICHmk4","IDFdkx_MT","IDFxm_CO","IMAab","IWFdm_CO","MGPmg","MGPmw_MT","MSdh_WY","MSdk","MSdm1","PPxh1","SBPSdc","SBPSmc","BGxh1","ESSFdc1","ESSFwc4","ESSFwh1","ESSFxc1","ICHdw3","ICHmw5","IDFdh_UT","IDFdk2","JPWdw_UT","MSdw","MSxk1","SBSmh","BGdw_WA","BGxh_WA","ESSFdk1","ESSFmh","ESSFwmw","ICHxm1","IDFdk5","IDFdm_WA","IDFdm1","IDFdm2","IDFxk","JPWdm_WY","MGPdm","ESSFabS","ICHmc2","IDFdh","IDFdk_MT","IDFdx_MT","IDFxh1","IDFxx2","MSdm_WA","MSdm2","ICHmk2","ICHwk4","SBSvk","ESSFabC","ESSFwk2","ICHvk2","IMAun_WY","SBSwk3","ICHmw2","BWBSdk","BWBSdmN","BWBSmw","BWBSuf","ESSFabN","ESSFmv2","SBSdw3","BWBScmW","BWBSlf","BWBSwk1","FGnf","SBAPcp","SWBmk","ESSFmmp","SBSwk2","ESSFxvp","CWHws2","IDFdm_MT","MSxm_CO","ICHdw4","ICHwk1","PPxw_MT","PPxh_CO","GOun_CO","MHmmp","ESSFwh3","MSdw_MT","ICHwk3","ESSFwh2","ESSFwm2","ICHdm","SGPdm_CO","BGmw_WA","GBDxx_UT","ICHdw_ID","ICHdw1","IDFxx1","PPxh_WA","SBSdh1","ESSFwm_MT","ESSFwm4","ESSFxh_WA","ICHxw","ICHxw_WA","IMAun_MT","JPWxw_NV","ESSFwm3","ICHmw4","ICHmh_MT","MSxx_NV","ICHvk1","ICHvc","ESSFdk_MT","ICHxwa","IDFdh_WA","IDFxh_WA","PPmx_WY","IDFdh_MT","MHmm2","IGFxm_OR","CWHms1","IDFxx_MT","PPxw_WY","IGFmm_OR","JPWwm_CO","IDFxc","CWHwm"
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",NA,247,377,15,54,4,NA,NA,NA,7,NA,562,85,123,1400,5,NA,NA,NA,77,12,NA,NA,81,168,1,5037,1881,17068,NA,1221,485,8096,8893,4,NA,98,NA,733,369,23,137,2521,1723,NA,28,7220,278,852,356,28,NA,NA,3,154,NA,1,1,NA,NA,NA,75,NA,NA,24,NA,NA,NA,NA,2796,75,NA,9,2,50,57,NA,15,NA,NA,1,74,42,NA,NA,26,NA,5,42,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,291,353,7,102,43,NA,NA,5,222,1,612,121,196,1341,1,NA,NA,1,104,12,NA,4,23,557,29,1310,312,25201,NA,1589,281,3642,7249,10,NA,228,NA,671,265,29,148,1224,2438,NA,243,8862,2405,849,681,232,107,26,87,1792,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,68,NA,102,NA,7,217,NA,NA,NA,NA,NA,NA,10,NA,1,9,3,NA,NA,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,239,293,NA,48,1744,29,70,8,448,NA,5,73,7,1009,NA,NA,NA,NA,28,19,NA,NA,2,NA,NA,486,112,22096,NA,2,205,3944,122,12,NA,37,NA,268,84,97,127,14711,1015,NA,404,1841,788,44,467,333,NA,NA,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,7619,378,NA,2549,NA,19,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,120,NA,878,NA,NA,7,NA,NA,NA,24,NA,NA,NA,NA,NA,38,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,1,25,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",NA,284,396,4,189,26,1,NA,NA,NA,NA,338,32,110,1267,1,NA,NA,22,38,6,NA,NA,51,13,NA,3219,1697,13207,NA,374,597,10797,10722,NA,NA,28,6,653,257,30,122,3487,923,NA,171,4677,424,431,367,2,NA,NA,NA,145,NA,3,10,NA,68,NA,91,NA,3,817,NA,NA,NA,NA,7195,104,NA,58,31,53,23,NA,65,NA,NA,6,74,15,2,NA,387,1,67,37,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1,262,458,5,104,74,1,24,4,21,NA,172,96,227,1283,4,NA,NA,157,102,25,NA,NA,1,933,8,1106,3437,22156,4,2090,1146,2257,11611,12,NA,NA,NA,975,456,125,151,605,3134,93,360,7231,561,1179,441,328,12,186,NA,921,NA,NA,156,NA,NA,1,NA,NA,74,NA,NA,NA,NA,5,18,2,NA,79,41,NA,9,35,NA,1,51,2,3,1,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",16,268,453,NA,233,608,1,30,18,198,3,212,152,97,1235,10,NA,NA,8,207,32,NA,119,31,831,9,569,159,28306,1,1696,234,1730,6349,9,NA,143,NA,1068,506,50,116,777,2801,25,848,8321,1906,503,976,255,9,773,141,1880,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,24,3,NA,30,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",3,216,410,35,4,65,NA,26,2,3,NA,64,74,154,1130,4,2,NA,284,6,13,NA,NA,NA,415,NA,1438,7426,18603,47,1737,2046,1994,12820,11,NA,NA,NA,1067,120,324,188,774,2726,154,208,4555,129,1467,168,312,NA,67,NA,192,1,24,274,NA,21,2,20,64,950,33,NA,2,NA,32,598,80,1,124,599,1,NA,310,16,14,18,1,35,2,8,NA,230,32,10,9,21,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1,276,444,17,34,50,NA,41,NA,6,NA,59,75,247,1056,NA,NA,NA,127,98,18,NA,NA,8,88,NA,2229,4852,17238,NA,3054,1839,1437,15555,9,NA,NA,NA,979,452,68,167,823,1884,72,306,5630,338,957,354,157,NA,30,NA,251,NA,9,144,NA,32,5,14,11,681,374,NA,NA,NA,2,316,8,NA,59,602,3,18,15,16,60,248,31,20,4,9,NA,632,NA,25,19,98,NA,NA,NA,208,9,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2,286,512,NA,406,12,NA,NA,24,434,2,799,147,210,1334,28,NA,NA,164,32,15,NA,949,237,117,36,2512,53,24466,NA,3688,89,1989,5021,10,NA,2452,NA,427,45,NA,87,1237,696,NA,724,8090,3644,89,1341,67,1,NA,521,1883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,18,2,22,4,14,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",3,242,416,NA,129,9,NA,1,NA,422,NA,773,155,189,1620,12,NA,NA,301,NA,NA,NA,50,398,NA,NA,3338,18,19974,NA,3875,62,1293,2711,12,NA,5378,NA,123,NA,NA,108,1536,1,NA,391,7438,3429,81,1262,14,NA,NA,1150,1477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,45,NA,NA,NA,NA,NA,10,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,131,1979,1080,172,234,17,2,378,12,6,1740,548,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
