"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB"
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",831,382,2,241,120,8347,3208,11943,243,76,2874,1,NA,962,2224,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",334,243,3,192,125,7506,2694,7261,284,18,5102,2,NA,21,1942,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",385,33,3,218,145,7759,2130,5956,93,47,5876,5,NA,343,537,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",792,402,NA,243,136,7575,3185,12563,201,105,3210,NA,NA,324,1113,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",783,421,2,243,136,7820,2785,11578,224,102,2997,NA,NA,419,807,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",891,703,NA,236,120,7460,3264,11531,210,108,2617,NA,NA,331,2325,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",730,160,NA,252,146,7784,3066,12157,184,97,3419,NA,NA,165,35,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",736,309,2,154,144,7396,3352,10405,205,49,2240,1,NA,390,666,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",445,349,NA,174,135,6806,3372,10882,80,46,3749,1,NA,302,1285,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",674,224,3,229,153,7925,3174,8953,233,59,3076,3,NA,1180,1001,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",1233,513,3,111,119,7863,3379,9956,156,57,557,1,NA,711,725,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",650,354,2,247,149,7550,3255,11264,222,69,3740,1,NA,392,2181,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",1097,396,3,239,153,8289,3248,10546,452,80,2741,3,NA,709,1762,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",411,233,NA,195,118,7363,2921,10974,96,49,5109,NA,NA,36,406,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",679,258,3,261,150,7713,3211,10888,234,79,3557,NA,NA,624,940,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",690,767,NA,221,128,7489,3096,11360,148,76,2794,NA,NA,941,1654,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",828,783,NA,189,110,6559,2388,10886,105,69,1379,NA,NA,878,210,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",637,508,3,235,137,8146,3239,11246,183,71,3157,1,NA,1121,2662,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",412,20,3,186,139,7849,2983,5257,171,35,4827,3,NA,18,1061,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",412,20,3,186,139,7849,2983,5257,171,35,4827,3,NA,18,1061,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",527,449,2,224,139,7272,3301,11509,104,56,3411,NA,NA,339,2474,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",107,68,NA,60,54,3549,3035,8740,34,NA,2292,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",36,188,NA,45,65,3147,3335,9505,3,NA,2648,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",270,10,NA,53,71,3290,3078,8817,64,NA,2933,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",95,63,NA,82,34,3789,3118,10061,98,NA,2289,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",391,96,NA,176,150,6963,2850,8817,112,26,4771,NA,NA,35,708,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",412,43,1,210,151,7388,2482,8460,92,47,4837,1,NA,40,136,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",783,530,NA,170,127,7778,3150,9381,76,51,5031,NA,NA,140,2870,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",422,63,3,176,153,7001,2993,9450,236,23,3604,1,NA,198,425,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",79,43,3,135,111,5894,2839,5873,185,4,2497,4,NA,NA,33,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",147,48,3,167,124,7032,2643,6485,363,5,3631,2,NA,NA,426,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",86,31,3,124,131,5568,3049,7524,113,4,4346,3,NA,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",161,222,3,128,40,5363,2805,9370,165,4,2661,NA,NA,NA,115,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",383,65,3,232,149,7341,2991,9968,156,56,5249,5,NA,32,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",363,101,NA,227,150,7364,2680,10854,90,50,5424,4,NA,2,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",479,37,3,234,142,7715,3004,8494,173,68,6082,5,NA,195,18,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",306,27,1,228,149,6765,3231,10254,207,50,5129,5,NA,5,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",398,38,NA,117,152,5573,3372,8598,204,14,2297,1,NA,111,364,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",238,26,1,180,151,6449,2659,6879,163,12,5783,5,NA,2,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",945,157,NA,57,139,5797,3375,7611,69,19,3511,1,NA,93,1098,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",547,65,3,82,127,4798,3337,7880,156,9,779,5,NA,53,34,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",331,40,1,205,160,6491,3299,10184,149,38,4375,5,NA,129,48,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",531,87,3,214,118,6761,2828,9742,544,29,2775,5,NA,158,214,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",238,75,NA,166,128,6112,3243,9616,230,30,5612,4,NA,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",330,13,NA,190,147,6370,3368,9608,125,40,3384,3,NA,73,37,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",504,271,NA,200,143,7230,3374,12246,106,44,3477,1,NA,241,987,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",679,366,NA,188,162,6799,3302,12313,179,45,2237,NA,NA,143,255,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",289,177,NA,194,106,7624,3357,11186,71,39,5069,NA,NA,23,851,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",236,NA,3,118,88,6008,3373,2341,154,6,716,5,NA,15,64,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",236,NA,3,118,88,6008,3373,2341,154,6,716,5,NA,15,64,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",216,57,1,157,145,6262,3299,9520,116,11,4000,1,NA,NA,183,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",41,3,NA,37,37,2428,3101,5634,NA,NA,1079,NA,NA,NA,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",19,109,NA,42,31,2549,3176,7888,NA,NA,1610,NA,NA,NA,NA,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",61,3,NA,35,58,2616,3252,7986,2,NA,857,NA,NA,NA,NA,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",96,3,NA,84,9,3373,2801,8829,80,NA,2125,NA,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",89,13,NA,153,160,6000,3241,7550,161,5,4385,4,NA,1,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",135,15,1,152,146,6199,3046,6723,218,7,3857,5,NA,2,1,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",98,28,NA,136,131,6359,2862,6871,144,11,6136,2,NA,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",68,6,NA,140,158,5814,3328,6234,150,4,5465,5,NA,NA,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",17,3,3,93,122,4013,3283,3180,20,NA,141,5,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",18,2,3,101,137,4179,3240,2873,44,1,397,5,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",33,3,3,87,92,4092,3316,3608,47,1,443,5,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",10,1,3,99,110,4618,3270,2477,9,NA,184,5,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",283,40,NA,184,145,6364,3168,10369,137,38,4564,4,NA,3,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",339,130,NA,204,132,6803,3013,10768,115,44,5006,2,NA,12,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",267,77,NA,187,138,6428,3059,9881,62,39,4685,2,NA,2,25,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",269,2,NA,156,160,5852,3095,8844,184,21,4434,5,NA,NA,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",121,2,NA,113,152,5272,3340,7058,77,6,4962,5,NA,NA,7,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",517,3,NA,82,94,5811,2742,6407,86,4,5516,NA,NA,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",209,NA,1,88,143,2898,3371,9273,6,7,1873,1,NA,NA,2,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",63,2,4,119,140,5646,2534,4002,76,3,3994,5,NA,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",183,42,NA,169,143,5545,3375,11044,37,18,4404,2,NA,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",187,13,NA,170,159,5425,3373,10270,48,22,4342,4,NA,9,2,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",154,79,NA,126,120,5072,3350,10765,28,8,4915,NA,NA,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",176,81,NA,179,136,5437,3287,11458,32,23,5178,2,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",370,12,NA,143,140,6715,3372,10571,129,17,4583,NA,NA,21,31,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",223,127,NA,134,116,6512,3360,11116,47,13,5146,NA,NA,4,11,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",450,NA,NA,132,144,6540,3371,9339,183,8,4068,3,NA,20,4,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",111,NA,3,123,150,4995,3336,2021,108,4,1054,4,NA,NA,11,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",111,NA,3,123,150,4995,3336,2021,108,4,1054,4,NA,NA,11,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",81,17,NA,114,143,5346,3373,8008,62,3,4246,4,NA,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",34,9,NA,27,20,1580,2840,6380,NA,NA,358,NA,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",32,5,NA,43,16,1926,2738,5141,NA,NA,491,NA,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",22,11,NA,28,20,1767,3102,7963,NA,NA,182,NA,NA,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",17,4,NA,20,28,1124,3080,4377,NA,NA,406,NA,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",17,18,NA,93,126,4890,3199,6387,7,1,3676,1,NA,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",23,24,NA,85,138,4173,3299,8289,7,1,2926,1,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",7,12,NA,98,90,4468,3057,6592,3,1,2551,3,NA,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",44,14,NA,106,147,5112,3029,6983,46,1,2657,1,NA,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",1,12,3,67,81,2544,3310,4765,NA,NA,111,5,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",1,3,3,63,109,1953,3154,3518,NA,NA,95,5,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",1,24,3,73,78,2992,3314,6163,NA,NA,110,1,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",1,27,NA,54,46,2130,3370,3710,NA,NA,7,NA,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",158,5,NA,142,158,4768,3316,7676,127,14,4741,5,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",154,NA,NA,136,160,3794,3307,7889,14,9,4070,5,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",125,43,NA,148,129,5185,3348,8825,200,19,5368,3,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",162,NA,NA,130,151,4262,3073,6571,61,10,4057,5,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",87,NA,NA,85,112,3874,3320,7361,8,3,4169,3,NA,NA,2,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",46,NA,NA,65,82,3823,3221,7264,3,1,2334,4,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",195,NA,3,58,118,2566,3368,8094,8,3,713,4,NA,NA,1,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",155,NA,NA,73,99,3970,3305,6311,8,1,5215,1,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",32,22,NA,94,101,3512,3372,10401,58,1,3190,1,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",113,50,NA,72,84,2659,3375,11126,51,NA,1126,NA,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",54,4,NA,113,126,3877,3367,9734,90,2,3964,4,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",17,12,NA,101,86,3789,3369,8946,31,1,4500,1,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",272,193,NA,99,124,4943,3375,10260,28,2,2291,NA,NA,2,98,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",276,429,NA,85,111,5268,3376,10088,16,4,1716,NA,NA,2,717,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",258,74,3,113,130,4439,3375,9994,108,1,2366,4,NA,NA,27,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",18,1,3,103,123,3535,3230,1590,5,1,419,5,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",18,1,3,103,123,3535,3230,1590,5,1,419,5,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",21,15,NA,75,125,4319,3374,8273,9,1,3010,1,NA,NA,NA,NA
