"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB","IWF","MGP","GO","JPW","FG","CDF","IGF","SGP","GBD"
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",1320,1193,25,303,311,11889,4302,22865,734,409,5226,20,92,9342,7394,12,1,331,6,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1744,1422,63,142,192,13297,3138,9659,2289,285,10845,14,2529,7305,6487,11,3,6287,24,NA,39,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",634,1193,62,434,295,13307,4666,26736,786,333,6547,22,660,3527,4470,8,NA,2075,20,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1745,1241,NA,417,249,10926,4918,21117,875,299,6034,15,89,11910,5829,4,1,106,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2613,1109,22,321,165,11111,3851,17018,1000,281,5714,7,58,14715,7719,5,9,57,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1435,1130,NA,354,205,11610,5114,24192,605,255,5695,44,54,10542,4186,NA,NA,353,NA,1,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1394,1304,21,542,262,11567,5564,23440,970,377,6549,26,30,8567,4885,10,NA,267,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",1988,1147,140,364,272,11447,5895,17752,930,513,4990,7,1,12821,7430,4,51,23,NA,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",2550,821,659,366,230,12499,5246,14202,786,590,5594,17,273,12083,9627,10,31,160,NA,NA,31,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2956,914,109,301,150,12053,6423,13402,1210,440,8140,7,311,12139,7088,4,41,76,NA,NA,11,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1444,1331,3,455,284,11242,5103,20227,843,377,6274,10,NA,12815,5338,6,2,21,NA,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",1395,2177,1,470,318,10376,5350,25673,643,507,6035,41,NA,7938,4743,10,13,85,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1414,1811,1,423,262,11393,5146,24139,714,370,6536,34,20,8228,5178,7,NA,99,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",1781,2171,3,254,316,9806,5164,26129,448,430,4723,14,NA,10344,4045,6,11,130,NA,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",1256,1293,25,537,329,11343,5583,27607,764,597,7395,111,47,4920,3656,13,51,248,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1056,1792,6,376,245,11035,4745,27444,729,277,6037,34,1,8681,3232,4,NA,76,NA,5,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",1643,1922,NA,241,246,10976,4819,21827,742,222,4993,12,30,11629,6367,2,1,101,2,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",1004,902,17,497,241,12463,5261,30665,584,277,6686,115,14,6273,646,8,NA,60,NA,62,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1100,542,66,776,404,12822,6357,24398,895,495,6094,47,23,5453,6116,NA,NA,186,1,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1100,542,66,776,404,12822,6357,24398,895,495,6094,47,23,5453,6116,NA,NA,186,1,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1269,1527,20,492,314,11312,5556,23493,799,460,6169,18,17,8411,5821,10,2,85,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",204,2265,16,346,510,9192,7919,34329,215,507,6591,181,85,456,1120,NA,4,1739,24,72,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",137,2843,69,416,462,8737,7828,35799,283,441,7084,355,52,241,383,11,NA,579,NA,52,NA,3,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",188,2075,37,323,428,8844,7034,31771,248,436,7407,235,84,600,1096,NA,NA,4869,5,94,NA,1,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",371,2073,29,252,655,8990,7888,34635,120,583,5551,242,98,763,1708,NA,9,1697,42,69,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",682,661,46,791,497,11635,8829,29058,600,672,6593,140,64,2320,1511,9,3,1641,23,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",623,2362,1,489,375,11657,8832,26628,496,466,8745,100,28,1641,240,NA,31,3014,27,20,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",880,1682,51,574,520,10929,6615,29803,444,561,5901,57,NA,3089,4599,NA,6,52,12,NA,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",916,834,16,1026,442,11745,8913,27411,666,881,7803,200,237,2586,348,6,40,1686,12,7,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",410,481,267,846,608,11898,7354,24808,638,794,6374,136,561,1891,5207,6,10,3462,24,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",927,798,34,834,400,12469,7870,26437,629,747,6211,90,3,3265,4849,4,148,37,23,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",342,1318,443,715,590,11593,8420,17613,763,635,9071,155,1275,229,3554,2,12,8984,18,1,42,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",404,2198,115,885,626,12190,8344,18249,485,877,10281,244,325,625,958,3,81,8858,26,1,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",840,725,7,663,412,10767,8536,31020,616,671,6469,183,1,2508,2037,5,NA,305,10,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",843,755,34,583,408,11213,8298,30364,650,586,6051,127,60,2556,1705,10,NA,1521,11,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",904,2148,4,546,348,10433,7192,29729,599,582,5308,66,NA,3725,4103,4,NA,84,NA,NA,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",813,472,3,854,443,11512,10469,29754,582,848,6907,322,NA,1642,733,NA,48,351,17,5,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",796,585,47,947,1148,9672,10226,26185,487,1476,3801,108,35,1970,7992,1,54,237,8,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",469,690,18,666,727,9993,9592,28940,340,1127,6299,193,NA,1401,4927,NA,51,326,16,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",742,284,208,1159,775,10793,9202,21853,596,1058,5532,122,1373,2836,7421,1,2,1790,14,NA,14,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",1412,830,48,602,1039,10406,10104,24181,475,1442,913,30,56,3173,10555,11,92,406,NA,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",713,688,41,919,589,10668,8170,28894,662,800,6463,183,14,1324,5188,NA,NA,447,12,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",1202,841,124,876,909,10553,8409,25650,861,852,4263,71,134,2919,7995,NA,3,111,2,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",439,996,19,609,499,11041,10317,29915,396,819,7531,348,5,333,1125,2,137,1208,36,NA,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",755,423,39,1118,566,11042,9528,27826,675,782,6512,262,23,1752,2582,2,NA,1882,6,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",714,2317,24,491,430,10435,6222,29795,587,525,5666,53,NA,4598,3728,3,NA,178,9,NA,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",836,2727,4,341,361,9450,4647,33781,415,463,4226,33,NA,5317,2814,3,NA,339,5,13,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",674,858,52,642,504,11252,7563,26108,636,596,5638,60,9,4169,6937,1,NA,66,10,NA,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",461,70,91,677,512,11686,9693,13377,745,610,10611,263,1524,336,3379,NA,NA,11713,22,5,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",461,70,91,677,512,11686,9693,13377,745,610,10611,263,1524,336,3379,NA,NA,11713,22,5,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",566,811,66,730,582,10481,7877,29676,511,708,6174,140,41,1484,5241,1,1,665,20,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",109,2043,8,245,712,6666,11645,29104,238,474,4988,863,79,224,381,NA,NA,6877,114,997,NA,NA,1,7,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",36,771,10,248,1172,6083,12826,30145,25,964,5190,722,29,89,486,NA,NA,6449,35,463,NA,NA,NA,32,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",272,2740,NA,255,925,6134,12129,29052,308,628,5674,2565,58,NA,166,NA,NA,3095,319,1419,NA,NA,17,19,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",95,1331,7,419,837,6852,12618,31755,523,246,4796,1231,28,1,224,NA,NA,3132,145,1415,NA,NA,93,27,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",432,419,46,935,813,10013,10283,24607,438,1040,8437,214,176,859,1950,NA,16,5041,34,22,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",461,518,33,1017,655,10680,9662,25245,431,850,9380,223,92,386,1251,NA,16,4819,35,21,NA,NA,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",923,1351,25,490,511,11400,7175,21341,397,594,12920,45,90,523,4848,NA,40,3057,34,11,NA,NA,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",469,207,83,1002,940,10143,11090,26172,551,1234,6275,227,217,1358,4011,NA,30,1713,33,19,NA,NA,NA,1,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",79,82,525,754,950,9084,15026,15152,714,945,4560,506,993,34,315,NA,NA,16038,1,16,NA,NA,NA,1,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",150,283,488,881,674,10170,11684,17256,979,740,7025,237,877,469,1189,NA,NA,12652,5,16,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",86,249,322,1081,1318,8192,14335,18961,470,1403,6411,400,282,33,386,NA,7,11761,30,47,NA,NA,NA,1,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",161,774,749,601,1463,8222,14258,22502,553,750,3708,387,1898,272,1042,NA,NA,8371,NA,13,51,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",410,1238,46,1108,603,10388,11823,27976,569,997,7693,428,24,322,635,NA,2,1496,6,11,NA,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",385,1158,35,1102,758,10410,11176,30617,490,1098,7266,640,13,40,408,NA,13,164,2,NA,NA,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",529,2966,38,927,466,11330,11372,20968,546,757,10525,258,62,380,789,1,1,3839,9,12,NA,NA,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",325,415,43,1366,783,9402,12856,28746,679,1290,7264,428,15,429,628,NA,9,1067,NA,30,NA,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",434,162,26,1126,1935,7880,12198,22956,452,2833,4196,232,45,1966,6309,4,23,2954,17,25,NA,NA,NA,2,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",243,1338,70,1391,1005,9086,11024,20376,425,1531,8853,497,387,587,721,NA,4,8223,5,9,NA,NA,NA,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",991,381,7,326,1874,8145,10384,19041,169,2339,7513,106,280,1114,6783,NA,66,6184,32,40,NA,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",563,894,90,857,4306,6258,15278,18951,345,3550,1485,200,54,788,11331,20,34,730,1,7,1,NA,NA,32,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",356,191,53,1378,1043,9139,12653,28323,495,1465,6226,352,18,882,1741,NA,89,1308,12,29,NA,NA,NA,22,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",547,377,232,1302,1268,9480,11547,26463,1012,1165,4888,340,415,1060,4193,1,2,1407,NA,9,18,NA,NA,49,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",258,2144,14,886,922,8920,12432,27467,518,1370,7086,515,20,13,154,NA,427,2498,41,70,NA,NA,NA,20,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",351,167,9,1421,1030,9146,12614,27821,421,1560,5522,206,6,1241,2777,NA,54,1380,22,27,NA,NA,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",576,916,13,831,731,10462,9944,30934,528,846,5650,320,2,906,3051,NA,NA,36,20,9,NA,NA,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",828,918,6,1112,1165,10121,9601,31534,631,1574,3380,326,NA,510,3859,NA,194,3,5,8,NA,NA,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",307,892,13,710,442,11161,10420,28131,514,418,9039,269,53,315,2680,NA,NA,392,11,8,NA,NA,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",242,1,375,477,1274,9543,19065,5975,725,1836,2008,210,4680,215,11878,NA,NA,7069,1,NA,31,NA,NA,170,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",242,1,375,477,1274,9543,19065,5975,725,1836,2008,210,4680,215,11878,NA,NA,7069,1,NA,31,NA,NA,170,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",228,110,79,1050,1032,9097,12923,25476,409,1292,6529,307,200,920,1624,NA,NA,4438,29,32,NA,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",43,6,1,159,1067,5592,18187,23665,77,566,2168,3103,65,NA,244,NA,NA,9115,361,1081,NA,NA,NA,275,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",19,199,47,169,961,5770,15559,28446,44,591,3050,1376,22,NA,447,NA,NA,8101,132,701,NA,NA,1,140,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",61,4,16,288,1466,5000,23005,19985,95,1385,1363,508,175,NA,282,1,NA,10945,469,389,NA,NA,NA,338,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",100,1738,1,290,572,6128,10022,30855,827,106,4422,5237,7,39,367,NA,NA,2606,314,1746,NA,NA,357,41,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",98,51,110,1440,1240,8362,15619,20558,556,1563,6662,320,212,582,1313,NA,64,6870,26,51,NA,NA,NA,78,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",146,236,110,1080,965,8847,14784,19182,680,1323,6169,274,348,685,843,NA,71,9896,15,43,NA,NA,NA,78,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",101,1951,25,1362,834,8792,12810,18309,402,1361,9857,231,95,4,344,NA,133,8978,70,115,NA,NA,NA,1,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",76,16,99,1623,1560,7998,18888,15270,559,1821,7915,254,193,94,1740,NA,8,7533,13,28,NA,NA,NA,87,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",19,3,418,1027,3039,5937,26303,10008,266,2121,374,623,1245,NA,83,NA,1,14071,7,15,NA,NA,3,212,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",18,12,335,1506,3760,5854,26881,10640,263,2696,748,266,946,NA,1063,NA,NA,10626,11,1,NA,NA,3,146,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",40,3,649,658,2526,6646,26761,8672,390,1357,690,246,1256,NA,1988,NA,NA,13690,NA,15,4,NA,NA,184,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",10,26,315,1347,3081,6619,25224,12099,247,2300,611,431,1030,NA,237,NA,1,11953,25,1,NA,NA,5,213,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",303,225,54,1026,813,9164,12923,28875,418,1198,6578,369,51,766,949,NA,68,1925,17,44,NA,NA,NA,9,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",364,690,23,789,568,9808,11532,30777,384,923,6853,441,31,478,567,NA,NA,1509,3,35,NA,NA,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",281,294,76,989,641,9346,12519,27654,300,1037,7211,350,75,755,1150,NA,13,3032,16,31,NA,NA,NA,5,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",296,54,45,1444,1820,8615,15074,26248,490,1909,6038,432,23,259,1767,NA,461,695,31,20,NA,NA,NA,54,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",122,3,68,1741,2161,7362,16101,19429,296,2799,7002,226,36,193,3065,NA,232,4777,37,29,2,NA,NA,94,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",595,3052,3,632,788,8212,11818,17101,303,1253,11223,924,61,NA,320,1,34,8918,400,98,NA,NA,NA,39,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",219,11,20,1523,5551,3677,16639,22790,79,5365,2819,243,NA,699,4015,23,666,1373,12,21,NA,NA,NA,30,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",63,4,450,1416,3294,7800,14099,17527,502,2091,5904,362,2798,NA,778,NA,16,8357,12,1,NA,NA,NA,301,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",201,189,13,1599,1281,7813,12924,30448,263,1768,5923,530,9,614,926,1,135,1023,27,84,NA,NA,NA,4,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",213,36,12,2229,1794,7477,13913,26395,220,2586,6545,340,NA,538,2592,5,163,634,22,52,NA,NA,NA,9,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",156,606,8,927,1030,7816,12155,29900,275,1212,7168,452,17,554,584,NA,NA,2767,16,132,NA,NA,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",182,575,18,1769,1224,7498,12490,31307,231,1830,6714,765,4,287,450,1,130,233,15,52,NA,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",403,188,10,873,909,9705,13106,26374,382,1041,8547,273,41,785,1388,NA,6,1654,46,44,NA,NA,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",234,1032,4,723,663,9497,11989,29257,330,724,8409,493,28,563,587,NA,16,1121,22,83,NA,NA,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",538,28,6,1001,1214,9590,14363,22135,447,1724,7823,115,55,1036,4000,1,4,1618,49,28,NA,NA,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",113,28,189,968,2175,7552,27774,6000,606,2233,1871,220,729,5,5494,4,1,9329,13,39,NA,NA,NA,432,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",113,28,189,968,2175,7552,27774,6000,606,2233,1871,220,729,5,5494,4,1,9329,13,39,NA,NA,NA,432,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",84,32,94,1251,1428,7809,16491,19087,300,1741,6640,273,191,166,1234,NA,2,8765,36,56,NA,NA,NA,95,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",34,11,2,103,1069,4757,16611,25882,155,261,1234,4894,93,NA,24,NA,NA,6247,283,3405,NA,NA,387,322,1
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",32,353,5,144,800,5155,14340,25326,282,121,1606,5182,111,NA,32,NA,NA,7223,210,3647,NA,NA,631,570,5
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",22,15,3,111,1438,5012,14263,32490,116,264,1081,3209,14,NA,100,NA,NA,3114,107,3524,NA,NA,675,215,2
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",17,15,9,77,1014,4011,20679,19426,6,648,1038,1276,41,NA,506,NA,NA,14435,472,1291,NA,NA,NA,813,1
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",17,179,78,1353,2033,6917,21293,15679,142,1747,4915,268,229,NA,197,NA,3,10375,37,84,NA,NA,NA,229,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",23,100,82,1167,2587,6129,18329,21710,175,1979,3932,470,141,1,493,NA,9,8141,26,103,NA,NA,NA,178,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",7,2772,45,1421,3213,6682,17874,19913,77,1819,3775,466,161,NA,227,NA,16,6745,23,192,NA,NA,40,307,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",44,31,132,992,1891,7339,18235,20063,439,1549,3836,161,178,4,748,NA,26,9798,14,73,NA,NA,NA,222,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",1,12,305,758,4248,4193,25890,13152,73,2295,162,2433,823,NA,173,NA,NA,10760,6,41,NA,1,18,431,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",1,3,320,945,5867,2963,25884,13411,22,3227,109,3084,1076,NA,108,NA,NA,8082,6,27,NA,NA,58,582,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",1,28,269,996,3848,4596,22311,16414,46,2330,181,2712,803,NA,11,NA,NA,10898,26,39,NA,NA,28,238,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",3,31,178,518,1539,4480,23997,14464,56,1455,72,5561,726,NA,5,NA,NA,12149,22,200,NA,NA,12,307,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",171,94,33,1808,2631,6963,16555,26418,365,2871,5883,374,9,11,264,NA,445,815,16,32,NA,NA,NA,17,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",155,10,75,2296,3894,5785,16750,25334,158,3568,5279,355,1,75,1372,NA,183,398,11,26,NA,NA,NA,50,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",128,2448,12,1020,1237,7547,13986,27485,542,1752,7129,433,17,1,227,NA,96,1567,8,140,NA,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",183,NA,34,2081,3844,6653,16897,23028,296,3689,5362,340,10,47,733,NA,1287,1129,34,22,NA,NA,NA,106,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",87,5,35,1369,2865,5702,17750,19734,164,3472,5961,292,9,4,2113,10,531,5256,152,54,NA,NA,NA,210,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",46,NA,48,1045,3247,5934,18589,20220,120,2516,3660,422,28,NA,1567,4,822,6813,263,65,NA,NA,NA,366,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",197,108,129,806,6501,3588,21380,18263,112,4305,1139,329,NA,9,6989,19,81,1564,3,19,2,NA,NA,232,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",156,63,6,1331,2358,5609,17159,16931,78,3378,8915,251,7,NA,1050,8,1573,6297,291,63,NA,NA,NA,251,NA
