"index","GCM","SSP","RUN","PERIOD","BAFAun","BGxh2","BGxh3","BGxw1","BGxw2","ESSFdk2","ESSFdkp","ESSFdkw","ESSFmc","ESSFmv1","ESSFwc2","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc2","ESSFxc3","ESSFxcp","ESSFxv1","ICHdk","ICHmc1","ICHmk3","ICHmw3","ICHwk2","IDFdk1","IDFdk3","IDFdk4","IDFmw2","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","MSabN","MSdc2","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmk1","SBSmm","SBSmw","SBSwk1"
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",NA,79,229,NA,26,NA,NA,NA,NA,NA,NA,17,19,NA,405,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,36,106,11786,NA,249,60,210,1674,NA,NA,10,NA,125,8,3,8,1,681,NA,NA,2522,11,241,33,NA,NA,NA,NA,1
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,95,203,1,70,10,NA,NA,2,41,NA,107,60,29,536,NA,NA,NA,NA,3,NA,NA,NA,1,254,2,36,90,21528,NA,700,98,222,1769,4,NA,97,NA,234,14,2,23,NA,1209,NA,3,4014,656,509,65,9,NA,19,NA,72
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,91,207,NA,39,461,NA,NA,NA,31,NA,2,46,5,626,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,35,71,20793,NA,NA,117,253,101,5,NA,35,NA,117,17,8,25,14,106,NA,2,1364,120,5,71,NA,NA,NA,NA,159
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",NA,62,184,NA,24,7,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,67,6772,NA,3,42,136,1721,NA,NA,NA,NA,45,1,3,2,1,266,NA,NA,1648,NA,1,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1,92,329,NA,75,31,NA,7,NA,1,NA,30,39,99,464,4,NA,NA,2,6,6,NA,NA,NA,479,NA,36,110,15447,NA,293,89,60,2131,3,NA,NA,NA,523,75,3,13,NA,2129,5,7,3020,177,153,51,9,NA,68,NA,84
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",16,96,287,NA,158,258,NA,1,1,82,NA,88,106,35,613,9,NA,NA,4,81,13,NA,3,8,569,NA,36,103,24608,NA,585,123,143,2216,5,NA,73,NA,846,204,6,31,NA,2237,12,8,3574,744,341,88,41,1,314,NA,173
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",3,85,333,NA,4,31,NA,5,NA,NA,NA,NA,22,64,365,2,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,32,88,10155,NA,141,60,33,1977,3,NA,NA,NA,518,8,4,7,NA,1574,1,3,1882,NA,22,33,NA,NA,25,NA,30
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1,87,307,NA,7,9,NA,5,NA,NA,NA,NA,22,131,313,NA,NA,NA,NA,3,2,NA,NA,NA,23,NA,34,84,10420,NA,219,67,30,2070,2,NA,NA,NA,350,31,3,4,NA,1102,1,4,1966,NA,13,29,1,NA,10,NA,10
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2,95,262,NA,182,3,NA,NA,3,96,NA,192,84,44,769,13,NA,NA,3,9,1,NA,1,12,18,8,36,51,22678,NA,744,64,249,1757,4,NA,252,NA,253,3,NA,18,1,232,NA,3,2656,596,9,85,28,NA,NA,NA,137
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",3,85,251,NA,64,2,NA,NA,NA,122,NA,217,95,41,1144,11,NA,NA,3,NA,NA,NA,NA,2,NA,NA,36,18,19420,NA,635,48,176,1490,4,NA,191,NA,73,NA,NA,7,NA,NA,NA,5,1659,489,NA,118,NA,NA,NA,NA,61
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",8,95,275,NA,137,10,NA,NA,4,115,NA,93,100,61,1086,49,NA,NA,9,NA,2,3,34,29,6,8,14,9,27518,NA,704,31,126,1600,7,NA,252,NA,83,NA,NA,10,NA,27,NA,8,878,288,NA,156,NA,NA,NA,NA,109
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,85,372,NA,109,NA,NA,NA,4,5,NA,186,53,33,781,24,NA,NA,3,63,19,NA,4,12,419,4,36,128,19707,NA,550,84,100,2254,5,NA,8,NA,613,170,2,9,NA,631,10,NA,3217,1361,682,79,18,NA,38,NA,74
23,"MIROC6","ssp245","ensembleMean","2001_2020",1,95,244,NA,28,NA,NA,NA,NA,1,NA,NA,11,NA,273,4,NA,NA,NA,16,NA,NA,NA,10,163,2,36,66,8971,NA,219,50,11,2180,NA,NA,NA,NA,229,96,1,3,NA,808,NA,NA,2005,8,58,5,NA,NA,121,NA,25
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1,92,261,NA,34,NA,NA,NA,NA,NA,NA,9,16,NA,435,6,NA,NA,NA,22,4,NA,NA,3,13,NA,36,84,10771,NA,290,50,25,2193,2,NA,NA,NA,313,75,NA,5,NA,291,NA,NA,3114,415,373,26,2,NA,5,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",4,96,274,NA,73,26,NA,NA,NA,2,NA,27,17,3,208,4,NA,NA,NA,23,2,NA,63,20,361,6,36,70,11619,NA,345,79,30,1834,1,NA,NA,NA,219,199,NA,4,NA,429,NA,3,2391,6,1,24,1,NA,162,NA,93
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",7,74,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,36,51,5194,NA,54,18,4,2103,NA,NA,NA,NA,146,4,1,2,NA,317,NA,NA,1031,NA,NA,NA,NA,NA,NA,NA,6
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1,75,336,NA,45,5,NA,9,NA,6,NA,5,6,47,290,7,NA,NA,1,33,2,NA,NA,5,299,NA,35,96,7715,NA,98,72,55,1690,1,NA,NA,NA,396,150,NA,1,NA,1117,NA,3,1387,47,5,13,NA,NA,32,NA,31
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",3,96,274,NA,107,50,NA,NA,NA,11,NA,26,19,23,289,3,NA,NA,2,20,2,NA,3,1,530,6,36,69,12912,NA,184,90,48,1757,2,NA,9,NA,339,170,2,10,NA,946,NA,5,2704,431,13,22,4,1,152,NA,131
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,55,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,90,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,99,100,NA,NA,68,NA,972,1,NA,NA,NA,694,17,3,1,NA,132,NA,1,66,NA,NA,8,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,32,186,NA,NA,NA,NA,NA,NA,31,NA,2,20,NA,407,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,36,103,14298,NA,614,106,131,1549,NA,NA,197,NA,59,NA,NA,27,NA,11,NA,NA,1132,4,175,34,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,32,186,NA,NA,NA,NA,NA,NA,31,NA,2,20,NA,407,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,36,103,14298,NA,614,106,131,1549,NA,NA,197,NA,59,NA,NA,27,NA,11,NA,NA,1132,4,175,34,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,90,308,NA,59,NA,NA,NA,NA,3,NA,34,16,NA,460,3,NA,NA,NA,6,NA,NA,NA,NA,167,NA,36,99,13972,NA,415,66,39,2078,NA,NA,NA,NA,215,64,1,8,NA,968,NA,2,2881,187,305,45,11,NA,52,NA,23
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,10,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,3,NA,641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,16,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722,3,NA,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,11,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,5,1,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,50,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,61,1162,NA,98,46,NA,1538,NA,NA,NA,NA,3,NA,NA,1,NA,129,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,41,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,18,352,NA,15,7,NA,1070,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,70,207,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,36,55,5210,NA,46,42,12,1968,NA,NA,NA,NA,3,NA,NA,NA,NA,152,NA,NA,1421,1,NA,NA,NA,NA,NA,NA,1
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,35,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,74,571,NA,NA,45,NA,940,NA,NA,NA,NA,88,NA,1,NA,NA,13,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,11,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,34,45,2146,NA,10,54,7,1020,NA,NA,6,NA,NA,NA,NA,8,NA,6,NA,NA,498,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,54,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,66,1880,NA,696,104,NA,1940,NA,NA,NA,NA,27,2,2,17,NA,55,NA,NA,172,NA,25,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,34,35,3193,NA,NA,58,24,670,NA,NA,26,NA,NA,NA,NA,6,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,15,NA,NA,7,NA,241,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,58,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53,747,NA,623,40,4,1659,NA,NA,NA,NA,16,2,NA,1,NA,161,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1,57,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,48,945,NA,4,34,5,1648,NA,NA,NA,NA,18,NA,NA,NA,NA,139,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,78,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,32,54,2627,NA,775,54,6,2014,NA,NA,NA,NA,7,2,1,4,NA,119,NA,NA,500,NA,NA,NA,NA,NA,6,NA,12
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,11,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,100,NA,169,9,NA,530,NA,NA,NA,NA,13,NA,NA,NA,NA,18,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,44,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,36,8,1873,NA,425,74,94,1299,NA,NA,189,NA,NA,NA,NA,31,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,38,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,33,26,1224,NA,367,38,10,1166,NA,NA,20,NA,NA,NA,NA,3,NA,NA,NA,NA,476,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,15,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,36,12,4391,NA,NA,96,208,465,NA,NA,193,NA,NA,NA,NA,43,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,74,84,NA,10,NA,NA,NA,NA,NA,NA,NA,5,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,29,36,3,3520,NA,713,35,283,1423,NA,NA,233,NA,NA,NA,NA,36,NA,NA,NA,1,191,NA,NA,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",NA,19,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,16,34,1994,NA,58,44,6,1259,NA,NA,7,NA,NA,NA,NA,4,NA,2,NA,NA,541,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,41,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,36,29,1848,NA,236,88,115,1368,NA,NA,210,NA,2,NA,NA,43,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,84,NA,NA,14,NA,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",NA,10,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,200,NA,8,27,6,871,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,407,NA,NA,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,81,230,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,8,84,NA,35,57,3158,NA,500,49,14,1447,NA,NA,NA,NA,NA,1,NA,4,NA,43,NA,3,1054,NA,NA,1,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,86,203,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,26,NA,NA,3,40,22,76,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,59,180,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,36,73,8927,NA,613,82,29,1710,NA,NA,107,NA,5,1,NA,18,NA,6,NA,NA,898,NA,62,6,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,12,97,NA,NA,63,176,122,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,12,97,NA,NA,63,176,122,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,44,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,34,1111,NA,104,39,7,1379,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30,NA,461,13,1,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,96,8,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,39,114,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,22,410,NA,352,25,17,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,2
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,67,NA,NA,51,5,614,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5,NA,NA,NA,NA,1,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,10,NA,62,17,1,417,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
