"index","GCM","SSP","RUN","PERIOD","BAFA","BG","ESSF","ICH","IDF","IMA","MS","PP","SBAP","SBPS","SBS","IWF","MGP","JPW","BWBS","FG","SWB","CWH","GO","MH","SGP","GBD","IGF"
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",8,987,3601,8031,34756,19,6503,78,1280,95,9027,335,NA,NA,194,125,16,NA,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,974,2874,3057,41332,18,1939,81,183,1465,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",1,1070,2194,4505,44894,5,1590,99,38,1112,9540,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1,995,2405,4475,42840,8,1901,97,391,725,11216,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",4,2190,2134,2909,43338,2,1190,108,NA,810,12031,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",9,866,1957,5761,46205,NA,1802,168,422,914,6470,NA,461,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1,1538,2421,2438,46400,6,2036,134,159,2227,7695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",3,2235,2249,1747,42061,5,1301,124,96,1371,13849,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,902,3752,2599,50777,7,4801,155,10,562,1472,NA,13,NA,3,NA,NA,2,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,383,2740,9321,32172,1,1067,385,1236,780,16641,8,318,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,383,2740,9321,32172,1,1067,385,1236,780,16641,8,318,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,987,2430,4713,41792,5,1413,100,488,1638,11461,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,844,1173,6917,46007,NA,551,322,523,11,2070,93,6382,162,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,1318,1069,6912,49579,NA,510,426,153,NA,3784,16,1220,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,4073,1032,5800,38689,NA,165,253,782,4,3976,NA,10144,133,1,NA,NA,3,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,716,922,5742,39691,NA,709,333,934,27,1673,188,13780,340,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,591,1909,12541,39531,NA,1326,307,1169,1052,2677,118,3830,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,584,1795,9911,39628,NA,3892,173,683,201,752,1363,5906,165,NA,NA,NA,NA,1,1,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,962,1918,5571,48133,NA,1194,126,694,526,5536,NA,384,10,NA,NA,NA,1,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,427,2389,11424,39968,1,2889,418,1425,436,135,436,5085,3,NA,NA,NA,NA,NA,19,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,355,1838,9101,34788,NA,745,484,1688,780,10623,NA,4652,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,379,2102,12307,40317,NA,949,342,528,1412,6438,125,109,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,211,1563,8747,36675,NA,359,706,2855,246,10573,NA,2980,10,98,32,NA,NA,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,588,1828,10171,27174,NA,2191,536,3788,136,457,NA,18168,17,1,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,737,1909,11293,44817,NA,1254,248,459,601,3182,66,474,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1,765,1957,10471,42037,NA,1707,210,1070,680,1722,21,4402,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,899,1855,7449,45652,NA,696,162,11,586,7629,25,47,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,391,2036,18500,39849,NA,1853,404,386,283,586,27,683,49,NA,NA,NA,NA,5,3,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,435,1887,16552,33991,NA,417,510,69,43,11068,32,2,47,2,NA,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,702,1593,11103,38662,NA,281,455,509,105,11132,NA,505,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,262,2169,16176,26139,NA,473,634,840,35,17845,74,22,4,178,204,NA,NA,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,760,1927,12163,36483,NA,519,240,346,20,12530,1,17,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",NA,534,1798,8133,36214,NA,786,639,1145,295,14166,NA,1339,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,396,2138,13923,32642,NA,668,526,95,31,14503,71,37,17,8,NA,NA,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,553,1638,12061,38482,NA,744,714,1198,325,6281,NA,3043,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",NA,509,2017,10866,36914,NA,991,451,1927,239,7062,NA,4073,4,NA,NA,NA,2,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,2159,1714,3903,47451,NA,599,202,49,361,8589,1,16,10,NA,NA,NA,1,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,6399,1652,1992,47458,1,1603,386,NA,559,4961,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,626,2106,9311,39106,NA,749,314,751,256,11830,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,149,1495,11642,17969,NA,124,521,3349,110,21399,NA,8261,34,NA,NA,NA,NA,NA,NA,2,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,149,1495,11642,17969,NA,124,521,3349,110,21399,NA,8261,34,NA,NA,NA,NA,NA,NA,2,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,665,1710,9689,41189,NA,551,333,986,275,8102,NA,1543,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,260,377,8044,45921,NA,733,3836,3,NA,39,3,4983,691,NA,NA,NA,NA,149,NA,NA,16,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,925,393,14225,46183,NA,82,1431,9,NA,563,NA,716,501,NA,NA,NA,NA,NA,NA,NA,27,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,284,291,8082,47440,1,701,2469,NA,NA,NA,19,44,865,NA,NA,NA,NA,4850,NA,NA,9,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,435,370,10773,44763,1,611,3704,NA,NA,NA,NA,600,546,NA,NA,NA,NA,3247,NA,NA,5,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,456,1286,15040,32308,NA,1083,415,1372,211,456,35,12317,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,679,1448,10948,27287,NA,3042,426,823,8,39,NA,20247,108,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,989,1417,5934,38062,NA,632,242,1357,153,5857,NA,10333,79,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,248,1388,19683,33004,NA,342,535,1113,432,3454,NA,4773,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,337,1096,21357,31747,NA,776,662,741,2,423,NA,7845,60,6,NA,NA,NA,NA,NA,3,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,349,1490,16534,35394,NA,660,496,1693,190,1621,NA,6572,55,1,NA,NA,NA,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,463,1010,23951,33371,NA,1801,675,44,NA,NA,NA,3653,86,NA,NA,NA,NA,NA,NA,1,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,1170,908,14744,39600,NA,97,805,1231,NA,3465,NA,2692,49,164,128,NA,1,NA,NA,1,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,247,1617,26259,33388,NA,1178,698,882,89,530,NA,118,48,NA,NA,NA,1,NA,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,348,1583,22790,36072,NA,1279,859,836,2,1278,1,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",NA,222,1705,24634,31493,NA,1385,581,1132,356,1782,NA,1715,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,220,1518,31601,29680,NA,1084,585,50,43,19,72,87,93,NA,NA,NA,NA,1,2,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,169,1303,17338,26072,NA,17,673,37,56,18904,NA,362,114,NA,NA,NA,NA,NA,NA,10,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,198,1298,23265,29417,NA,174,727,2145,91,3881,NA,3706,46,99,NA,NA,NA,NA,NA,8,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,725,1329,9391,27347,NA,6,379,1092,1,24123,NA,326,336,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,63,1319,18842,19831,NA,10,762,621,1,22891,5,587,73,15,3,NA,NA,NA,NA,32,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,158,1276,27974,28705,NA,369,733,994,250,2574,4,1888,104,NA,NA,NA,NA,NA,NA,26,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,116,1252,20747,30853,NA,226,1009,2522,124,4695,3,3412,53,12,NA,NA,NA,NA,NA,31,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,304,1080,26226,33895,NA,693,811,637,40,422,NA,805,137,NA,NA,NA,NA,NA,NA,5,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",NA,162,1514,28799,24487,NA,320,510,769,273,5956,3,2145,85,NA,NA,NA,NA,NA,NA,32,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,374,1460,12215,45880,NA,353,578,23,132,3935,6,16,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,321,1206,10305,45527,NA,266,446,NA,NA,2766,3977,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,322,1683,17393,37556,NA,974,651,1348,143,2840,NA,2104,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,1185,31641,3480,NA,15,992,1425,NA,23905,NA,1985,7,20,215,NA,16,NA,NA,169,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,1185,31641,3480,NA,15,992,1425,NA,23905,NA,1985,7,20,215,NA,16,NA,NA,169,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,339,1284,21701,34138,NA,443,588,940,133,3451,NA,1953,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,203,252,11238,26894,NA,446,17193,NA,NA,NA,NA,7622,1051,NA,NA,NA,NA,99,NA,22,35,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,641,211,16037,37757,NA,197,5964,NA,NA,291,NA,3359,452,NA,NA,NA,NA,NA,NA,122,24,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,106,223,27991,29981,NA,236,2983,14,NA,214,NA,2353,634,NA,NA,NA,NA,NA,NA,309,11,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,252,283,6331,43009,NA,767,10463,NA,NA,NA,NA,416,1610,NA,NA,NA,NA,1916,NA,NA,8,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,186,1000,35380,25074,NA,718,563,481,4,82,NA,1372,155,NA,NA,NA,NA,NA,NA,40,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,189,962,31346,25097,NA,833,641,916,44,165,NA,4681,149,NA,NA,NA,NA,NA,NA,32,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,493,1080,11471,42475,6,2082,962,214,NA,NA,371,5232,224,NA,NA,NA,NA,430,10,5,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,89,911,42343,18728,NA,447,600,354,31,299,NA,1035,137,NA,NA,NA,NA,NA,NA,81,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,164,638,44556,17629,NA,338,582,309,NA,40,NA,565,63,NA,NA,NA,NA,NA,NA,169,NA,2
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,145,706,48452,14529,NA,362,578,129,NA,23,NA,4,24,NA,NA,NA,7,NA,NA,95,NA,1
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,120,648,42383,17541,NA,316,624,437,NA,70,NA,2764,78,1,NA,NA,NA,NA,NA,73,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,146,836,48903,13312,NA,433,623,345,NA,20,NA,273,10,3,NA,NA,NA,NA,NA,149,NA,2
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,248,1131,29312,31279,NA,625,668,843,35,317,NA,474,121,NA,NA,NA,NA,NA,NA,2,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,552,1243,21279,36353,NA,1445,543,216,NA,NA,NA,3364,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,423,1097,23425,35303,NA,589,744,794,18,1150,NA,1424,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,45,854,42133,18363,NA,107,1411,11,2,1660,237,NA,171,NA,NA,NA,NA,NA,NA,61,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,14,886,37772,20028,NA,170,898,148,43,4025,NA,742,202,NA,NA,NA,NA,NA,NA,127,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,127,1070,21623,30627,NA,1262,1129,606,10,2,9,7916,359,NA,NA,NA,NA,240,1,74,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,1014,36177,23253,NA,40,2005,NA,NA,936,1362,NA,237,NA,NA,NA,28,NA,NA,3,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,143,822,25636,27576,NA,547,1528,927,NA,35,NA,7721,14,NA,NA,NA,NA,NA,NA,104,NA,2
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,317,1064,26846,34371,NA,450,827,411,8,479,NA,99,183,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,145,1069,31100,30673,NA,466,620,285,67,328,NA,56,243,NA,NA,NA,NA,NA,NA,3,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,461,972,22453,36551,NA,478,775,668,10,949,NA,1537,197,NA,NA,NA,NA,NA,NA,4,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,369,983,27155,34262,NA,399,949,382,NA,492,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,182,1150,25202,35080,NA,467,444,511,322,1023,6,477,191,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,459,1128,18195,42744,NA,586,656,3,73,572,NA,508,131,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,37,1228,31736,26391,NA,169,594,NA,62,4386,160,110,179,NA,NA,NA,NA,NA,NA,3,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,640,54243,4919,NA,29,1608,548,NA,2523,13,112,52,NA,NA,NA,7,NA,NA,361,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,640,54243,4919,NA,29,1608,548,NA,2523,13,112,52,NA,NA,NA,7,NA,NA,361,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,157,871,36335,24796,NA,399,559,384,27,525,NA,714,228,NA,NA,NA,NA,NA,NA,60,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,213,129,7503,33896,NA,265,16377,NA,NA,NA,NA,2860,3724,NA,NA,NA,NA,16,NA,6,66,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,182,149,7606,25026,NA,181,17984,NA,NA,NA,NA,11866,1804,NA,NA,NA,NA,109,NA,63,85,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,239,77,8552,41804,NA,239,9035,NA,NA,NA,NA,33,3502,NA,NA,NA,NA,1501,NA,4,69,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,289,103,13709,27671,NA,219,8217,NA,NA,9,NA,13397,1252,NA,NA,NA,NA,6,NA,102,81,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,305,747,34490,25738,NA,471,941,172,NA,NA,NA,1884,163,NA,NA,NA,NA,NA,NA,144,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,363,569,30357,30096,NA,544,882,52,NA,NA,NA,1965,164,NA,NA,NA,NA,NA,NA,63,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,333,656,35208,25181,NA,368,1627,179,NA,NA,NA,796,118,NA,NA,NA,NA,NA,NA,583,NA,6
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,192,809,31370,27064,NA,563,1800,310,1,2,NA,2549,275,NA,NA,NA,NA,NA,NA,120,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,282,440,36940,25565,NA,198,756,NA,NA,1,NA,577,106,NA,NA,NA,1,NA,NA,189,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,244,421,39080,23995,NA,127,767,1,NA,NA,NA,56,86,NA,NA,NA,8,NA,NA,248,NA,22
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,388,512,24886,35824,NA,317,2083,NA,NA,NA,NA,957,63,NA,NA,NA,NA,NA,NA,24,NA,1
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,397,347,18541,24352,NA,372,12546,2,NA,NA,NA,7922,310,NA,NA,NA,NA,NA,NA,253,NA,13
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,180,854,45144,17314,NA,498,666,184,4,46,NA,1,125,NA,NA,NA,NA,NA,1,38,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,159,790,47316,15406,NA,234,617,138,3,246,NA,NA,93,NA,NA,NA,NA,NA,NA,53,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,304,900,35340,27103,NA,705,539,5,NA,NA,12,8,119,NA,NA,NA,NA,NA,20,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,135,848,48449,12980,NA,443,1374,NA,NA,400,221,NA,126,NA,NA,NA,2,NA,2,75,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,786,37528,21775,NA,12,1931,NA,1,2544,10,1,395,NA,NA,NA,NA,NA,NA,72,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,20,461,37787,20303,NA,29,3569,3,3,2307,NA,14,384,NA,NA,NA,NA,NA,NA,175,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,679,36003,17520,NA,NA,5231,NA,NA,4650,613,2,245,NA,NA,NA,12,NA,NA,100,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,804,38801,21460,NA,10,1850,NA,2,1620,NA,NA,441,NA,NA,NA,NA,NA,NA,67,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,256,516,33391,29667,NA,196,541,22,NA,1,NA,40,346,NA,NA,NA,NA,NA,NA,78,1,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,139,278,24599,38093,NA,147,468,9,NA,42,NA,539,683,NA,NA,NA,NA,4,NA,42,12,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,244,659,36481,26438,NA,264,647,73,NA,4,NA,NA,195,NA,NA,NA,NA,NA,NA,50,NA,NA
