SiteNo,FuturePeriod,BGC,BGC.pred,BGC.prop
5095973,2025,IDFdk3,IDFdk3,0.0625
5095973,2025,IDFdk3,IDFdk5,0.0625
5095973,2025,IDFdk3,IDFxh1,0.0625
5095973,2025,IDFdk3,IDFxh2,0.5
5095973,2025,IDFdk3,IDFxm,0.1875
5095973,2055,IDFdk3,IDFdh_WA,0.0625
5095973,2055,IDFdk3,IDFdk3,0.0625
5095973,2055,IDFdk3,IDFmw2,0.0625
5095973,2055,IDFdk3,IDFxh1,0.4375
5095973,2055,IDFdk3,IDFxh2,0.3125
5095973,2055,IDFdk3,IGFxm_OR,0.0625
5095973,2085,IDFdk3,BGmw_WA,0.125
5095973,2085,IDFdk3,ICHxw_WA,0.0625
5095973,2085,IDFdk3,IDFdk3,0.0625
5095973,2085,IDFdk3,IDFmw2,0.125
5095973,2085,IDFdk3,IDFxh1,0.3125
5095973,2085,IDFdk3,IDFxh2,0.1875
5095973,2085,IDFdk3,IGFxm_OR,0.125
5186533,1975,SBPSmk,SBPSmk,1
5186533,2000,SBPSmk,SBSdw1,1
5186533,2025,SBPSmk,ICHdw3,0.0625
5186533,2025,SBPSmk,ICHdw4,0.125
5186533,2025,SBPSmk,ICHmc2,0.125
5186533,2025,SBPSmk,IDFmw1,0.0625
5186533,2025,SBPSmk,IDFmw2,0.3125
5186533,2025,SBPSmk,SBSdw1,0.125
5186533,2025,SBPSmk,SBSmh,0.1875
5186533,2055,SBPSmk,ICHdw1,0.0625
5186533,2055,SBPSmk,ICHdw4,0.4375
5186533,2055,SBPSmk,ICHxw,0.0625
5186533,2055,SBPSmk,ICHxw_WA,0.125
5186533,2055,SBPSmk,ICHxwa,0.0625
5186533,2055,SBPSmk,IDFmw1,0.0625
5186533,2055,SBPSmk,IDFmw2,0.0625
5186533,2055,SBPSmk,SBSdw1,0.0625
5186533,2055,SBPSmk,SBSmh,0.0625
5186533,2085,SBPSmk,BGmw_WA,0.0625
5186533,2085,SBPSmk,CMXwm_OR,0.0625
5186533,2085,SBPSmk,CWHxm_WA,0.0625
5186533,2085,SBPSmk,ICHdw4,0.1875
5186533,2085,SBPSmk,ICHmw3,0.0625
5186533,2085,SBPSmk,ICHxw,0.25
5186533,2085,SBPSmk,ICHxwa,0.0625
5186533,2085,SBPSmk,IDFmw1,0.125
5186533,2085,SBPSmk,IGFxm_OR,0.0625
5186533,2085,SBPSmk,SBSdw1,0.0625
5225436,1975,IDFdk3,IDFdk3,1
5225436,2000,IDFdk3,IDFxm,1
5225436,2025,IDFdk3,BGxw2,0.0625
5225436,2025,IDFdk3,IDFdk3,0.0625
5225436,2025,IDFdk3,IDFxh2,0.75
5225436,2025,IDFdk3,IDFxk,0.0625
5225436,2025,IDFdk3,IDFxm,0.0625
5225436,2055,IDFdk3,IDFdk3,0.0625
5225436,2055,IDFdk3,IDFxh1,0.375
5225436,2055,IDFdk3,IDFxh2,0.375
5225436,2055,IDFdk3,IDFxm,0.0625
5225436,2055,IDFdk3,JPWxw_NV,0.0625
5225436,2055,IDFdk3,PPxh2,0.0625
5225436,2085,IDFdk3,BGmw_WA,0.1875
5225436,2085,IDFdk3,IDFxh1,0.25
5225436,2085,IDFdk3,IDFxh2,0.3125
5225436,2085,IDFdk3,IDFxm,0.0625
5225436,2085,IDFdk3,IGFxm_OR,0.0625
5225436,2085,IDFdk3,JPWxw_NV,0.0625
5225436,2085,IDFdk3,PPxh1,0.0625
