"index","GCM","SSP","RUN","PERIOD","BAFAun","CDFmm","CMAun","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHds2","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvm_WA","CWHvm1","CWHvm2","CWHwm","CWHws1","CWHws2","CWHxm1","CWHxm2","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmk","ESSFmkw","ESSFmw","ESSFmw2","ESSFmwp","ESSFmww","ESSFxv1","ESSFxvp","IDFdc","IDFww","IMAun","IMAunp","MHmm_WA","MHmm1","MHmm2","MHmmp","MSdc1","MSdv"
92,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",26,NA,22,2314,1,NA,127,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",3,NA,19,54,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
94,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",1,NA,8,10221,3200,6,252,2,NA,NA,76,NA,16,3786,23,NA,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,9,28,NA,NA,NA
95,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",4,NA,7,10959,4084,7,222,2,NA,NA,105,NA,3,4005,39,NA,NA,7,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,9,58,NA,NA,NA
96,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",20,NA,8,10557,168,9,212,NA,NA,NA,122,NA,26,1102,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,17,74,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,NA,8,9536,3926,6,273,2,NA,NA,36,NA,NA,4479,22,NA,NA,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,15,NA,NA,NA
98,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,NA,7175,1716,NA,101,NA,NA,NA,4,NA,6,4031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
99,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,NA,7592,1494,NA,113,NA,NA,NA,11,NA,NA,4241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA
100,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,2,6798,2432,NA,130,NA,NA,NA,1,NA,5,3953,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
101,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,NA,7691,285,NA,115,NA,NA,NA,18,NA,16,2321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
102,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",51,NA,14,12302,691,9,342,5,NA,NA,123,NA,25,1379,56,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,40,200,NA,NA,NA
103,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",118,NA,18,13247,604,11,423,4,NA,NA,178,NA,24,879,134,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,103,302,NA,NA,NA
104,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",62,NA,18,12063,729,10,421,4,NA,NA,168,NA,24,1167,65,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,38,194,NA,NA,NA
105,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",25,NA,11,10929,878,3,285,2,NA,NA,75,NA,17,2274,16,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,7,100,NA,NA,NA
106,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",14,NA,24,8194,3114,5,357,3,NA,NA,20,NA,12,4289,11,NA,NA,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,25,NA,NA,NA
107,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",90,NA,18,6240,107,5,280,NA,NA,NA,19,NA,21,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,16,NA,NA,NA
108,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",33,NA,86,4241,3705,4,400,2,NA,NA,11,8,8,4770,3,NA,NA,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,24,NA,NA,NA
109,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,5,8816,2418,NA,225,2,NA,NA,22,NA,4,3820,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,8,NA,NA,NA
110,"MIROC6","ssp245","ensembleMean","2061_2080",64,NA,22,10955,304,10,306,NA,NA,NA,80,NA,24,1667,42,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,36,103,NA,NA,NA
111,"MIROC6","ssp245","r1i1p1f1","2061_2080",56,NA,21,10961,382,10,254,2,NA,NA,90,NA,32,2523,53,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,41,147,NA,NA,NA
112,"MIROC6","ssp245","r2i1p1f1","2061_2080",120,NA,25,9581,71,9,523,NA,NA,NA,49,NA,19,617,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,33,37,NA,NA,NA
113,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",186,NA,21,9402,46,9,384,NA,NA,NA,69,NA,17,247,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,10,44,NA,NA,NA
114,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",238,NA,25,8568,21,7,400,NA,NA,NA,46,NA,15,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,14,NA,NA,NA,12,23,NA,NA,NA
115,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",159,NA,21,9475,289,10,390,3,NA,NA,62,NA,24,914,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,18,42,NA,NA,NA
116,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",3,NA,24,6821,3067,4,308,2,NA,NA,13,NA,18,4148,4,NA,NA,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
117,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",3,NA,24,6821,3067,4,308,2,NA,NA,13,NA,18,4148,4,NA,NA,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
118,"ensembleMean","ssp245","ensembleMean","2061_2080",16,NA,12,7995,1031,3,261,2,NA,NA,27,NA,22,1951,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,8,NA,NA,NA
119,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",3,NA,15,239,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
120,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",3,NA,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
121,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",3,NA,10,423,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
122,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",9,NA,23,1109,NA,NA,169,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
123,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,5,7394,563,2,171,NA,NA,NA,15,NA,15,1869,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
124,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",1,NA,6,6431,573,NA,189,NA,NA,NA,4,NA,14,1644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
125,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,2,7596,37,NA,99,NA,NA,NA,13,NA,6,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,2,NA,NA,NA
126,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",2,NA,9,7618,3322,2,264,1,NA,NA,16,NA,5,3535,2,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,NA,NA,NA
127,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,4,4788,426,NA,54,NA,NA,NA,NA,NA,1,2421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
128,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,11,4669,252,NA,38,NA,NA,NA,1,NA,4,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
129,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,8,5411,75,NA,65,NA,NA,NA,10,NA,7,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
130,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,1,4368,42,NA,72,NA,NA,NA,NA,NA,7,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
131,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",22,NA,10,10035,272,NA,205,2,NA,NA,54,NA,17,1651,6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,63,NA,NA,NA
132,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",15,NA,14,8849,957,NA,228,2,NA,NA,25,NA,7,3134,4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,58,NA,NA,NA
133,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",44,NA,12,9831,3,NA,152,NA,NA,NA,65,NA,13,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,3,42,NA,NA,NA
134,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",13,NA,15,8636,306,NA,208,1,NA,NA,64,NA,11,2600,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,49,NA,NA,NA
135,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",16,NA,41,6593,1961,2,354,3,NA,NA,5,NA,17,3604,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA
136,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",26,NA,27,5614,684,NA,218,NA,NA,NA,2,NA,5,2526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
137,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",17,NA,112,3858,5325,6,537,2,NA,NA,5,16,2,4696,NA,NA,NA,15,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,6,NA,NA,NA
138,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",48,NA,41,6624,1413,2,325,NA,NA,NA,8,NA,25,3163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA
139,"MIROC6","ssp245","ensembleMean","2081_2100",23,NA,15,7313,22,NA,221,NA,NA,NA,1,NA,7,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,7,NA,NA,NA
140,"MIROC6","ssp245","r1i1p1f1","2081_2100",71,NA,19,3852,NA,1,159,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
141,"MIROC6","ssp245","r2i1p1f1","2081_2100",13,NA,10,8311,661,NA,175,NA,NA,NA,2,NA,5,1770,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,12,NA,NA,NA
142,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",203,NA,28,8585,2442,8,497,1,NA,NA,82,NA,15,1757,39,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,18,NA,NA,NA
143,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",361,13,44,7962,1677,8,959,NA,NA,NA,182,NA,20,1112,34,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,29,NA,NA,NA
144,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",55,NA,18,8740,3388,1,326,NA,NA,NA,19,NA,12,2619,9,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,17,NA,NA,NA
145,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,8,6149,347,NA,160,NA,NA,NA,5,NA,8,2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
146,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,8,6149,347,NA,160,NA,NA,NA,5,NA,8,2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
147,"ensembleMean","ssp245","ensembleMean","2081_2100",8,NA,8,5858,272,2,225,NA,NA,NA,4,NA,12,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
