"index","GCM","SSP","RUN","PERIOD","CWHmm1","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","MHmm1","CWHdm_WA","CWHmm2","CWHvh_WA","CWHwh_WA","CWHxm2","CWHmh_OR","CMXwm_OR","CWHdm"
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,NA,510,12615,128,NA,2175,NA,12979,7395,NA,9,755,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",21,NA,1121,10737,132,NA,3617,NA,11787,8842,NA,195,114,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,1764,10524,118,NA,2145,NA,12740,8343,NA,NA,932,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,NA,70,15127,123,NA,155,NA,14513,6425,NA,NA,153,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,NA,3805,4330,52,NA,8556,NA,10940,7554,NA,65,1264,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,3566,5144,57,NA,6272,NA,12185,7637,NA,NA,1705,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",33,NA,4408,4196,96,NA,9774,NA,10711,6875,NA,NA,473,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",2,NA,4052,2431,23,NA,9992,NA,8132,8000,NA,911,3023,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,84,27,30337,88,NA,563,NA,5031,268,NA,NA,168,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,4020,142,25996,57,NA,1063,NA,4740,144,NA,NA,404,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",65,NA,1101,23680,110,NA,3617,NA,7094,440,NA,NA,459,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,1907,NA,31883,80,NA,286,NA,2076,224,NA,NA,110,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,NA,5009,5074,96,NA,10323,NA,10903,4560,NA,1,600,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,52,1603,17687,137,NA,2626,NA,12993,1411,NA,13,44,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",11,NA,4925,177,23,NA,11985,NA,6097,7773,NA,3226,2349,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",8,NA,5186,5550,127,NA,9707,NA,9724,6196,NA,NA,68,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",80,NA,5475,7349,137,NA,10738,NA,10222,2508,NA,57,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",1,NA,5224,15586,160,NA,6802,NA,7606,1162,NA,25,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",36,NA,5629,4318,91,NA,6746,NA,9667,7580,NA,2391,108,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",55,NA,2737,12039,54,NA,10720,NA,6814,1869,NA,NA,2278,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",55,NA,2737,12039,54,NA,10720,NA,6814,1869,NA,NA,2278,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",2,NA,1583,11086,74,NA,9627,NA,10346,2650,NA,NA,1198,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,607,NA,NA,3020,NA,234,3938,NA,NA,28767,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,NA,1847,NA,NA,5,NA,6704,5708,NA,NA,22302,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",3,NA,95,339,NA,NA,3639,NA,2,3147,NA,NA,29341,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,142,NA,NA,NA,2263,NA,NA,6943,NA,134,27084,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,329,21053,78,NA,2432,NA,10824,941,NA,63,846,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,75,161,22484,59,NA,762,NA,11871,494,NA,126,534,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",1,NA,7133,1140,54,NA,16724,NA,7660,638,NA,NA,3216,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,4475,34,27155,57,NA,460,NA,3799,302,NA,NA,284,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,635,12245,9,NA,9317,NA,6401,574,NA,NA,7385,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,1,349,14206,5,NA,6125,NA,7952,390,NA,NA,7538,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,998,10542,24,NA,11838,NA,5381,301,NA,NA,7482,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",65,NA,2231,215,4,NA,2279,NA,2435,13730,NA,5917,9690,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,NA,3164,2127,20,NA,13593,NA,8442,4709,NA,22,4489,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",5,NA,4582,1681,39,NA,10945,NA,9466,8005,NA,86,1757,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",4,NA,2766,2479,23,NA,12710,NA,8190,5802,NA,11,4581,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,2162,2279,10,NA,16279,NA,6440,1770,NA,17,7609,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,751,117,32511,16,NA,1306,NA,1284,21,NA,NA,560,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",56,NA,3714,4904,8,NA,16736,NA,3754,112,NA,NA,7282,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,358,25,34262,16,NA,479,NA,791,111,NA,NA,524,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,6934,NA,26361,NA,NA,1114,NA,942,NA,NA,NA,1215,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",80,NA,5095,204,28,NA,14077,NA,7025,6495,NA,40,3522,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,4752,1951,38,NA,12906,NA,8423,5409,NA,10,3077,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,3019,NA,6,NA,16387,NA,738,6809,NA,1609,7998,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",43,NA,5375,975,53,NA,11571,NA,8193,7850,NA,6,2500,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",20,NA,5750,6,24,NA,18900,NA,5232,2963,NA,447,3224,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,3663,NA,13,NA,16474,NA,2197,5489,NA,4543,4187,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",48,NA,7010,1462,37,NA,19166,NA,6277,664,NA,23,1879,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",5,NA,1383,6465,19,NA,10714,NA,8463,3703,NA,NA,5814,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",5,NA,1383,6465,19,NA,10714,NA,8463,3703,NA,NA,5814,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,1985,4371,18,NA,15036,NA,7029,1500,NA,NA,6627,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",84,NA,NA,19,NA,NA,1213,NA,NA,2299,NA,NA,32951,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,31,NA,NA,NA,1412,NA,NA,2479,NA,NA,32644,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",3,NA,NA,123,NA,NA,562,NA,NA,3320,NA,NA,32558,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,601,NA,NA,333,NA,253,3562,NA,NA,31817,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,1758,4909,15,NA,11734,NA,4753,830,NA,NA,12567,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,719,4280,10,NA,12917,NA,3661,1162,NA,NA,13817,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,2823,115,NA,NA,3169,NA,19,9264,NA,680,20496,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,631,13093,26,NA,5792,NA,8174,1069,NA,NA,7781,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,321,3572,3,NA,9984,NA,4105,2076,NA,NA,16505,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,190,2553,NA,NA,10641,NA,3803,1708,NA,NA,17671,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,1550,1449,1,NA,9605,NA,952,3516,NA,NA,19493,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",81,NA,1580,209,NA,NA,14422,NA,269,443,NA,NA,19562,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,1350,6277,5,NA,11890,NA,3655,1325,NA,7,12057,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,225,11712,4,NA,4311,NA,6434,2000,NA,NA,11880,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",5,NA,2530,337,1,NA,13083,NA,2417,4760,NA,276,13157,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,858,11627,1,NA,9553,NA,4332,168,NA,NA,10027,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,659,17526,4,NA,8023,NA,4608,111,NA,NA,5635,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,566,14539,NA,NA,7860,NA,1010,NA,NA,NA,12591,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,123,NA,27624,19,NA,165,NA,7825,315,NA,NA,495,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,569,18594,3,NA,6638,NA,4390,96,NA,NA,6276,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",84,NA,713,1145,5,NA,5597,NA,1176,9325,NA,476,18045,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",369,NA,446,15,NA,NA,9099,NA,17,6582,NA,970,19068,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,134,5193,5,NA,2654,NA,7610,7686,NA,NA,13284,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",196,NA,787,205,1,NA,3374,NA,97,11627,NA,3790,16489,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",53,NA,1806,4135,47,NA,7892,NA,8883,8756,NA,903,4091,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",565,NA,729,3783,90,NA,8717,11,7822,10104,4,3300,1441,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,2703,4452,25,NA,7197,NA,8780,5756,NA,105,7548,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",19,NA,2549,33,NA,NA,18598,NA,168,59,NA,NA,15140,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",19,NA,2549,33,NA,NA,18598,NA,168,59,NA,NA,15140,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,939,1703,NA,NA,14476,NA,2751,1391,NA,4,15302,NA
