"index","GCM","SSP","RUN","PERIOD","CWH","MH","CMX"
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",36566,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",36566,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",36566,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",36553,NA,13
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",36566,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",36566,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",36566,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",36566,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",36563,NA,3
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",36563,NA,3
62,"ensembleMean","ssp245","ensembleMean","2021_2040",36566,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",15834,NA,20732
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",12682,NA,23884
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",10785,NA,25781
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",12193,NA,24373
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",36566,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",36566,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",36566,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",36566,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",35811,NA,755
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",36452,NA,114
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",35634,NA,932
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",36413,NA,153
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",35302,NA,1264
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",34861,NA,1705
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",36093,NA,473
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",33543,NA,3023
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",36398,NA,168
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",36162,NA,404
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",36107,NA,459
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",36456,NA,110
83,"MIROC6","ssp245","ensembleMean","2041_2060",35966,NA,600
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",36522,NA,44
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",34217,NA,2349
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",36498,NA,68
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",36566,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",36566,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",36458,NA,108
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",34288,NA,2278
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",34288,NA,2278
92,"ensembleMean","ssp245","ensembleMean","2041_2060",35368,NA,1198
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",7799,NA,28767
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",14264,NA,22302
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",7225,NA,29341
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",9482,NA,27084
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",35720,NA,846
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",36032,NA,534
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",33350,NA,3216
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",36282,NA,284
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",29181,NA,7385
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",29028,NA,7538
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",29084,NA,7482
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",26876,NA,9690
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",32077,NA,4489
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",34809,NA,1757
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",31985,NA,4581
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",28957,NA,7609
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",36006,NA,560
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",29284,NA,7282
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",36042,NA,524
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",35351,NA,1215
113,"MIROC6","ssp245","ensembleMean","2061_2080",33044,NA,3522
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",33489,NA,3077
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",28568,NA,7998
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",34066,NA,2500
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",33342,NA,3224
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",32379,NA,4187
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",34687,NA,1879
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",30752,NA,5814
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",30752,NA,5814
122,"ensembleMean","ssp245","ensembleMean","2061_2080",29939,NA,6627
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",3615,NA,32951
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",3922,NA,32644
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",4008,NA,32558
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",4749,NA,31817
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",23999,NA,12567
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",22749,NA,13817
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",16070,NA,20496
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",28785,NA,7781
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",20061,NA,16505
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",18895,NA,17671
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",17073,NA,19493
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",17004,NA,19562
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",24509,NA,12057
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",24686,NA,11880
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",23409,NA,13157
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",26539,NA,10027
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",30931,NA,5635
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",23975,NA,12591
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",36071,NA,495
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",30290,NA,6276
143,"MIROC6","ssp245","ensembleMean","2081_2100",18521,NA,18045
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",17498,NA,19068
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",23282,NA,13284
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",20077,NA,16489
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",32475,NA,4091
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",35125,NA,1441
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",29018,NA,7548
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",21426,NA,15140
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",21426,NA,15140
152,"ensembleMean","ssp245","ensembleMean","2081_2100",21264,NA,15302
