"index","GCM","SSP","RUN","PERIOD","CWH","MH"
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",28889,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",35938,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",29216,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",35974,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",35283,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",32976,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",33421,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",28500,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",33998,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",33274,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",32311,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",34619,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",30684,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",30684,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",29871,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",3547,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",3854,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",3940,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",4681,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",23931,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",22681,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",16002,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",28717,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",19993,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",18827,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",17005,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",16936,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",24441,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",24618,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",23341,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",26471,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",30863,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",23907,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",36003,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",30222,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",18453,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",17430,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",23214,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",20009,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",32407,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",35057,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",28950,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",21358,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",21358,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",21196,NA
