"index","GCM","SSP","RUN","PERIOD","BAFAun","CDFmm","CMAun","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHds2","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvm_WA","CWHvm1","CWHvm2","CWHwm","CWHws1","CWHws2","CWHxm1","CWHxm2","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmk","ESSFmkw","ESSFmw","ESSFmw2","ESSFmwp","ESSFmww","ESSFxv1","ESSFxvp","IDFdc","IDFww","IMAun","IMAunp","MHmm_WA","MHmm1","MHmm2","MHmmp","MSdc1","MSdv","CDFmm_WA","CMAun_WA","CRFdh_CA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHxm_WA","ESSFdc2","ESSFdh2","ESSFmw1","MSdm2","BAFAunp","ESSFmw_WA","IMAun_WA","CWHdm_OR","CWHms_WA","ESSFdh1","IDFdk2","MHms_WA","MSdh_UT","ESSFdh_WA","ICHvk1","ESSFwv","ESSFwvp","ICHmw1","ICHwk1","MSdc3","ICHmw2","ESSFmcp","ESSFmcw","ESSFwvw","ICHmc2","ESSFmh","ESSFvcw","ESSFwcw","CMXwm_OR","IGFdk_WA","ESSFmkp","ESSFvc","ESSFwc2","ESSFwh1","ICHmw3","ESSFdc1","ESSFwc4","CWFmm_OR","CWHds_WA","ICHdw_ID","ICHdw1","CWHvm_OR","SWBvks","ESSFwcp","CMXdm_OR","CDFmm_OR","ESSFvh_ID","ESSFwm_MT","GOun_CO","ICHdh_ID","ICHvk_ID","IDFdkx_MT","IDFxh_ID","IGFdw_OR","IGFmm_OR","MSxh_OR","CWHvh1","CWHvh2","ESSFwh3","ESSFwm3","ICHmw4","ICHxw"
37,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",361,249,31,15959,5929,10684,1585,79,13,NA,2999,29,8725,5307,6355,NA,7,963,158,73,21,6,31,38,NA,NA,NA,NA,305,111,157,NA,NA,NA,94,240,31,3004,6388,4976,NA,NA,NA,NA,221,NA,883,9,34,6088,17,1,293,102,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",207,990,83,17672,15720,560,1856,50,3,NA,3673,36,616,7264,12252,NA,137,484,2906,2,9,12,7,29,NA,NA,NA,NA,295,7,6,NA,5,NA,38,NA,66,NA,8097,4713,59,NA,NA,NA,NA,NA,542,127,24,3832,NA,NA,65,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",89,613,163,18869,12564,680,1543,83,16,3,2346,239,1262,9394,11297,3,76,494,2402,102,3,NA,NA,NA,NA,NA,NA,NA,25,9,NA,NA,NA,NA,25,NA,22,53,9572,4194,48,NA,NA,32,NA,NA,1066,881,164,4228,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"EC-Earth3","ssp245","ensembleMean","2021_2040",61,186,83,15813,12744,2121,1621,81,NA,NA,3029,31,1627,10986,12428,1,91,488,426,NA,9,NA,1,6,NA,NA,NA,NA,361,8,44,NA,NA,NA,52,1,47,13,8096,4091,46,NA,NA,NA,NA,NA,1342,262,72,6110,NA,NA,77,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,59,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",311,529,525,16869,8743,6098,1277,212,NA,NA,1307,346,5483,9168,10016,65,59,1696,860,12,9,NA,NA,9,NA,NA,NA,3,2,2,1,NA,NA,NA,5,1,7,856,8365,5196,324,NA,NA,NA,1,NA,766,57,87,3287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",49,133,56,14684,15186,127,1476,78,NA,NA,3136,3,71,12611,12921,NA,62,337,586,NA,1,NA,NA,3,NA,NA,NA,NA,443,2,27,NA,NA,NA,77,NA,87,NA,7961,3990,9,NA,NA,NA,NA,NA,1363,684,11,6056,NA,NA,91,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,95,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",116,75,29,15699,5546,8028,1603,103,1,5,3047,197,7849,6429,8067,NA,65,590,58,3,5,1,1,6,NA,NA,NA,NA,228,14,48,NA,NA,NA,49,12,17,1458,7682,4460,1,NA,NA,NA,37,NA,3046,219,252,7445,NA,NA,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",235,253,71,17623,7990,5335,1410,92,15,56,2496,343,4672,7344,9373,6,76,897,568,89,2,NA,2,NA,NA,NA,NA,NA,92,17,2,NA,NA,NA,40,17,30,523,8412,4872,31,NA,NA,NA,8,NA,2222,359,359,6614,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",211,345,64,17626,12087,3201,1705,110,12,9,3036,182,2250,7425,10482,16,72,765,872,55,13,4,9,7,NA,NA,NA,NA,257,33,11,NA,NA,NA,44,24,70,256,8100,4698,26,NA,NA,11,1,NA,1320,445,95,6594,NA,2,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",228,663,146,18112,10205,3999,1656,62,59,203,2792,530,3128,6902,10129,1,176,855,1546,120,2,3,1,4,NA,NA,NA,NA,57,NA,2,NA,NA,5,32,25,30,382,8063,5439,39,NA,NA,4,5,NA,1270,157,256,5258,NA,1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",305,60,134,16554,3722,7927,982,131,1,62,1600,402,9481,5930,5612,1,25,1021,189,186,1,NA,NA,NA,NA,NA,NA,NA,11,3,1,NA,NA,NA,39,2,10,3261,7476,4672,157,NA,NA,NA,243,1,4520,253,748,6816,NA,NA,18,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",137,324,790,12628,14328,90,1769,82,8,NA,1743,520,128,13971,11946,160,252,1898,1333,87,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,23,NA,1,1,7234,5798,765,NA,NA,NA,NA,NA,1052,442,9,4964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",416,163,78,12670,9851,3899,1637,80,NA,75,2822,661,5060,8603,10033,NA,159,1336,427,12,NA,NA,NA,2,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,48,20,2,374,6741,6905,100,NA,NA,NA,NA,NA,2916,82,461,6815,NA,NA,49,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",55,91,526,15321,14422,74,1325,99,1,NA,1585,394,368,14674,12081,61,173,1221,390,3,2,NA,NA,NA,NA,NA,NA,NA,25,2,1,NA,NA,NA,22,NA,11,22,8184,4502,379,NA,NA,NA,NA,NA,1082,470,4,4926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",619,1882,4063,7560,13287,4,2350,64,11,NA,941,161,20,13998,12889,474,327,2819,3980,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,6405,5747,2537,NA,NA,NA,NA,NA,89,83,NA,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,30,202,NA,10,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"MIROC6","ssp245","ensembleMean","2021_2040",113,97,92,16703,8645,2900,1259,89,2,7,2377,357,2668,11566,10134,7,129,735,244,30,1,NA,1,NA,NA,NA,NA,NA,111,14,5,NA,NA,NA,39,NA,20,320,8454,4280,39,NA,NA,NA,2,1,3653,307,176,6971,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",78,498,585,16403,13066,21,1604,60,24,NA,1518,392,58,13389,12114,137,240,1322,1971,314,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,10,NA,32,NA,8403,4283,497,NA,NA,NA,NA,NA,732,498,NA,4238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",152,2,26,14293,1553,10928,1231,110,1,84,2339,125,13087,2937,2984,NA,10,624,80,145,NA,NA,NA,4,NA,NA,NA,NA,109,18,25,NA,NA,NA,101,17,12,5465,5184,4599,9,NA,NA,NA,1132,NA,5347,105,728,8919,NA,NA,63,NA,NA,NA,NA,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",332,353,86,16958,10078,6720,1720,51,1,3,3369,165,3816,6519,11247,NA,173,656,301,1,1,15,8,38,NA,NA,NA,NA,286,5,33,NA,NA,8,60,62,25,350,7268,5221,29,NA,NA,NA,2,NA,903,23,27,5474,3,NA,129,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",839,1207,120,15727,13745,3242,2087,23,3,14,3677,222,1357,7025,12093,NA,215,726,1637,26,NA,37,8,27,NA,NA,1,1,143,NA,16,26,77,10,113,33,4,156,6458,6622,171,NA,NA,NA,NA,NA,574,21,8,3837,5,NA,145,65,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",135,58,80,17211,6105,10007,1566,74,4,NA,3103,125,7350,5087,9361,7,133,671,31,5,4,7,4,9,NA,NA,NA,NA,401,11,40,NA,NA,NA,41,8,49,852,7383,4517,8,NA,NA,NA,32,NA,1507,20,58,6383,2,1,93,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",198,28,40,13621,3589,10226,1299,47,NA,NA,2644,28,8905,6797,9034,1,24,708,10,NA,NA,NA,6,8,NA,NA,NA,NA,450,9,179,NA,NA,NA,77,7,12,1178,6555,4360,40,NA,NA,NA,NA,NA,2868,57,185,8694,NA,NA,291,5,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,222,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,15,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",198,28,40,13621,3589,10226,1299,47,NA,NA,2644,28,8905,6797,9034,1,24,708,10,NA,NA,NA,6,8,NA,NA,NA,NA,450,9,179,NA,NA,NA,77,7,12,1178,6555,4360,40,NA,NA,NA,NA,NA,2868,57,185,8694,NA,NA,291,5,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,222,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,15,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"ensembleMean","ssp245","ensembleMean","2021_2040",130,184,52,15373,9651,4563,1575,72,5,NA,3114,210,3479,9404,10993,4,111,810,235,1,2,1,3,6,NA,NA,NA,NA,288,7,35,NA,NA,NA,40,9,20,226,7350,4894,53,NA,NA,NA,NA,NA,2132,117,144,7184,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",178,NA,12,3112,4,16363,1469,NA,NA,NA,3195,5,21234,56,570,NA,NA,440,39,3,NA,NA,NA,NA,NA,NA,NA,NA,17,4,275,NA,27,NA,673,NA,1,4440,1395,5734,3,NA,NA,NA,1929,2178,1829,NA,91,11558,NA,NA,775,NA,135,46,91,541,66,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4022,9,20,NA,NA,NA,NA,NA,NA,1,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",142,NA,40,3891,1047,12778,2684,1,2,2,3859,214,12031,8100,5588,NA,197,1420,62,198,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,23,NA,1,NA,536,NA,NA,595,1817,7429,180,NA,NA,NA,4,2730,4085,NA,182,9382,NA,NA,146,NA,NA,NA,NA,359,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,10,NA,NA,NA,NA,NA,NA,NA,2474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",90,NA,10,1726,NA,17490,1317,NA,NA,NA,2722,2,19920,17,192,NA,NA,456,27,13,NA,NA,NA,NA,NA,NA,4,NA,23,1,113,NA,7,NA,560,NA,5,5347,697,5477,47,NA,NA,NA,3011,3839,1716,NA,56,9912,NA,NA,376,NA,226,128,132,454,107,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6208,29,35,NA,NA,NA,NA,NA,NA,1,25,8,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",46,NA,10,1530,NA,16889,1022,NA,NA,NA,2595,2,20934,4,111,NA,NA,171,24,6,NA,NA,NA,NA,NA,NA,NA,NA,10,1,145,NA,13,NA,683,NA,3,5434,1209,2685,NA,NA,NA,NA,5901,3348,2413,NA,136,9271,NA,NA,421,NA,163,174,207,943,190,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5634,58,NA,NA,NA,NA,NA,NA,NA,2,54,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",57,148,82,13767,12347,1622,1329,107,NA,NA,2503,152,1422,13179,12726,5,114,966,241,NA,NA,NA,4,1,NA,NA,NA,NA,269,7,14,NA,NA,NA,59,1,9,45,7403,4403,102,NA,NA,NA,NA,NA,2251,241,78,6703,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,64,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",120,162,30,14968,9533,4168,1300,86,2,6,2919,155,3929,9994,11783,NA,61,456,245,NA,NA,NA,1,4,NA,NA,NA,NA,305,10,82,NA,NA,NA,56,6,14,152,8163,4333,2,NA,NA,NA,NA,NA,2364,200,237,6557,NA,NA,133,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",560,238,222,14588,12562,3414,1236,98,NA,NA,2310,88,1619,12210,12855,8,76,1377,461,NA,11,NA,10,27,NA,NA,NA,NA,368,25,80,NA,NA,1,40,12,7,142,7356,4769,232,NA,NA,NA,NA,NA,716,56,6,4306,1,NA,204,10,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",38,220,335,13534,15096,208,1354,124,2,NA,1675,108,129,14351,12941,62,215,1573,746,NA,NA,NA,3,1,NA,NA,NA,NA,140,5,NA,NA,NA,NA,52,NA,25,2,7579,4113,345,NA,NA,NA,NA,NA,1106,408,3,5836,NA,NA,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,69,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",5,11,3,10658,11584,500,1267,58,NA,NA,2959,1,612,16120,12928,NA,37,226,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,22,NA,NA,NA,157,NA,12,NA,7608,3633,3,NA,NA,NA,NA,256,4092,1139,162,7474,NA,NA,48,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,55,NA,254,NA,NA,NA,NA,NA,NA,2,50,NA,NA,NA,42,6,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",15,59,35,12502,12189,1170,1234,79,NA,NA,2611,1,528,15100,13197,NA,74,421,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,2,NA,NA,NA,89,NA,41,NA,7788,3771,29,NA,NA,NA,NA,7,2438,703,74,7416,NA,NA,52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,89,NA,206,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,56,10,22,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,5,8,10679,8179,1033,1392,55,NA,NA,3059,18,690,16821,12409,NA,26,70,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,50,NA,NA,NA,159,NA,NA,NA,7993,4024,1,NA,NA,NA,NA,430,6377,1792,439,6329,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,57,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",27,58,9,10490,13839,22,1250,85,NA,NA,2770,NA,NA,16831,13077,NA,114,693,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,118,NA,125,NA,6644,3608,21,NA,NA,NA,NA,424,2081,1208,29,7330,NA,NA,31,17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,27,NA,NA,265,NA,209,NA,NA,NA,22,NA,NA,15,NA,NA,NA,1,372,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",105,2,27,15868,2917,6251,923,72,19,113,2350,241,8352,7301,7299,NA,12,171,107,154,NA,NA,NA,NA,NA,NA,NA,NA,196,4,39,NA,NA,NA,124,NA,5,1078,8220,3037,NA,NA,NA,NA,81,415,8428,447,1204,6918,NA,NA,41,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",93,2,31,16125,2825,4524,830,73,20,185,2289,197,7026,7940,8238,NA,15,35,164,164,NA,NA,NA,NA,NA,NA,NA,NA,204,1,23,NA,NA,NA,160,NA,5,604,8478,2482,NA,NA,NA,NA,88,796,10127,987,1920,5806,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
